concept:name,time:timestamp,case:concept:name
01_HOOFD_010,2010-10-05 00:00:00+02:00,2760925
01_HOOFD_010,2010-10-06 00:00:00+02:00,2771451
01_HOOFD_010,2010-10-06 00:00:00+02:00,2782209
01_HOOFD_010,2010-10-07 00:00:00+02:00,2783345
01_HOOFD_015,2010-10-07 14:57:14+02:00,2760925
_END_,2010-10-07 14:57:15+02:00,2760925
01_HOOFD_100,2010-10-11 00:00:00+02:00,2783345
01_HOOFD_065_2,2010-10-11 00:00:00+02:00,2783345
01_HOOFD_190_2,2010-10-11 00:00:00+02:00,2783345
01_HOOFD_010,2010-10-12 00:00:00+02:00,2794023
01_HOOFD_030_2,2010-10-12 00:00:00+02:00,2797217
01_HOOFD_010,2010-10-12 00:00:00+02:00,2797217
01_HOOFD_015,2010-10-12 09:54:56+02:00,2782209
01_HOOFD_020,2010-10-12 09:56:10+02:00,2782209
01_HOOFD_040,2010-10-12 09:56:15+02:00,2782209
01_HOOFD_060,2010-10-12 09:56:28+02:00,2782209
01_HOOFD_010,2010-10-13 00:00:00+02:00,2799076
01_HOOFD_010,2010-10-13 00:00:00+02:00,2802160
01_HOOFD_015,2010-10-14 13:42:23+02:00,2794023
01_HOOFD_020,2010-10-14 13:43:34+02:00,2794023
01_HOOFD_040,2010-10-14 13:43:39+02:00,2794023
01_HOOFD_060,2010-10-14 13:43:49+02:00,2794023
01_HOOFD_065_2,2010-10-15 00:00:00+02:00,2794023
01_HOOFD_065_2,2010-10-15 00:00:00+02:00,2797217
01_HOOFD_190_2,2010-10-15 00:00:00+02:00,2797217
01_HOOFD_015,2010-10-15 10:21:40+02:00,2797217
01_HOOFD_020,2010-10-15 10:21:48+02:00,2797217
01_HOOFD_030_1,2010-10-15 10:22:07+02:00,2797217
01_HOOFD_040,2010-10-15 10:23:54+02:00,2797217
01_HOOFD_060,2010-10-15 10:25:19+02:00,2797217
01_HOOFD_065_1,2010-10-15 11:33:01+02:00,2797217
06_VD_010,2010-10-15 11:34:43+02:00,2797217
01_HOOFD_100,2010-10-15 11:45:42+02:00,2797217
01_HOOFD_130,2010-10-15 11:47:24+02:00,2797217
01_HOOFD_050,2010-10-15 12:02:19+02:00,2797217
01_HOOFD_065_1,2010-10-15 12:53:09+02:00,2794023
01_HOOFD_100,2010-10-15 12:54:46+02:00,2794023
01_HOOFD_130,2010-10-15 12:55:28+02:00,2794023
01_HOOFD_050,2010-10-15 12:55:41+02:00,2794023
01_HOOFD_065_2,2010-10-18 00:00:00+02:00,2782209
01_HOOFD_065_2,2010-10-18 00:00:00+02:00,2802160
01_HOOFD_015,2010-10-18 13:54:50+02:00,2802160
01_HOOFD_020,2010-10-18 13:55:00+02:00,2802160
01_HOOFD_040,2010-10-18 13:55:10+02:00,2802160
01_HOOFD_060,2010-10-18 13:55:20+02:00,2802160
