n°_training,fitting_traces%,average_trace_fitness,precision,f-measure
1,4.0,0.3210787100497649,0.9173457508731082,0.47566920656667167
2,1.0,0.24329606891159145,0.9214046822742474,0.3849471838080565
3,0.0,0.2078220931297559,0.935064935064935,0.34006362347885605
4,0.0,0.17591092531273364,0.9748858447488584,0.29804232247693774
5,0.0,0.2676320512105941,0.9433962264150944,0.4169730333214311
6,0.0,0.17768779566336598,0.9861932938856016,0.30112098918358454
7,0.0,0.13886933082359063,0.9863547758284601,0.24346159465335224
8,0.0,0.1020802251160787,0.7995642701525054,0.18104630177468745
9,0.0,0.08967320680743011,0.6208425720620843,0.15671135255563243
10,0.0,0.09536880244430435,0.6405529953917051,0.166019738108727
11,0.0,0.13192790347027095,0.5978021978021978,0.2161533161601529
