training,fitting_traces%,average_trace_fitness,precision,f-measure
1,4.0,0.2871256124467745,0.5633333333333334,0.3803768051299615
2,1.0,0.2389764822992477,0.6132264529058116,0.3439244210840782
3,0.0,0.20975381873419333,0.6746532156368221,0.3200134842929385
4,0.0,0.17627574851526098,0.8543307086614174,0.2922508084442314
5,0.0,0.2654579606459654,0.803030303030303,0.39901381012065573
6,0.0,0.1763528800515516,0.9651162790697675,0.29821398859275006
7,0.0,0.13749686616337498,0.9601518026565465,0.24054666608090974
8,0.0,0.10111722700145874,0.7808510638297872,0.17904837417950825
9,0.0,0.08890582385844338,0.6222222222222222,0.15558148661014295
10,0.0,0.09490655087701075,0.6420323325635104,0.16536805318413528
11,0.0,0.13205114545954166,0.5951859956236324,0.21614680561148486
WHOLE,2.1684737281067554,0.28830929520670406,0.754640512280133,0.41722022031756717
