training,fitting_traces%,average_trace_fitness,precision,f-measure
1,4.0,0.32503498438578865,0.522159090909091,0.4006637367039192
2,1.0,0.26461775168567064,0.5369318181818181,0.35451753921909224
3,0.0,0.23545368276812018,0.5766590389016018,0.3343784447354729
4,0.0,0.2054054627751702,0.8026315789473684,0.3271008982565319
5,0.0,0.309632884330096,0.49497386409328503,0.3809567481444286
6,0.0,0.2175013902722086,0.494745691467003,0.3021644552407133
7,0.0,0.18415011162038197,0.5390218522372529,0.27451543814233337
8,1.0,0.16513857838702506,0.5181467181467181,0.25045471595751223
9,1.0,0.15942480241607065,0.46453900709219853,0.23738248370076317
10,0.0,0.17750954483939935,0.553639846743295,0.26882702312757617
11,0.0,0.2445953930170474,0.5212858384013901,0.3329605408448702
WHOLE,2.7522935779816513,0.32773390242876804,0.7145676893370521,0.4493671682477024
