experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,0.1904366050506139,0.3465226486914085,0.2164489106597622,86.125,"[18, 28, 46]"
2,FRQ,5,NFL NFR S,0.1595616247610143,0.2547431189844919,0.1773458734312402,75.078125,[24]
3,FRQ,5,NFL UFR D,0.1904913084606404,0.2905778647354465,0.2070900410166225,91.453125,"[24, 34, 42]"
4,FRQ,5,NFL UFR S,0.1595616247610143,0.2547431189844919,0.1773458734312402,75.28125,[24]
5,FRQ,5,UFL NFR D,0.189952583327211,0.5072370986611205,0.2561140540959563,61.765625,"[11, 11, 11]"
6,FRQ,5,UFL NFR S,0.189952583327211,0.5072370986611205,0.2561140540959563,62.46875,[11]
7,FRQ,5,UFL UFR D,0.1836927647890771,0.512761601455869,0.2512481373446624,60.0,"[8, 10, 10]"
8,FRQ,5,UFL UFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,58.46875,[8]
9,FRQ,10,NFL NFR D,0.3292329348732917,0.2151564349550156,0.2312533467088015,2748.78125,"[119, 122, 165, 150, 124, 125]"
10,FRQ,10,NFL NFR S,0.2252771852534228,0.1421974059144819,0.1535258684387023,1821.453125,[119]
11,FRQ,10,NFL UFR D,0.3214820014081302,0.2093595936839067,0.2215335997107346,2809.28125,"[104, 120, 148, 158, 155, 135]"
12,FRQ,10,NFL UFR S,0.228372076425831,0.1453770327561426,0.157207902817465,1683.140625,[104]
13,FRQ,10,UFL NFR D,0.2581468410389574,0.5039181831005078,0.3049965471613954,193.859375,"[13, 77, 72, 13, 65, 54]"
14,FRQ,10,UFL NFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,62.609375,[13]
15,FRQ,10,UFL UFR D,0.1878594499944565,0.5113804757571819,0.2547047396932098,60.796875,"[8, 11, 10, 9, 10, 11]"
16,FRQ,10,UFL UFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,58.3125,[8]
17,FRQ,15,NFL NFR D,0.3575844233541682,0.1196861888558104,0.1656239098410095,28878.015625,"[311, 297, 337, 329, 281, 211, 224, 199, 203, 164]"
18,FRQ,15,NFL NFR S,-,-,-,-,-
19,FRQ,15,NFL UFR D,0.368166670166558,0.1182861490120438,0.1655490232681276,21101.71875,"[289, 292, 337, 337, 280, 196, 266, 221, 235, 157]"
20,FRQ,15,NFL UFR S,0.2693825836948147,0.1294334773856813,0.1472518841029038,4313.359375,[289]
21,FRQ,15,UFL NFR D,-,-,-,-,-
22,FRQ,15,UFL NFR S,-,-,-,-,-
23,FRQ,15,UFL UFR D,0.199414556119596,0.5038032735878865,0.257756524433285,81.140625,"[8, 11, 10, 11, 11, 11, 11, 82, 84, 31]"
24,FRQ,15,UFL UFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,58.65625,[8]
25,MIN,5,NFL NFR D,0.1726740031211441,0.3010495621050671,0.199315279510319,63.546875,"[10, 17, 9, 9]"
26,MIN,5,NFL NFR S,0.1557390064205688,0.253223834854863,0.1749920978326525,61.765625,[10]
27,MIN,5,NFL UFR D,0.1726740031211441,0.3010495621050671,0.199315279510319,63.359375,"[10, 12, 9, 9]"
28,MIN,5,NFL UFR S,0.1557390064205688,0.253223834854863,0.1749920978326525,61.921875,[10]
29,MIN,5,UFL NFR D,0.1628680914531277,0.4040358084944072,0.2116226036910692,61.78125,"[13, 14, 11, 7]"
30,MIN,5,UFL NFR S,0.1371394975197,0.3504393998479532,0.1788757556779445,63.59375,[13]
31,MIN,5,UFL UFR D,0.1750405549613369,0.3860373702730391,0.2217099557496724,59.578125,"[10, 10, 7, 9]"
32,MIN,5,UFL UFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,60.484375,[10]
33,MIN,10,NFL NFR D,0.2100328171119286,0.2045285304190864,0.1857699275625421,91.75,"[58, 76, 86, 79, 41, 39, 21, 18]"
34,MIN,10,NFL NFR S,0.16852647142592,0.156419840575932,0.1447615432338594,117.5625,[58]
35,MIN,10,NFL UFR D,0.2101648535963458,0.2032359340859125,0.1846596167152437,92.546875,"[90, 75, 59, 79, 48, 29, 21, 21]"
36,MIN,10,NFL UFR S,0.16852647142592,0.1574464271763814,0.1452107176431094,136.75,[90]
37,MIN,10,UFL NFR D,0.1858468511294976,0.3602672696083678,0.2253301391918116,76.328125,"[11, 18, 21, 36, 23, 22, 31, 23]"
38,MIN,10,UFL NFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,60.4375,[10]
39,MIN,10,UFL UFR D,0.1877894562938895,0.5113804757571819,0.2546842566881954,62.453125,"[8, 8, 9, 10, 12, 12, 12, 12]"
40,MIN,10,UFL UFR S,0.1834582253788931,0.5131028207461329,0.2510651549854772,58.421875,[8]
41,MIN,15,NFL NFR D,0.2273826411008313,0.1477230916469196,0.1577052134448682,217.0625,"[235, 227, 224, 191, 204, 173, 126, 141, 113, 140, 133, 102, 110, 95, 60]"
42,MIN,15,NFL NFR S,0.1719470059836093,0.1474291915279182,0.135145642257458,618.359375,[235]
43,MIN,15,NFL UFR D,0.2277334384711995,0.149069861063057,0.1585307338187039,236.46875,"[225, 208, 197, 194, 201, 181, 190, 175, 124, 149, 140, 143, 98, 84, 73]"
44,MIN,15,NFL UFR S,0.1737261045486601,0.1469190286971732,0.135309143009955,900.671875,[225]
45,MIN,15,UFL NFR D,0.1705476163548747,0.3795329470523323,0.2152253181380329,74.328125,"[36, 36, 38, 34, 10, 10, 20, 11, 20, 11, 38, 36, 39, 20, 20]"
46,MIN,15,UFL NFR S,0.1907406264043123,0.4907546805635978,0.2530225523153453,86.015625,[34]
47,MIN,15,UFL UFR D,0.1879294436950234,0.5113804757571819,0.2547252226982242,61.796875,"[8, 8, 8, 8, 12, 12, 11, 12, 11, 12, 12, 11, 11, 12, 11]"
