training,fitting_traces%,average_trace_fitness,precision,f-measure
1,2.0,0.2513563423358906,0.9985611510791367,0.4016179945577052
2,0.0,0.20422614526144742,0.9962825278810409,0.3389678805532894
3,0.0,0.18939529403078037,0.7848605577689243,0.3051537146781606
4,0.0,0.19560307599171803,0.9951060358890701,0.3269409793133668
5,1.0,0.19506830768184236,1.0,0.3264554945151713
6,0.0,0.15032823499062536,0.9985096870342772,0.26131483997035204
7,0.0,0.14636968265482847,0.9967105263157895,0.2552545347048679
8,1.0,0.11739309383954795,0.8175965665236051,0.20530749060801112
9,1.0,0.1085157013333215,0.7995594713656388,0.19109597839804796
10,0.0,0.11569415726930066,0.7949886104783599,0.20199248428838507
11,0.0,0.1597343545245918,0.5969162995594713,0.25202658400067135
WHOLE,0.9174311926605505,0.1724331676968513,1.0,0.29414583696157637
