order,algo,cut,top,filtering,frequency,update
FRQ,IND,100,10,NFL,NFR,D
FRQ,IND,100,10,NFL,UFR,D
FRQ,IND,100,15,UFL,UFR,D
FRQ,IND,100,15,UFL,NFR,D
FRQ,IND,100,15,NFL,UFR,D
FRQ,IND,100,15,NFL,NFR,D
FRQ,IND,100,15,NFL,NFR,S
FRQ,IND,100,15,NFL,UFR,S
FRQ,SPL,100,10,NFL,NFR,D
FRQ,SPL,100,10,NFL,UFR,D
FRQ,SPL,100,10,UFL,NFR,D
FRQ,SPL,100,15,UFL,NFR,D
FRQ,SPL,100,15,NFL,UFR,D
FRQ,SPL,100,15,NFL,NFR,D
FRQ,ILP,100,15,UFL,NFR,D
FRQ,ILP,100,15,UFL,NFR,S
FRQ,ILP,100,15,NFL,NFR,S
MIN,SPL,100,10,NFL,NFR,D
MIN,SPL,100,10,UFL,NFR,D
MIN,SPL,100,15,UFL,UFR,D
MIN,SPL,100,15,UFL,NFR,D
MIN,SPL,100,15,NFL,UFR,D
MIN,SPL,100,15,NFL,NFR,D
