n°_evaluation,fitness,precision,f-measure,time
0,,,,0.21875
1,1.0,0.03191489361702127,0.061855670103092765,0.078125
2,0.5238095238095238,0.027972027972028024,0.05310802655401337,6.0
3,0.84,0.026905829596412523,0.05214152700186213,7.734375
4,0.71875,0.03076923076923077,0.059012187299550996,49.359375
5,0.76,0.027874564459930307,0.053776755704935425,19.765625
6,0.76,0.02631578947368418,0.05087014725568938,8.328125
7,0.8636363636363636,0.02631578947368418,0.05107526881720425,5.875
8,0.8043478260869565,0.026666666666666616,0.05162190442971738,13.34375
9,0.782608695652174,0.026666666666666616,0.051575931232091594,30.15625
10,0.8043478260869565,0.029032258064516148,0.056041736788959975,46.640625
11,0.7954545454545454,0.0,0.0,11.046875
12,1.0,0.03191489361702127,0.061855670103092765,0.109375
13,0.8333333333333334,0.0,0.0,11.0
14,0.6666666666666667,0.026905829596412523,0.05172413793103442,0.921875
15,0.76,0.02564102564102566,0.049608355091383845,7.640625
16,0.8301886792452831,0.027888446215139417,0.053964082347787955,11.96875
17,0.8809523809523809,0.028368794326241176,0.054967502321262844,8.390625
18,0.9047619047619048,0.02868852459016391,0.05561363161195898,7.140625
19,0.9285714285714286,0.028818443804034533,0.0559019565684798,9.765625
20,0.9047619047619048,0.0292397660818714,0.05664877757901024,20.046875
21,0.5862068965517242,0.02766798418972327,0.05284191829484893,3.40625
22,0.8695652173913043,0.029490616621983934,0.05704654479450282,6.25
23,0.7719298245614035,0.02659574468085102,0.051419890148416414,12.421875
24,0.8636363636363636,0.02631578947368418,0.05107526881720425,6.8125
25,0.9285714285714286,0.028818443804034533,0.0559019565684798,9.671875
26,0.5142857142857142,0.027027027027026973,0.05135520684736082,12.5625
27,0.7692307692307692,0.02898550724637683,0.05586592178770953,3.5625
28,0.9285714285714286,0.03012912482065999,0.05836451095670768,12.828125
29,1.0,0.03139013452914796,0.06086956521739127,0.078125
30,0.76,0.027559055118110187,0.0531893621275744,30.953125
31,0.9285714285714286,0.028818443804034533,0.0559019565684798,9.453125
32,0.8695652173913043,0.028818443804034533,0.05578800557880047,7.34375
33,0.8478260869565217,0.02659574468085102,0.05157365776249661,7.515625
34,0.8163265306122449,0.03154574132492116,0.060744115413819334,8.59375
35,0.8125,0.027237354085603127,0.05270779032725169,10.421875
36,0.75,0.02659574468085102,0.051369863013698544,6.8125
37,0.734375,0.027888446215139417,0.05373621886484275,15.375
38,0.7457627118644068,0.027888446215139417,0.053766256437112636,14.015625
39,0.7049180327868853,0.02631578947368418,0.0507374631268436,7.84375
40,0.8125,0.027237354085603127,0.05270779032725169,10.34375
41,0.8125,0.02848101265822789,0.05503292568203206,11.546875
42,0.8181818181818181,0.028673835125448077,0.05540592535590621,27.296875
43,0.8863636363636364,0.028000000000000025,0.05428514615231661,8.875
44,0.9285714285714286,0.030303030303030276,0.05869074492099318,12.375
45,0.9285714285714286,0.028818443804034533,0.0559019565684798,0.34375
46,0.5714285714285714,0.02659574468085102,0.05082592121982203,1.015625
47,0.5806451612903225,0.026905829596412523,0.051428571428571365,3.8125
48,0.6538461538461539,0.027272727272727226,0.05236139630390135,3.671875
49,0.5909090909090908,0.026905829596412523,0.051468162322665725,2.078125
50,0.803921568627451,0.02941176470588236,0.05674740484429067,11.078125
51,0.8125,0.02659574468085102,0.051505546751188507,9.40625
52,0.8125,0.028000000000000025,0.05413444378346227,8.125
53,0.8809523809523809,0.02564102564102566,0.049831649831649866,7.921875
54,0.9523809523809523,0.028818443804034533,0.055944055944055854,6.15625
55,0.9523809523809523,0.028818443804034533,0.055944055944055854,6.1875
56,0.8571428571428572,0.028735632183908066,0.05560704355885082,58.875
57,0.9047619047619048,0.02659574468085102,0.051672559151482104,8.25
58,0.5740740740740741,0.027272727272727226,0.052071668533034625,9.03125
59,0.8043478260869565,0.028368794326241176,0.05480466580262922,8.421875
60,0.8113207547169812,0.02614379084967322,0.05065527904579595,10.84375
61,0.8409090909090909,0.028901734104046284,0.05588279716054984,7.984375
62,0.8113207547169812,0.027027027027026973,0.05231143552311425,12.0
