n°_evaluation,fitness,precision,f-measure,time
0,,,,0.03125
1,1.0,0.3157894736842105,0.4799999999999999,0.0
2,0.2857142857142857,0.29166666666666663,0.28865979381443296,0.0625
3,0.21999999999999997,0.2727272727272727,0.24354243542435422,0.09375
4,0.171875,0.26315789473684215,0.20793950850661627,0.140625
5,0.21999999999999997,0.31999999999999995,0.2607407407407407,0.078125
6,0.21999999999999997,0.25,0.23404255319148934,0.109375
7,0.25,0.25,0.25,0.046875
8,0.23913043478260865,0.4,0.29931972789115646,0.0625
9,0.26086956521739135,0.4,0.31578947368421056,0.09375
10,0.23913043478260865,0.30000000000000004,0.2661290322580645,0.0625
11,0.20454545454545459,0.0,0.0,0.046875
12,1.0,0.3157894736842105,0.4799999999999999,0.015625
13,0.26190476190476186,0.0,0.0,0.046875
14,0.5555555555555556,0.2727272727272727,0.36585365853658536,0.015625
15,0.19999999999999996,0.2142857142857143,0.2068965517241379,0.109375
16,0.2075471698113207,0.30000000000000004,0.2453531598513011,0.09375
17,0.23809523809523814,0.25,0.24390243902439027,0.046875
18,0.26190476190476186,0.2666666666666667,0.26426426426426425,0.0625
19,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.09375
20,0.26190476190476186,0.30000000000000004,0.2796610169491525,0.0625
21,0.3448275862068966,0.2727272727272727,0.30456852791878175,0.046875
22,0.23913043478260865,0.29166666666666663,0.26279863481228666,0.078125
23,0.19298245614035092,0.26315789473684215,0.22267206477732798,0.125
24,0.25,0.25,0.25,0.0625
25,0.2857142857142857,0.34615384615384615,0.3130434782608696,0.0625
26,0.15714285714285714,0.4,0.22564102564102564,0.140625
27,0.42307692307692313,0.30434782608695654,0.35402298850574715,0.046875
28,0.26190476190476186,0.30434782608695654,0.28153564899451555,0.0625
29,1.0,0.31818181818181823,0.4827586206896552,0.0
30,0.21999999999999997,0.30434782608695654,0.25538971807628524,0.125
31,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.0625
32,0.23913043478260865,0.29166666666666663,0.26279863481228666,0.078125
33,0.23913043478260865,0.26315789473684215,0.2505694760820045,0.109375
34,0.22448979591836737,0.3913043478260869,0.28530259365994237,0.078125
35,0.25,0.29166666666666663,0.2692307692307692,0.078125
36,0.1875,0.26315789473684215,0.21897810218978103,0.140625
37,0.171875,0.30000000000000004,0.21854304635761593,0.125
38,0.18644067796610164,0.30000000000000004,0.22996515679442506,0.125
39,0.180327868852459,0.25,0.2095238095238095,0.09375
40,0.25,0.29166666666666663,0.2692307692307692,0.078125
41,0.22916666666666663,0.31999999999999995,0.267071320182094,0.109375
42,0.19999999999999996,0.26315789473684215,0.22727272727272727,0.09375
43,0.25,0.26315789473684215,0.25641025641025644,0.0625
44,0.26190476190476186,0.26315789473684215,0.26252983293556087,0.0625
45,0.7857142857142857,0.29166666666666663,0.42541436464088395,0.0625
46,0.47619047619047616,0.26315789473684215,0.33898305084745767,0.015625
47,0.32258064516129037,0.2727272727272727,0.2955665024630542,0.046875
48,0.42307692307692313,0.30000000000000004,0.35106382978723405,0.03125
49,0.4545454545454546,0.2727272727272727,0.3409090909090909,0.03125
50,0.21568627450980393,0.30000000000000004,0.2509505703422053,0.078125
51,0.25,0.26315789473684215,0.25641025641025644,0.109375
52,0.22916666666666663,0.26315789473684215,0.24498886414253898,0.0625
53,0.23809523809523814,0.2142857142857143,0.22556390977443613,0.0625
54,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.0625
55,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.109375
56,0.26190476190476186,0.31999999999999995,0.2880523731587561,0.0625
57,0.23809523809523814,0.23809523809523814,0.2380952380952381,0.0625
58,0.20370370370370372,0.30000000000000004,0.24264705882352944,0.125
59,0.21739130434782605,0.25,0.2325581395348837,0.0625
60,0.2075471698113207,0.2222222222222222,0.21463414634146338,0.078125
61,0.25,0.4,0.3076923076923077,0.0625
62,0.2075471698113207,0.26086956521739135,0.23117338003502627,0.125
63,0.47619047619047616,0.2727272727272727,0.3468208092485549,0.03125
64,0.18181818181818177,0.26315789473684215,0.2150537634408602,0.109375
65,0.15625,0.0,0.0,0.125
66,0.26190476190476186,0.31999999999999995,0.2880523731587561,0.078125
67,0.26190476190476186,0.31999999999999995,0.2880523731587561,0.0625
68,0.26190476190476186,0.30000000000000004,0.2796610169491525,0.09375
69,0.23809523809523814,0.26086956521739135,0.24896265560165978,0.078125
70,0.7777777777777778,0.23529411764705888,0.36129032258064525,0.0
71,0.2857142857142857,0.29166666666666663,0.28865979381443296,0.046875
72,0.3125,0.23809523809523814,0.2702702702702703,0.046875
73,0.6,0.4,0.48,0.03125
74,0.16923076923076918,0.4,0.2378378378378378,0.125
75,0.3157894736842105,0.34615384615384615,0.33027522935779813,0.0625
76,0.21739130434782605,0.23809523809523814,0.2272727272727273,0.078125
77,0.32432432432432434,0.29166666666666663,0.3071297989031078,0.046875
78,0.22916666666666663,0.30434782608695654,0.2614601018675721,0.125
79,0.2857142857142857,0.31999999999999995,0.3018867924528302,0.0625
80,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.0625
81,0.2075471698113207,0.4,0.27329192546583847,0.109375
82,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.0625
83,0.26190476190476186,0.29166666666666663,0.2759856630824372,0.078125
84,0.23913043478260865,0.26315789473684215,0.2505694760820045,0.0625
85,0.26190476190476186,0.30000000000000004,0.2796610169491525,0.09375
86,0.26190476190476186,0.2666666666666667,0.26426426426426425,0.0625
87,0.2222222222222222,0.25,0.23529411764705882,0.046875
88,0.21999999999999997,0.31999999999999995,0.2607407407407407,0.09375
89,0.22916666666666663,0.30000000000000004,0.2598425196850394,0.109375
90,0.26190476190476186,0.0,0.0,0.046875
91,0.2857142857142857,0.34615384615384615,0.3130434782608696,0.078125
92,1.0,0.31818181818181823,0.4827586206896552,0.0
93,0.8888888888888888,0.2222222222222222,0.3555555555555555,0.015625
94,0.8888888888888888,0.2222222222222222,0.3555555555555555,0.0
95,0.6153846153846154,0.4,0.4848484848484849,0.015625
96,0.8888888888888888,0.2142857142857143,0.34532374100719426,0.015625
97,0.9090909090909091,0.29166666666666663,0.4416403785488958,0.0
98,0.23913043478260865,0.30000000000000004,0.2661290322580645,0.078125
99,0.13157894736842102,0.4,0.19801980198019797,0.15625
100,0.45833333333333337,0.31999999999999995,0.37687366167023556,0.03125
101,0.32352941176470584,0.29166666666666663,0.3067729083665338,0.046875
102,0.4,0.4,0.4000000000000001,0.015625
103,0.23809523809523814,0.26086956521739135,0.24896265560165978,0.109375
104,0.25,0.25,0.25,0.046875
105,0.2857142857142857,0.4,0.3333333333333333,0.0625
106,0.36363636363636365,0.0,0.0,0.0
107,0.180327868852459,0.29166666666666663,0.2228654124457308,0.140625
108,0.33333333333333337,0.2142857142857143,0.2608695652173913,0.046875
109,0.26190476190476186,0.4,0.31654676258992803,0.046875
110,0.19999999999999996,0.2222222222222222,0.21052631578947364,0.0625
111,0.12121212121212122,0.4,0.186046511627907,0.140625
112,0.19999999999999996,0.31999999999999995,0.24615384615384608,0.09375
113,0.25,0.29166666666666663,0.2692307692307692,0.078125
114,0.2075471698113207,0.4,0.27329192546583847,0.109375
115,0.26190476190476186,0.4,0.31654676258992803,0.0625
116,0.2195121951219512,0.2142857142857143,0.21686746987951805,0.046875
117,0.2142857142857143,0.2222222222222222,0.2181818181818182,0.0625
118,0.2093023255813954,0.2222222222222222,0.2155688622754491,0.078125
119,0.2142857142857143,0.2222222222222222,0.2181818181818182,0.0625
120,0.19999999999999996,0.2222222222222222,0.21052631578947364,0.046875
121,0.25,0.29166666666666663,0.2692307692307692,0.078125
122,0.2264150943396226,0.29166666666666663,0.25493171471927156,0.125
123,0.2727272727272727,0.4,0.3243243243243243,0.0625
124,0.6923076923076923,0.29166666666666663,0.4104234527687296,0.015625
125,0.15217391304347827,0.0,0.0,0.0625
126,0.6428571428571428,0.2222222222222222,0.33027522935779813,0.0
127,0.46153846153846156,0.25,0.32432432432432434,0.015625
128,0.23913043478260865,0.0,0.0,0.0625
129,0.23913043478260865,0.30434782608695654,0.2678260869565217,0.109375
130,0.2325581395348837,0.25,0.24096385542168672,0.046875
131,0.30434782608695654,0.25,0.27450980392156865,0.015625
132,0.2432432432432432,0.2142857142857143,0.22784810126582278,0.046875
133,0.18181818181818177,0.25,0.21052631578947364,0.078125
134,0.375,0.2222222222222222,0.27906976744186046,0.03125
135,1.0,0.31818181818181823,0.4827586206896552,0.0
136,0.15555555555555556,0.4,0.224,0.09375
137,0.5454545454545454,0.4,0.4615384615384615,0.03125
138,0.2093023255813954,0.2142857142857143,0.21176470588235297,0.046875
139,0.16393442622950816,0.4,0.2325581395348837,0.09375
140,0.20454545454545459,0.2222222222222222,0.21301775147928997,0.09375
141,0.2093023255813954,0.2222222222222222,0.2155688622754491,0.046875
142,0.2093023255813954,0.25,0.2278481012658228,0.046875
143,0.2093023255813954,0.2222222222222222,0.2155688622754491,0.0625
144,0.2571428571428571,0.2222222222222222,0.23841059602649003,0.046875
145,0.3214285714285714,0.2142857142857143,0.2571428571428571,0.03125
146,0.2093023255813954,0.2142857142857143,0.21176470588235297,0.09375
147,0.19148936170212771,0.2222222222222222,0.20571428571428577,0.046875
148,0.20454545454545459,0.2142857142857143,0.2093023255813954,0.0625
149,0.20454545454545459,0.2222222222222222,0.21301775147928997,0.0625
150,0.40909090909090906,0.2222222222222222,0.288,0.015625
151,0.16393442622950816,0.4,0.2325581395348837,0.125
152,0.20454545454545459,0.2142857142857143,0.2093023255813954,0.0625
153,0.16666666666666663,0.25,0.19999999999999998,0.046875
154,0.20454545454545459,0.2222222222222222,0.21301775147928997,0.0625
155,0.16279069767441856,0.4,0.2314049586776859,0.09375
156,0.1777777777777778,0.25,0.2077922077922078,0.046875
157,0.11111111111111116,0.4,0.17391304347826092,0.09375
158,0.18867924528301883,0.25,0.2150537634408602,0.078125
159,0.1428571428571429,0.25,0.18181818181818185,0.078125
160,0.5625,0.2142857142857143,0.3103448275862069,0.015625
161,0.7692307692307692,0.30000000000000004,0.43165467625899284,0.015625
162,0.2142857142857143,0.2222222222222222,0.2181818181818182,0.046875
163,0.13953488372093026,0.25,0.17910447761194032,0.0625
164,0.41666666666666663,0.2142857142857143,0.2830188679245283,0.015625
165,0.2432432432432432,0.2222222222222222,0.23225806451612901,0.046875
166,0.16666666666666663,0.4,0.23529411764705876,0.09375
167,0.18000000000000005,0.2142857142857143,0.19565217391304351,0.078125
168,0.1636363636363637,0.2222222222222222,0.1884816753926702,0.078125
169,0.19999999999999996,0.2222222222222222,0.21052631578947364,0.09375
170,0.6,0.2222222222222222,0.32432432432432434,0.015625
171,0.2727272727272727,0.2222222222222222,0.24489795918367346,0.03125
172,0.3214285714285714,0.2222222222222222,0.2627737226277372,0.046875
173,0.13636363636363635,0.0,0.0,0.09375
174,0.23684210526315785,0.2142857142857143,0.225,0.078125
175,0.19148936170212771,0.2222222222222222,0.20571428571428577,0.0625
176,0.18918918918918914,0.4,0.2568807339449541,0.03125
177,0.2093023255813954,0.2142857142857143,0.21176470588235297,0.0625
178,0.4736842105263158,0.2142857142857143,0.29508196721311475,0.015625
179,0.13095238095238093,0.4,0.19730941704035873,0.1875
180,0.12962962962962965,0.4,0.19580419580419584,0.078125
181,0.20454545454545459,0.2222222222222222,0.21301775147928997,0.078125
182,0.20454545454545459,0.29166666666666663,0.24045801526717558,0.078125
183,0.20454545454545459,0.2222222222222222,0.21301775147928997,0.046875
184,0.34782608695652173,0.25,0.2909090909090909,0.03125
185,0.18000000000000005,0.2142857142857143,0.19565217391304351,0.0625
186,0.17647058823529416,0.2222222222222222,0.19672131147540986,0.109375
