n°_evaluation,fitness,precision,f-measure,time
0,,,,0.046875
1,1.0,0.5454545454545454,0.7058823529411764,0.0
2,0.36363636363636365,0.5,0.4210526315789474,0.171875
3,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3125
4,0.5,0.4545454545454546,0.4761904761904762,0.515625
5,0.5961538461538461,0.5,0.5438596491228069,0.265625
6,0.6153846153846154,0.16666666666666663,0.2622950819672131,0.1875
7,0.6739130434782609,0.16666666666666663,0.26724137931034475,0.21875
8,0.6458333333333333,0.2857142857142857,0.39616613418530344,0.234375
9,0.6458333333333333,0.2857142857142857,0.39616613418530344,0.25
10,0.625,0.4545454545454546,0.5263157894736843,0.234375
11,0.5869565217391304,0.0,0.0,0.25
12,1.0,0.5454545454545454,0.7058823529411764,0.015625
13,0.5909090909090908,0.0,0.0,0.234375
14,0.6,0.46153846153846156,0.5217391304347826,0.078125
15,0.5384615384615384,0.33333333333333337,0.4117647058823529,0.296875
16,0.509090909090909,0.4545454545454546,0.4802744425385935,0.421875
17,0.6363636363636364,0.16666666666666663,0.26415094339622636,0.234375
18,0.7045454545454546,0.4,0.5102880658436215,0.1875
19,0.6590909090909092,0.5,0.5686274509803921,0.21875
20,0.7272727272727273,0.4545454545454546,0.5594405594405595,0.1875
21,0.3870967741935484,0.46153846153846156,0.42105263157894735,0.0625
22,0.6666666666666667,0.5,0.5714285714285715,0.21875
23,0.47457627118644063,0.4545454545454546,0.46434494195688225,0.453125
24,0.6956521739130435,0.16666666666666663,0.26890756302521,0.1875
25,0.6363636363636364,0.44999999999999996,0.5271966527196652,0.265625
26,0.33333333333333337,0.2857142857142857,0.3076923076923077,0.421875
27,0.4642857142857143,0.46153846153846156,0.4629080118694362,0.09375
28,0.7272727272727273,0.46153846153846156,0.5647058823529413,0.1875
29,1.0,0.5384615384615384,0.7000000000000001,0.015625
30,0.5192307692307692,0.46153846153846156,0.48868778280542985,0.375
31,0.6590909090909092,0.5,0.5686274509803921,0.234375
32,0.6041666666666667,0.5,0.5471698113207547,0.28125
33,0.5833333333333333,0.4545454545454546,0.5109489051094891,0.296875
34,0.7058823529411764,0.40909090909090906,0.5179856115107914,0.203125
35,0.6,0.5,0.5454545454545454,0.3125
36,0.5303030303030303,0.4545454545454546,0.48951048951048953,0.46875
37,0.48484848484848486,0.4545454545454546,0.46920821114369504,0.53125
38,0.4918032786885246,0.4545454545454546,0.47244094488188976,0.421875
39,0.5079365079365079,0.16666666666666663,0.25098039215686274,0.375
40,0.64,0.5,0.5614035087719298,0.234375
41,0.52,0.5,0.5098039215686274,0.359375
42,0.5263157894736843,0.4545454545454546,0.48780487804878053,0.40625
43,0.6521739130434783,0.4545454545454546,0.5357142857142857,0.265625
44,0.7272727272727273,0.4545454545454546,0.5594405594405595,0.15625
45,0.8125,0.5,0.6190476190476191,0.0625
46,0.4782608695652174,0.4545454545454546,0.46610169491525427,0.046875
47,0.3939393939393939,0.46153846153846156,0.4250681198910082,0.09375
48,0.4642857142857143,0.4545454545454546,0.45936395759717313,0.109375
49,0.5,0.46153846153846156,0.48000000000000004,0.046875
50,0.6415094339622642,0.4545454545454546,0.5320813771517998,0.25
51,0.6799999999999999,0.4545454545454546,0.5448717948717948,0.1875
52,0.5800000000000001,0.4545454545454546,0.5096660808435852,0.25
53,0.5909090909090908,0.33333333333333337,0.42622950819672134,0.296875
54,0.6818181818181819,0.5,0.576923076923077,0.203125
55,0.7045454545454546,0.5,0.5849056603773585,0.234375
56,0.7272727272727273,0.5,0.5925925925925926,0.203125
57,0.6363636363636364,0.41666666666666663,0.5035971223021583,0.25
58,0.2321428571428571,0.4545454545454546,0.3073286052009456,0.265625
59,0.625,0.16666666666666663,0.26315789473684204,0.21875
60,0.49090909090909096,0.4,0.4408163265306123,0.453125
61,0.6086956521739131,0.2857142857142857,0.3888888888888889,0.21875
62,0.5272727272727273,0.46153846153846156,0.49222065063649223,0.390625
63,0.4782608695652174,0.46153846153846156,0.46975088967971534,0.046875
64,0.5147058823529411,0.4545454545454546,0.48275862068965514,0.46875
65,0.4696969696969697,0.0,0.0,0.5625
66,0.6818181818181819,0.5,0.576923076923077,0.203125
67,0.6363636363636364,0.5,0.56,0.265625
68,0.6363636363636364,0.4545454545454546,0.5303030303030304,0.265625
69,0.5909090909090908,0.46153846153846156,0.5182724252491694,0.265625
70,0.8181818181818181,0.36363636363636365,0.5034965034965035,0.03125
