n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.75,0.8571428571428571,0.0
2,0.2857142857142857,0.7,0.40579710144927533,0.0625
3,0.21999999999999997,0.6666666666666667,0.3308270676691729,0.0625
4,0.171875,0.625,0.2696078431372549,0.140625
5,0.21999999999999997,0.7,0.33478260869565213,0.0625
6,0.21999999999999997,0.25,0.23404255319148934,0.0625
7,0.25,0.25,0.25,0.09375
8,0.23913043478260865,0.4,0.29931972789115646,0.046875
9,0.26086956521739135,0.4,0.31578947368421056,0.0625
10,0.23913043478260865,0.625,0.3459119496855345,0.0625
11,0.18181818181818177,0.0,0.0,0.078125
12,1.0,0.75,0.8571428571428571,0.0
13,0.26190476190476186,0.0,0.0,0.046875
14,0.5,0.6666666666666667,0.5714285714285715,0.015625
15,0.19999999999999996,0.5,0.28571428571428564,0.078125
16,0.2075471698113207,0.625,0.3116147308781869,0.09375
17,0.23809523809523814,0.25,0.24390243902439027,0.046875
18,0.26190476190476186,0.5714285714285714,0.35918367346938773,0.0625
19,0.26190476190476186,0.7,0.38118811881188114,0.046875
20,0.26190476190476186,0.625,0.36912751677852346,0.09375
21,0.31034482758620685,0.6666666666666667,0.4235294117647059,0.03125
22,0.23913043478260865,0.7,0.3564814814814814,0.0625
23,0.19298245614035092,0.625,0.29490616621983917,0.09375
24,0.25,0.25,0.25,0.046875
25,0.2857142857142857,0.75,0.4137931034482759,0.09375
26,0.15714285714285714,0.4,0.22564102564102564,0.109375
27,0.42307692307692313,0.6666666666666667,0.5176470588235295,0.03125
28,0.26190476190476186,0.6666666666666667,0.376068376068376,0.09375
29,1.0,0.7777777777777778,0.8750000000000001,0.0
30,0.21999999999999997,0.6666666666666667,0.3308270676691729,0.0625
31,0.26190476190476186,0.7,0.38118811881188114,0.0625
32,0.23913043478260865,0.7,0.3564814814814814,0.09375
33,0.23913043478260865,0.625,0.3459119496855345,0.0625
34,0.20408163265306123,0.5714285714285714,0.3007518796992481,0.0625
35,0.25,0.7,0.3684210526315789,0.0625
36,0.1875,0.625,0.28846153846153844,0.140625
37,0.171875,0.625,0.2696078431372549,0.09375
38,0.18644067796610164,0.625,0.2872062663185378,0.125
39,0.180327868852459,0.25,0.2095238095238095,0.078125
40,0.25,0.7,0.3684210526315789,0.09375
41,0.22916666666666663,0.7,0.34529147982062774,0.078125
42,0.19999999999999996,0.625,0.303030303030303,0.078125
43,0.25,0.625,0.35714285714285715,0.046875
44,0.26190476190476186,0.625,0.36912751677852346,0.09375
45,0.7857142857142857,0.7,0.7403846153846153,0.015625
46,0.4285714285714286,0.625,0.5084745762711865,0.015625
47,0.29032258064516125,0.6666666666666667,0.4044943820224719,0.03125
48,0.42307692307692313,0.625,0.5045871559633028,0.03125
49,0.40909090909090906,0.6666666666666667,0.5070422535211269,0.015625
50,0.21568627450980393,0.625,0.32069970845481055,0.078125
51,0.25,0.625,0.35714285714285715,0.09375
52,0.22916666666666663,0.625,0.3353658536585365,0.0625
53,0.23809523809523814,0.5,0.32258064516129037,0.0625
54,0.26190476190476186,0.7,0.38118811881188114,0.046875
55,0.26190476190476186,0.7,0.38118811881188114,0.09375
56,0.26190476190476186,0.7,0.38118811881188114,0.046875
57,0.23809523809523814,0.625,0.3448275862068966,0.0625
58,0.20370370370370372,0.625,0.30726256983240224,0.078125
59,0.21739130434782605,0.25,0.2325581395348837,0.078125
60,0.2075471698113207,0.5714285714285714,0.3044982698961937,0.078125
61,0.25,0.4,0.3076923076923077,0.0625
62,0.2075471698113207,0.6666666666666667,0.31654676258992803,0.0625
63,0.4285714285714286,0.6666666666666667,0.5217391304347826,0.0625
64,0.18181818181818177,0.625,0.2816901408450704,0.09375
65,0.15625,0.0,0.0,0.09375
66,0.26190476190476186,0.7,0.38118811881188114,0.09375
