n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.19354838709677424,0.3243243243243244,0.015625
2,0.26190476190476186,0.15555555555555556,0.19518377693282637,0.171875
3,0.21999999999999997,0.1578947368421053,0.1838440111420613,0.171875
4,0.171875,0.16129032258064513,0.1664145234493192,0.25
5,0.21999999999999997,0.15555555555555556,0.18224852071005915,0.203125
6,0.18000000000000005,0.16666666666666663,0.17307692307692307,0.140625
7,0.20454545454545459,0.16666666666666663,0.18367346938775508,0.09375
8,0.28260869565217395,0.12048192771084343,0.1689408706952567,0.21875
9,0.28260869565217395,0.11250000000000004,0.16093535075653376,0.171875
10,0.23913043478260865,0.16129032258064513,0.19264448336252185,0.1875
11,0.15909090909090906,0.0,0.0,0.09375
12,1.0,0.19354838709677424,0.3243243243243244,0.015625
13,0.26190476190476186,0.0,0.0,0.140625
14,0.5,0.1578947368421053,0.24000000000000005,0.03125
15,0.19999999999999996,0.15000000000000002,0.17142857142857143,0.15625
16,0.2075471698113207,0.16129032258064513,0.1815181518151815,0.1875
17,0.19047619047619047,0.16666666666666663,0.17777777777777776,0.140625
18,0.26190476190476186,0.16666666666666663,0.20370370370370366,0.125
19,0.26190476190476186,0.15555555555555556,0.19518377693282637,0.15625
20,0.26190476190476186,0.16129032258064513,0.19963702359346638,0.15625
21,0.31034482758620685,0.1578947368421053,0.20930232558139536,0.078125
22,0.23913043478260865,0.15555555555555556,0.18849449204406363,0.203125
23,0.19298245614035092,0.16129032258064513,0.1757188498402556,0.234375
24,0.20454545454545459,0.16666666666666663,0.18367346938775508,0.09375
25,0.26190476190476186,0.15555555555555556,0.19518377693282637,0.1875
26,0.18571428571428572,0.19999999999999996,0.1925925925925926,0.234375
27,0.42307692307692313,0.1578947368421053,0.22996515679442517,0.078125
28,0.26190476190476186,0.1578947368421053,0.19701492537313434,0.140625
29,1.0,0.1842105263157895,0.31111111111111117,0.015625
30,0.21999999999999997,0.1578947368421053,0.1838440111420613,0.203125
31,0.26190476190476186,0.15555555555555556,0.19518377693282637,0.171875
32,0.23913043478260865,0.15555555555555556,0.18849449204406363,0.171875
33,0.23913043478260865,0.17647058823529416,0.20307692307692307,0.203125
34,0.22448979591836737,0.11392405063291144,0.15114503816793898,0.21875
35,0.22916666666666663,0.15555555555555556,0.18531889290012032,0.171875
36,0.171875,0.16129032258064513,0.1664145234493192,0.25
37,0.171875,0.16129032258064513,0.1664145234493192,0.25
38,0.18644067796610164,0.16129032258064513,0.17295597484276726,0.234375
39,0.180327868852459,0.16666666666666663,0.17322834645669288,0.15625
40,0.22916666666666663,0.15555555555555556,0.18531889290012032,0.203125
41,0.22916666666666663,0.15555555555555556,0.18531889290012032,0.203125
42,0.19999999999999996,0.16129032258064513,0.17857142857142852,0.171875
43,0.25,0.16129032258064513,0.196078431372549,0.1875
44,0.26190476190476186,0.16129032258064513,0.19963702359346638,0.109375
45,0.7857142857142857,0.15555555555555556,0.2596964586846543,0.078125
46,0.47619047619047616,0.1470588235294118,0.22471910112359555,0.09375
47,0.29032258064516125,0.1428571428571429,0.1914893617021277,0.0625
48,0.46153846153846156,0.1470588235294118,0.22304832713754652,0.078125
49,0.4545454545454546,0.1428571428571429,0.21739130434782614,0.0625
50,0.21568627450980393,0.1470588235294118,0.17488076311605727,0.1875
51,0.27083333333333337,0.1470588235294118,0.19061583577712612,0.171875
52,0.29166666666666663,0.14,0.1891891891891892,0.140625
53,0.26190476190476186,0.13636363636363635,0.1793478260869565,0.109375
54,0.33333333333333337,0.12790697674418605,0.18487394957983194,0.1875
55,0.33333333333333337,0.12790697674418605,0.18487394957983194,0.1875
56,0.2857142857142857,0.14,0.18791946308724833,0.140625
57,0.30952380952380953,0.13157894736842102,0.18465909090909088,0.125
58,0.20370370370370372,0.1470588235294118,0.1708074534161491,0.203125
59,0.23913043478260865,0.16666666666666663,0.1964285714285714,0.1875
60,0.24528301886792447,0.1333333333333333,0.17275747508305644,0.140625
61,0.31818181818181823,0.1428571428571429,0.19718309859154934,0.171875
62,0.24528301886792447,0.13043478260869568,0.1703056768558952,0.15625
63,0.47619047619047616,0.1428571428571429,0.21978021978021983,0.09375
64,0.19696969696969702,0.13953488372093026,0.16335078534031416,0.21875
65,0.171875,0.0,0.0,0.171875
66,0.2857142857142857,0.14,0.18791946308724833,0.15625
67,0.2857142857142857,0.14,0.18791946308724833,0.140625
68,0.2857142857142857,0.1470588235294118,0.19417475728155345,0.15625
69,0.26190476190476186,0.13043478260869568,0.1741424802110818,0.140625
70,0.7777777777777778,0.1333333333333333,0.2276422764227642,0.03125
71,0.2571428571428571,0.125,0.16822429906542055,0.078125
72,0.3125,0.11904761904761907,0.1724137931034483,0.125
73,0.65,0.12765957446808507,0.21340629274965794,0.046875
74,0.16923076923076918,0.19999999999999996,0.1833333333333333,0.171875
75,0.2894736842105263,0.1216216216216216,0.17128027681660898,0.109375
76,0.21739130434782605,0.11904761904761907,0.15384615384615385,0.1875
77,0.29729729729729726,0.12727272727272732,0.17824074074074078,0.09375
78,0.22916666666666663,0.13043478260869568,0.16624685138539044,0.140625
79,0.26190476190476186,0.12307692307692308,0.16745956232159848,0.140625
80,0.26190476190476186,0.12727272727272732,0.171301446051168,0.109375
81,0.24528301886792447,0.12328767123287676,0.16409537166900423,0.203125
82,0.26190476190476186,0.12727272727272732,0.171301446051168,0.09375
83,0.26190476190476186,0.12727272727272732,0.171301446051168,0.140625
84,0.23913043478260865,0.1351351351351351,0.17268445839874408,0.109375
