n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.15000000000000002,0.26086956521739135,0.03125
2,0.2857142857142857,0.10606060606060608,0.1546961325966851,0.640625
3,0.21999999999999997,0.1132075471698113,0.14949037372593427,5.53125
4,0.203125,0.125,0.15476190476190477,5.328125
5,0.30000000000000004,0.10126582278481011,0.15141955835962143,3.671875
6,0.36,0.16666666666666663,0.22784810126582275,0.4375
7,0.2954545454545454,0.16666666666666663,0.21311475409836061,0.765625
8,0.30434782608695654,0.09345794392523366,0.14300306435137897,1.65625
9,0.30434782608695654,0.09677419354838712,0.14685314685314688,1.59375
10,0.23913043478260865,0.10126582278481011,0.14227970897332254,5.171875
11,0.18181818181818177,0.0,0.0,3.6875
12,1.0,0.15000000000000002,0.26086956521739135,0.015625
13,0.2857142857142857,0.0,0.0,0.859375
14,0.5555555555555556,0.1132075471698113,0.1880877742946708,0.84375
15,0.31999999999999995,0.08602150537634412,0.13559322033898308,3.65625
16,0.26415094339622647,0.1132075471698113,0.15849056603773584,0.875
17,0.23809523809523814,0.16666666666666663,0.19607843137254902,2.484375
18,0.33333333333333337,0.14814814814814814,0.20512820512820512,0.34375
19,0.2857142857142857,0.10606060606060608,0.1546961325966851,2.421875
20,0.33333333333333337,0.1132075471698113,0.16901408450704225,0.5625
21,0.4137931034482759,0.1132075471698113,0.17777777777777776,0.421875
22,0.32608695652173914,0.10606060606060608,0.16006097560975613,1.140625
23,0.24561403508771928,0.125,0.16568047337278105,2.28125
24,0.25,0.16666666666666663,0.19999999999999998,1.671875
25,0.26190476190476186,0.10606060606060608,0.15098039215686274,2.765625
26,0.19999999999999996,0.2222222222222222,0.21052631578947364,4.0
27,0.46153846153846156,0.10606060606060608,0.17248459958932238,0.484375
28,0.33333333333333337,0.10606060606060608,0.16091954022988508,0.734375
29,1.0,0.13207547169811318,0.23333333333333328,0.0625
30,0.31999999999999995,0.10606060606060608,0.15931721194879092,2.03125
31,0.2857142857142857,0.10606060606060608,0.1546961325966851,2.296875
32,0.26086956521739135,0.10606060606060608,0.15080789946140039,4.96875
33,0.26086956521739135,0.12244897959183676,0.16666666666666669,5.515625
34,0.24489795918367352,0.08411214953271029,0.12521739130434784,1.0625
35,0.3125,0.10606060606060608,0.15837104072398192,5.640625
36,0.25,0.125,0.16666666666666666,0.609375
37,0.25,0.1132075471698113,0.1558441558441558,0.53125
38,0.30508474576271183,0.1132075471698113,0.16513761467889904,6.484375
39,0.2622950819672131,0.16666666666666663,0.2038216560509554,8.0
40,0.3125,0.10606060606060608,0.15837104072398192,4.0
41,0.35416666666666663,0.10126582278481011,0.15749855240301097,1.75
42,0.21818181818181814,0.125,0.15894039735099336,5.328125
43,0.36363636363636365,0.125,0.18604651162790697,0.4375
44,0.33333333333333337,0.125,0.18181818181818182,0.75
45,0.7857142857142857,0.10606060606060608,0.18689320388349517,0.125
46,0.8095238095238095,0.13953488372093026,0.23803967327887984,0.125
47,0.6129032258064516,0.10843373493975905,0.1842672413793104,2.640625
48,0.6153846153846154,0.125,0.2077922077922078,1.84375
49,0.7727272727272727,0.125,0.21518987341772153,0.171875
50,0.3137254901960784,0.1132075471698113,0.16637781629116116,0.40625
51,0.33333333333333337,0.125,0.18181818181818182,1.171875
52,0.35416666666666663,0.125,0.18478260869565216,1.046875
53,0.26190476190476186,0.09999999999999998,0.14473684210526314,2.5625
54,0.26190476190476186,0.10606060606060608,0.15098039215686274,3.46875
55,0.30952380952380953,0.10606060606060608,0.1579861111111111,1.203125
56,0.33333333333333337,0.10126582278481011,0.1553398058252427,0.6875
57,0.23809523809523814,0.09375,0.13452914798206278,3.515625
58,0.4629629629629629,0.1132075471698113,0.18192844147968462,5.765625
59,0.23913043478260865,0.16666666666666663,0.1964285714285714,2.234375
60,0.2075471698113207,0.09375,0.12915851272015655,4.484375
61,0.31818181818181823,0.10526315789473684,0.1581920903954802,0.984375
62,0.2264150943396226,0.09375,0.13259668508287292,1.203125
63,0.7142857142857143,0.125,0.2127659574468085,0.34375
64,0.18181818181818177,0.125,0.14814814814814814,5.359375
65,0.1875,0.0,0.0,2.953125
66,0.2857142857142857,0.10126582278481011,0.14953271028037382,2.0
67,0.2857142857142857,0.10126582278481011,0.14953271028037382,2.890625
68,0.2857142857142857,0.1132075471698113,0.16216216216216212,2.59375
69,0.23809523809523814,0.09375,0.13452914798206278,2.9375
70,0.7777777777777778,0.0888888888888889,0.1595441595441596,0.046875
71,0.34285714285714286,0.10126582278481011,0.1563517915309446,1.3125
72,0.28125,0.09375,0.140625,5.34375
73,0.65,0.09322033898305082,0.16305587229190416,0.609375
74,0.23076923076923073,0.16666666666666663,0.19354838709677413,0.5625
75,0.3421052631578947,0.10606060606060608,0.1619217081850534,2.1875
76,0.23913043478260865,0.09375,0.1346938775510204,4.515625
77,0.32432432432432434,0.10606060606060608,0.1598477640342531,2.359375
78,0.35416666666666663,0.10606060606060608,0.16323731138545955,1.59375
79,0.26190476190476186,0.10606060606060608,0.15098039215686274,2.875
80,0.33333333333333337,0.10606060606060608,0.16091954022988508,0.65625
81,0.26415094339622647,0.09677419354838712,0.1416526138279933,1.53125
82,0.33333333333333337,0.10606060606060608,0.16091954022988508,0.765625
83,0.2857142857142857,0.10606060606060608,0.1546961325966851,1.84375
84,0.30434782608695654,0.125,0.17721518987341772,1.03125
85,0.33333333333333337,0.1132075471698113,0.16901408450704225,0.796875
86,0.26190476190476186,0.14814814814814814,0.18924731182795695,2.03125
87,0.24444444444444446,0.16666666666666663,0.1981981981981982,1.6875
88,0.30000000000000004,0.10126582278481011,0.15141955835962143,3.6875
89,0.27083333333333337,0.1132075471698113,0.15967246673490273,11.984375
90,0.26190476190476186,0.11111111111111116,0.15602836879432627,2.453125
91,0.26190476190476186,0.10606060606060608,0.15098039215686274,2.578125
92,1.0,0.13207547169811318,0.23333333333333328,0.046875
93,0.7777777777777778,0.09375,0.16733067729083667,0.03125
94,0.7777777777777778,0.09375,0.16733067729083667,0.09375
95,0.7692307692307692,0.2222222222222222,0.3448275862068965,0.046875
96,1.0,0.10447761194029848,0.18918918918918912,0.046875
97,0.8181818181818181,0.10606060606060608,0.18777943368107303,0.046875
98,0.23913043478260865,0.1132075471698113,0.1536670547147846,5.3125
99,0.21052631578947367,0.2222222222222222,0.21621621621621623,2.65625
100,0.625,0.10126582278481011,0.17429193899782133,1.84375
101,0.3529411764705882,0.10126582278481011,0.15737704918032785,0.28125
102,0.5333333333333333,0.2142857142857143,0.30573248407643316,0.109375
103,0.2857142857142857,0.09375,0.1411764705882353,1.046875
104,0.2272727272727273,0.16666666666666663,0.1923076923076923,0.921875
105,0.38095238095238093,0.09565217391304348,0.1529105125977411,0.484375
106,0.4545454545454546,0.0,0.0,0.046875
107,0.2786885245901639,0.10606060606060608,0.15364751452550032,10.171875
108,0.6296296296296297,0.09756097560975607,0.16894409937888194,0.96875
109,0.30952380952380953,0.09708737864077666,0.14781125639567932,0.671875
110,0.1777777777777778,0.09375,0.12276214833759591,0.953125
111,0.19696969696969702,0.2222222222222222,0.20883534136546186,9.015625
112,0.2545454545454545,0.10126582278481011,0.1448900388098318,0.78125
113,0.29166666666666663,0.10606060606060608,0.15555555555555556,2.203125
114,0.18867924528301883,0.2222222222222222,0.2040816326530612,3.734375
115,0.30952380952380953,0.09482758620689657,0.1451776649746193,0.703125
116,0.2195121951219512,0.08750000000000002,0.12512413108242307,0.53125
117,0.19047619047619047,0.10526315789473684,0.13559322033898305,1.15625
118,0.16279069767441856,0.10526315789473684,0.1278538812785388,1.359375
119,0.16666666666666663,0.10526315789473684,0.12903225806451613,1.1875
120,0.19999999999999996,0.10526315789473684,0.1379310344827586,0.65625
121,0.3125,0.10606060606060608,0.15837104072398192,3.546875
122,0.2264150943396226,0.10606060606060608,0.14445399828030955,5.765625
123,0.36363636363636365,0.09565217391304348,0.1514629948364888,0.484375
124,0.6923076923076923,0.10126582278481011,0.17668711656441716,0.09375
125,0.21739130434782605,0.0,0.0,0.265625
126,0.6428571428571428,0.10526315789473684,0.18090452261306533,0.0625
127,0.5384615384615384,0.2857142857142857,0.3733333333333333,0.046875
128,0.30434782608695654,0.33333333333333337,0.31818181818181823,0.84375
129,0.23913043478260865,0.10126582278481011,0.14227970897332254,4.328125
130,0.2325581395348837,0.16666666666666663,0.19417475728155337,1.40625
131,0.26086956521739135,0.16666666666666663,0.20338983050847456,0.265625
132,0.3783783783783784,0.08750000000000002,0.1421319796954315,0.484375
133,0.18181818181818177,0.16666666666666663,0.1739130434782608,9.171875
134,0.29166666666666663,0.10526315789473684,0.15469613259668508,0.4375
135,1.0,0.13207547169811318,0.23333333333333328,0.03125
136,0.19999999999999996,0.2142857142857143,0.2068965517241379,0.46875
137,0.8181818181818181,0.1132075471698113,0.19889502762430936,0.359375
138,0.2325581395348837,0.08750000000000002,0.12715712988192554,0.671875
139,0.180327868852459,0.16666666666666663,0.17322834645669288,0.75
140,0.2272727272727273,0.10526315789473684,0.14388489208633093,0.34375
141,0.16279069767441856,0.10526315789473684,0.1278538812785388,1.375
142,0.2325581395348837,0.16666666666666663,0.19417475728155337,0.578125
143,0.2093023255813954,0.10526315789473684,0.14007782101167315,1.109375
144,0.19999999999999996,0.10526315789473684,0.1379310344827586,0.3125
145,0.3214285714285714,0.08750000000000002,0.13755458515283844,1.359375
146,0.2093023255813954,0.08750000000000002,0.12340842311459356,1.078125
147,0.17021276595744683,0.10526315789473684,0.13008130081300812,0.65625
148,0.15909090909090906,0.09375,0.11797752808988764,2.28125
149,0.18181818181818177,0.10526315789473684,0.1333333333333333,0.609375
150,0.31818181818181823,0.10526315789473684,0.1581920903954802,0.25
151,0.2295081967213115,0.2142857142857143,0.22163588390501324,0.71875
152,0.20454545454545459,0.08750000000000002,0.12256809338521403,1.125
153,0.2142857142857143,0.16666666666666663,0.1875,0.453125
154,0.15909090909090906,0.10526315789473684,0.12669683257918551,1.375
155,0.2093023255813954,0.17647058823529416,0.1914893617021277,0.46875
156,0.19999999999999996,0.16666666666666663,0.18181818181818177,0.421875
157,0.1428571428571429,0.17647058823529416,0.1578947368421053,1.9375
158,0.2264150943396226,0.16666666666666663,0.19199999999999998,0.515625
159,0.11904761904761907,0.16666666666666663,0.1388888888888889,1.546875
160,0.4375,0.09375,0.15441176470588236,0.1875
161,0.8461538461538461,0.11538461538461542,0.20307692307692313,0.0625
162,0.2142857142857143,0.10526315789473684,0.1411764705882353,0.609375
163,0.11627906976744184,0.16666666666666663,0.13698630136986298,1.9375
164,0.6666666666666667,0.1351351351351351,0.22471910112359544,0.109375
