n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,1.0,1.0,0.0
2,0.28260869565217395,0.5,0.36111111111111116,0.0625
3,0.2407407407407407,0.6,0.34361233480176206,0.078125
4,0.19117647058823528,0.8333333333333334,0.31100478468899523,0.140625
5,0.2407407407407407,0.5,0.32499999999999996,0.09375
6,0.2407407407407407,0.5,0.32499999999999996,0.109375
7,0.27083333333333337,0.5,0.35135135135135137,0.046875
8,0.26,0.5,0.34210526315789475,0.078125
9,0.26,0.5,0.34210526315789475,0.0625
10,0.26,0.8333333333333334,0.39634146341463417,0.09375
11,0.1875,0.0,0.0,0.0625
12,1.0,1.0,1.0,0.0
13,0.23913043478260865,0.0,0.0,0.0625
14,0.5909090909090908,0.6,0.5954198473282442,0.015625
15,0.20370370370370372,0.5,0.2894736842105263,0.109375
16,0.22807017543859653,0.8333333333333334,0.3581267217630855,0.078125
17,0.23913043478260865,0.5,0.32352941176470584,0.0625
18,0.28260869565217395,0.8,0.41767068273092367,0.09375
19,0.28260869565217395,0.5,0.36111111111111116,0.0625
20,0.28260869565217395,0.8333333333333334,0.4220779220779221,0.0625
21,0.3939393939393939,0.6,0.47560975609756095,0.03125
22,0.26,0.5,0.34210526315789475,0.109375
23,0.21311475409836067,0.8333333333333334,0.33942558746736295,0.09375
24,0.27083333333333337,0.5,0.35135135135135137,0.09375
25,0.28260869565217395,0.5333333333333333,0.369449378330373,0.0625
26,0.17567567567567566,0.6666666666666667,0.27807486631016043,0.15625
27,0.43333333333333335,0.6,0.503225806451613,0.03125
28,0.28260869565217395,0.6,0.3842364532019705,0.0625
29,1.0,0.7,0.8235294117647058,0.0
30,0.2407407407407407,0.6,0.34361233480176206,0.078125
31,0.28260869565217395,0.5,0.36111111111111116,0.09375
32,0.26,0.5,0.34210526315789475,0.078125
33,0.26,0.8333333333333334,0.39634146341463417,0.078125
34,0.16981132075471694,0.5,0.2535211267605633,0.09375
35,0.25,0.5,0.3333333333333333,0.0625
36,0.19117647058823528,0.8333333333333334,0.31100478468899523,0.140625
37,0.19117647058823528,0.8333333333333334,0.31100478468899523,0.109375
38,0.2063492063492064,0.8333333333333334,0.3307888040712469,0.140625
39,0.19999999999999996,0.5,0.28571428571428564,0.09375
40,0.25,0.5,0.3333333333333333,0.109375
41,0.25,0.5,0.3333333333333333,0.078125
42,0.22033898305084743,0.8333333333333334,0.34852546916890076,0.078125
43,0.27083333333333337,0.8333333333333334,0.4088050314465409,0.09375
44,0.28260869565217395,0.8333333333333334,0.4220779220779221,0.0625
45,0.7222222222222222,0.5,0.5909090909090908,0.015625
46,0.6,0.8333333333333334,0.6976744186046512,0.03125
47,0.5142857142857142,0.6,0.5538461538461538,0.078125
48,0.5,0.8333333333333334,0.625,0.078125
49,0.7307692307692308,0.6363636363636364,0.680306905370844,0.03125
50,0.23636363636363633,0.8333333333333334,0.3682719546742209,0.078125
51,0.25,0.8333333333333334,0.3846153846153846,0.078125
52,0.25,0.8333333333333334,0.3846153846153846,0.09375
53,0.23913043478260865,0.5,0.32352941176470584,0.0625
54,0.28260869565217395,0.5,0.36111111111111116,0.0625
55,0.28260869565217395,0.5,0.36111111111111116,0.09375
56,0.28260869565217395,0.5,0.36111111111111116,0.078125
57,0.23913043478260865,0.5,0.32352941176470584,0.046875
58,0.24137931034482762,0.8333333333333334,0.3743315508021391,0.1875
59,0.21999999999999997,0.5,0.3055555555555555,0.0625
60,0.19298245614035092,0.5,0.2784810126582279,0.078125
61,0.27083333333333337,0.6666666666666667,0.38518518518518524,0.09375
62,0.19298245614035092,0.5,0.2784810126582279,0.078125
63,0.6,0.6363636363636364,0.6176470588235293,0.046875
64,0.18571428571428572,0.8333333333333334,0.3037383177570094,0.15625
65,0.16176470588235292,0.0,0.0,0.09375
66,0.28260869565217395,0.5,0.36111111111111116,0.09375
67,0.28260869565217395,0.5,0.36111111111111116,0.0625
68,0.28260869565217395,0.8333333333333334,0.4220779220779221,0.0625
69,0.23913043478260865,0.5,0.32352941176470584,0.0625
70,0.6923076923076923,0.5,0.5806451612903226,0.0
71,0.33333333333333337,0.5,0.4,0.09375
72,0.3055555555555556,0.5,0.37931034482758624,0.03125
73,0.5416666666666667,0.5,0.52,0.03125
74,0.18840579710144922,0.5,0.27368421052631575,0.140625
75,0.30952380952380953,0.5333333333333333,0.391713747645951,0.046875
76,0.21999999999999997,0.5,0.3055555555555555,0.078125
77,0.31707317073170727,0.5,0.38805970149253727,0.046875
78,0.25,0.6,0.35294117647058826,0.109375
79,0.28260869565217395,0.5333333333333333,0.369449378330373,0.0625
80,0.28260869565217395,0.5,0.36111111111111116,0.0625
81,0.22807017543859653,0.5,0.31325301204819284,0.125
82,0.28260869565217395,0.5,0.36111111111111116,0.0625
