n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.6666666666666667,0.8,0.0
2,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.078125
3,0.17647058823529416,0.6666666666666667,0.2790697674418605,0.046875
4,0.1384615384615384,0.5555555555555556,0.2216748768472906,0.09375
5,0.17647058823529416,0.6666666666666667,0.2790697674418605,0.046875
6,0.17647058823529416,0.25,0.20689655172413796,0.09375
7,0.19999999999999996,0.25,0.22222222222222218,0.03125
8,0.19148936170212771,0.25,0.2168674698795181,0.046875
9,0.19148936170212771,0.25,0.2168674698795181,0.046875
10,0.19148936170212771,0.5555555555555556,0.2848101265822785,0.046875
11,0.15555555555555556,0.0,0.0,0.078125
12,1.0,0.6666666666666667,0.8,0.0
13,0.2093023255813954,0.0,0.0,0.046875
14,0.4736842105263158,0.6666666666666667,0.5538461538461539,0.015625
15,0.1568627450980392,0.4285714285714286,0.22966507177033496,0.046875
16,0.16666666666666663,0.5555555555555556,0.2564102564102564,0.0625
17,0.18604651162790697,0.25,0.21333333333333332,0.046875
18,0.2093023255813954,0.5,0.2950819672131148,0.0625
19,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
20,0.2093023255813954,0.5555555555555556,0.3040540540540541,0.046875
21,0.30000000000000004,0.6666666666666667,0.4137931034482759,0.03125
22,0.19148936170212771,0.6666666666666667,0.29752066115702486,0.046875
23,0.15517241379310343,0.5555555555555556,0.2425876010781671,0.09375
24,0.19999999999999996,0.25,0.22222222222222218,0.046875
25,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
26,0.12676056338028174,0.4,0.19251336898395727,0.09375
27,0.33333333333333337,0.6666666666666667,0.44444444444444453,0.046875
28,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
29,0.9,0.6666666666666667,0.7659574468085106,0.0
30,0.17647058823529416,0.6666666666666667,0.2790697674418605,0.0625
31,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
32,0.19148936170212771,0.6666666666666667,0.29752066115702486,0.046875
33,0.19148936170212771,0.5555555555555556,0.2848101265822785,0.046875
34,0.14,0.25,0.1794871794871795,0.09375
35,0.18367346938775508,0.6666666666666667,0.288,0.046875
36,0.1384615384615384,0.5555555555555556,0.2216748768472906,0.078125
37,0.1384615384615384,0.5555555555555556,0.2216748768472906,0.125
38,0.15000000000000002,0.5555555555555556,0.23622047244094488,0.0625
39,0.14516129032258063,0.25,0.18367346938775508,0.078125
40,0.18367346938775508,0.6666666666666667,0.288,0.09375
41,0.18367346938775508,0.6666666666666667,0.288,0.046875
42,0.1607142857142857,0.5555555555555556,0.24930747922437674,0.0625
43,0.19999999999999996,0.5555555555555556,0.2941176470588235,0.046875
44,0.2093023255813954,0.5555555555555556,0.3040540540540541,0.046875
45,0.6,0.6666666666666667,0.6315789473684211,0.046875
46,0.40909090909090906,0.5555555555555556,0.4712041884816754,0.015625
47,0.28125,0.6666666666666667,0.39560439560439564,0.03125
48,0.33333333333333337,0.5555555555555556,0.4166666666666667,0.015625
49,0.3913043478260869,0.6666666666666667,0.4931506849315068,0.015625
50,0.17307692307692313,0.5555555555555556,0.2639296187683285,0.0625
51,0.18367346938775508,0.5555555555555556,0.2760736196319018,0.046875
52,0.18367346938775508,0.5555555555555556,0.2760736196319018,0.09375
53,0.18604651162790697,0.4285714285714286,0.2594594594594595,0.03125
54,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
55,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
56,0.2093023255813954,0.6666666666666667,0.3185840707964603,0.046875
57,0.18604651162790697,0.625,0.2867383512544803,0.046875
58,0.1636363636363637,0.5555555555555556,0.252808988764045,0.09375
59,0.17021276595744683,0.25,0.20253164556962028,0.046875
60,0.14814814814814814,0.5,0.22857142857142856,0.0625
61,0.19999999999999996,0.4,0.26666666666666666,0.046875
62,0.14814814814814814,0.625,0.23952095808383234,0.09375
63,0.40909090909090906,0.6666666666666667,0.5070422535211269,0.015625
64,0.13432835820895528,0.5555555555555556,0.2163461538461539,0.09375
