n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.8571428571428572,0.9230769230769231,0.015625
2,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.03125
3,0.2075471698113207,0.8571428571428572,0.33417721518987337,0.046875
4,0.16417910447761197,0.7142857142857143,0.26699029126213597,0.078125
5,0.2075471698113207,0.8571428571428572,0.33417721518987337,0.078125
6,0.2075471698113207,0.33333333333333337,0.2558139534883721,0.046875
7,0.23404255319148937,0.33333333333333337,0.275,0.046875
8,0.22448979591836737,0.33333333333333337,0.2682926829268293,0.03125
9,0.22448979591836737,0.33333333333333337,0.2682926829268293,0.046875
10,0.22448979591836737,0.7142857142857143,0.34161490683229817,0.03125
11,0.17021276595744683,0.0,0.0,0.078125
12,1.0,0.8571428571428572,0.9230769230769231,0.0
13,0.2222222222222222,0.0,0.0,0.03125
14,0.5238095238095238,0.8571428571428572,0.6502463054187193,0.015625
15,0.18867924528301883,0.6,0.2870813397129186,0.046875
16,0.1964285714285714,0.7142857142857143,0.30812324929971985,0.0625
17,0.2222222222222222,0.33333333333333337,0.26666666666666666,0.03125
18,0.24444444444444446,0.6666666666666667,0.3577235772357724,0.03125
19,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.078125
20,0.24444444444444446,0.7142857142857143,0.3642384105960265,0.03125
21,0.34375,0.8571428571428572,0.4907063197026022,0.015625
22,0.22448979591836737,0.8571428571428572,0.3557951482479785,0.046875
23,0.18333333333333335,0.7142857142857143,0.2917771883289125,0.0625
24,0.23404255319148937,0.33333333333333337,0.275,0.03125
25,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.078125
26,0.15068493150684936,0.5,0.2315789473684211,0.078125
27,0.3793103448275862,0.8571428571428572,0.5258964143426293,0.015625
28,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.046875
29,0.9166666666666666,0.8571428571428572,0.8859060402684564,0.0
30,0.2075471698113207,0.8571428571428572,0.33417721518987337,0.09375
31,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.03125
32,0.22448979591836737,0.8571428571428572,0.3557951482479785,0.046875
33,0.22448979591836737,0.7142857142857143,0.34161490683229817,0.046875
34,0.15384615384615385,0.33333333333333337,0.21052631578947367,0.03125
35,0.21568627450980393,0.8571428571428572,0.3446475195822454,0.046875
36,0.16417910447761197,0.7142857142857143,0.26699029126213597,0.109375
37,0.16417910447761197,0.7142857142857143,0.26699029126213597,0.078125
38,0.17741935483870963,0.7142857142857143,0.2842377260981912,0.0625
39,0.171875,0.33333333333333337,0.2268041237113402,0.09375
40,0.21568627450980393,0.8571428571428572,0.3446475195822454,0.046875
41,0.21568627450980393,0.8571428571428572,0.3446475195822454,0.046875
42,0.18965517241379315,0.7142857142857143,0.29972752043596734,0.0625
43,0.23404255319148937,0.7142857142857143,0.35256410256410253,0.0625
44,0.24444444444444446,0.7142857142857143,0.3642384105960265,0.046875
45,0.6470588235294117,0.8571428571428572,0.7374301675977654,0.0
46,0.45833333333333337,0.7142857142857143,0.5583756345177666,0.015625
47,0.32352941176470584,0.8571428571428572,0.4697508896797153,0.03125
48,0.3793103448275862,0.7142857142857143,0.4954954954954955,0.015625
49,0.43999999999999995,0.8571428571428572,0.5814977973568282,0.015625
50,0.20370370370370372,0.7142857142857143,0.3170028818443804,0.046875
51,0.21568627450980393,0.7142857142857143,0.3313253012048193,0.046875
52,0.21568627450980393,0.7142857142857143,0.3313253012048193,0.078125
53,0.2222222222222222,0.6,0.32432432432432434,0.046875
54,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.03125
55,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.046875
56,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.03125
57,0.2222222222222222,0.8333333333333334,0.3508771929824561,0.03125
58,0.19298245614035092,0.7142857142857143,0.30386740331491724,0.09375
59,0.20408163265306123,0.33333333333333337,0.25316455696202533,0.03125
60,0.1785714285714286,0.6666666666666667,0.2816901408450705,0.0625
61,0.23404255319148937,0.5,0.31884057971014496,0.03125
62,0.1785714285714286,0.8333333333333334,0.2941176470588236,0.0625
63,0.45833333333333337,0.8571428571428572,0.5972850678733032,0.046875
64,0.1594202898550725,0.7142857142857143,0.26066350710900477,0.078125
65,0.14925373134328357,0.0,0.0,0.0625
66,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.046875
67,0.24444444444444446,0.8571428571428572,0.3804034582132565,0.0625
68,0.24444444444444446,0.7142857142857143,0.3642384105960265,0.046875
