n°_evaluation,fitness,precision,f-measure,static_fitness,static_precision,static_f-measure
0,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571
1,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
2,0.16000000000000003,0.75,0.2637362637362638,0.16000000000000003,0.75,0.2637362637362638
3,0.125,0.625,0.20833333333333334,0.125,0.625,0.20833333333333334
4,0.16000000000000003,0.75,0.2637362637362638,0.16000000000000003,0.75,0.2637362637362638
5,0.16000000000000003,0.25,0.19512195121951223,0.16000000000000003,0.25,0.19512195121951223
6,0.18181818181818177,0.25,0.21052631578947364,0.18181818181818177,0.25,0.21052631578947364
7,0.17391304347826086,0.25,0.20512820512820512,0.17391304347826086,0.25,0.20512820512820512
8,0.17391304347826086,0.25,0.20512820512820512,0.17391304347826086,0.25,0.20512820512820512
9,0.17391304347826086,0.625,0.27210884353741494,0.17391304347826086,0.625,0.27210884353741494
10,0.11363636363636365,0.0,0.0,0.11363636363636365,0.0,0.0
11,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571
12,0.16666666666666663,0.0,0.0,0.16666666666666663,0.0,0.0
13,0.4444444444444444,0.75,0.5581395348837209,0.4444444444444444,0.75,0.5581395348837209
14,0.14,0.5,0.21875000000000003,0.14,0.5,0.21875000000000003
15,0.15094339622641506,0.625,0.24316109422492396,0.15094339622641506,0.625,0.24316109422492396
16,0.16666666666666663,0.25,0.19999999999999998,0.16666666666666663,0.25,0.19999999999999998
17,0.19047619047619047,0.5714285714285714,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.2857142857142857
18,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
19,0.19047619047619047,0.625,0.291970802919708,0.19047619047619047,0.625,0.291970802919708
20,0.27586206896551724,0.75,0.4033613445378151,0.27586206896551724,0.75,0.4033613445378151
21,0.17391304347826086,0.75,0.2823529411764706,0.17391304347826086,0.75,0.2823529411764706
22,0.14035087719298245,0.625,0.2292263610315186,0.14035087719298245,0.625,0.2292263610315186
23,0.18181818181818177,0.25,0.21052631578947364,0.18181818181818177,0.25,0.21052631578947364
24,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
25,0.11428571428571432,0.4,0.17777777777777784,0.11428571428571432,0.4,0.17777777777777784
26,0.3076923076923077,0.75,0.4363636363636364,0.3076923076923077,0.75,0.4363636363636364
27,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
28,0.8888888888888888,0.75,0.8135593220338982,0.8888888888888888,0.75,0.8135593220338982
29,0.16000000000000003,0.75,0.2637362637362638,0.16000000000000003,0.75,0.2637362637362638
30,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
31,0.17391304347826086,0.75,0.2823529411764706,0.17391304347826086,0.75,0.2823529411764706
32,0.17391304347826086,0.625,0.27210884353741494,0.17391304347826086,0.625,0.27210884353741494
33,0.10204081632653061,0.25,0.14492753623188406,0.10204081632653061,0.25,0.14492753623188406
34,0.16666666666666663,0.75,0.27272727272727265,0.16666666666666663,0.75,0.27272727272727265
35,0.125,0.625,0.20833333333333334,0.125,0.625,0.20833333333333334
36,0.125,0.625,0.20833333333333334,0.125,0.625,0.20833333333333334
37,0.13559322033898302,0.625,0.2228412256267409,0.13559322033898302,0.625,0.2228412256267409
38,0.1311475409836066,0.25,0.1720430107526882,0.1311475409836066,0.25,0.1720430107526882
39,0.16666666666666663,0.75,0.27272727272727265,0.16666666666666663,0.75,0.27272727272727265
40,0.16666666666666663,0.75,0.27272727272727265,0.16666666666666663,0.75,0.27272727272727265
41,0.1454545454545455,0.625,0.23598820058997055,0.1454545454545455,0.625,0.23598820058997055
42,0.18181818181818177,0.625,0.2816901408450704,0.18181818181818177,0.625,0.2816901408450704
43,0.19047619047619047,0.625,0.291970802919708,0.19047619047619047,0.625,0.291970802919708
44,0.5714285714285714,0.75,0.6486486486486486,0.5714285714285714,0.75,0.6486486486486486
45,0.38095238095238093,0.625,0.47337278106508873,0.38095238095238093,0.625,0.47337278106508873
46,0.25806451612903225,0.75,0.384,0.25806451612903225,0.75,0.384
47,0.3076923076923077,0.625,0.4123711340206186,0.3076923076923077,0.625,0.4123711340206186
48,0.36363636363636365,0.75,0.48979591836734687,0.36363636363636365,0.75,0.48979591836734687
49,0.1568627450980392,0.625,0.2507836990595611,0.1568627450980392,0.625,0.2507836990595611
50,0.16666666666666663,0.625,0.26315789473684204,0.16666666666666663,0.625,0.26315789473684204
51,0.16666666666666663,0.625,0.26315789473684204,0.16666666666666663,0.625,0.26315789473684204
52,0.16666666666666663,0.5,0.24999999999999994,0.16666666666666663,0.5,0.24999999999999994
53,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
54,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
55,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
56,0.16666666666666663,0.7142857142857143,0.27027027027027023,0.16666666666666663,0.7142857142857143,0.27027027027027023
57,0.14814814814814814,0.625,0.23952095808383234,0.14814814814814814,0.625,0.23952095808383234
58,0.15217391304347827,0.25,0.1891891891891892,0.15217391304347827,0.25,0.1891891891891892
59,0.13207547169811318,0.5714285714285714,0.21455938697318006,0.13207547169811318,0.5714285714285714,0.21455938697318006
60,0.18181818181818177,0.4,0.24999999999999994,0.18181818181818177,0.4,0.24999999999999994
61,0.13207547169811318,0.7142857142857143,0.22292993630573243,0.13207547169811318,0.7142857142857143,0.22292993630573243
62,0.38095238095238093,0.75,0.5052631578947369,0.38095238095238093,0.75,0.5052631578947369
63,0.12121212121212122,0.625,0.20304568527918782,0.12121212121212122,0.625,0.20304568527918782
64,0.109375,0.0,0.0,0.109375,0.0,0.0
65,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
66,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
67,0.19047619047619047,0.625,0.291970802919708,0.19047619047619047,0.625,0.291970802919708
68,0.16666666666666663,0.7142857142857143,0.27027027027027023,0.16666666666666663,0.7142857142857143,0.27027027027027023
69,0.5555555555555556,0.5,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842
70,0.22857142857142854,0.75,0.3503649635036496,0.22857142857142854,0.75,0.3503649635036496
71,0.21875,0.7142857142857143,0.33492822966507174,0.21875,0.7142857142857143,0.33492822966507174
72,0.4,0.25,0.3076923076923077,0.4,0.25,0.3076923076923077
73,0.12307692307692308,0.25,0.16494845360824742,0.12307692307692308,0.25,0.16494845360824742
74,0.21052631578947367,0.75,0.3287671232876712,0.21052631578947367,0.75,0.3287671232876712
75,0.15217391304347827,0.7142857142857143,0.2508960573476703,0.15217391304347827,0.7142857142857143,0.2508960573476703
76,0.21621621621621623,0.75,0.3356643356643357,0.21621621621621623,0.75,0.3356643356643357
77,0.16666666666666663,0.75,0.27272727272727265,0.16666666666666663,0.75,0.27272727272727265
78,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
79,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
80,0.15094339622641506,0.25,0.18823529411764703,0.15094339622641506,0.25,0.18823529411764703
81,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
82,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
83,0.17391304347826086,0.625,0.27210884353741494,0.17391304347826086,0.625,0.27210884353741494
84,0.19047619047619047,0.625,0.291970802919708,0.19047619047619047,0.625,0.291970802919708
85,0.19047619047619047,0.5714285714285714,0.2857142857142857,0.19047619047619047,0.5714285714285714,0.2857142857142857
86,0.11111111111111116,0.25,0.15384615384615388,0.11111111111111116,0.25,0.15384615384615388
87,0.16000000000000003,0.75,0.2637362637362638,0.16000000000000003,0.75,0.2637362637362638
88,0.16666666666666663,0.625,0.26315789473684204,0.16666666666666663,0.625,0.26315789473684204
89,0.16666666666666663,0.33333333333333337,0.2222222222222222,0.16666666666666663,0.33333333333333337,0.2222222222222222
90,0.19047619047619047,0.75,0.3037974683544304,0.19047619047619047,0.75,0.3037974683544304
91,0.8888888888888888,0.75,0.8135593220338982,0.8888888888888888,0.75,0.8135593220338982
92,0.7777777777777778,0.5714285714285714,0.6588235294117646,0.7777777777777778,0.5714285714285714,0.6588235294117646
93,0.7777777777777778,0.5714285714285714,0.6588235294117646,0.7777777777777778,0.5714285714285714,0.6588235294117646
94,0.6153846153846154,0.4,0.4848484848484849,0.6153846153846154,0.4,0.4848484848484849
95,0.7777777777777778,0.5,0.6086956521739131,0.7777777777777778,0.5,0.6086956521739131
96,0.7272727272727273,0.75,0.7384615384615384,0.7272727272727273,0.75,0.7384615384615384
97,0.17391304347826086,0.625,0.27210884353741494,0.17391304347826086,0.625,0.27210884353741494
98,0.10526315789473684,0.4,0.16666666666666666,0.10526315789473684,0.4,0.16666666666666666
99,0.33333333333333337,0.75,0.46153846153846145,0.33333333333333337,0.75,0.46153846153846145
100,0.23529411764705888,0.75,0.35820895522388063,0.23529411764705888,0.75,0.35820895522388063
101,0.33333333333333337,0.4,0.3636363636363637,0.33333333333333337,0.4,0.3636363636363637
102,0.16666666666666663,0.7142857142857143,0.27027027027027023,0.16666666666666663,0.7142857142857143,0.27027027027027023
103,0.18181818181818177,0.25,0.21052631578947364,0.18181818181818177,0.25,0.21052631578947364
104,0.19047619047619047,0.4,0.25806451612903225,0.19047619047619047,0.4,0.25806451612903225
105,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.0
106,0.1311475409836066,0.75,0.22325581395348842,0.1311475409836066,0.75,0.22325581395348842
107,0.2222222222222222,0.5,0.30769230769230765,0.2222222222222222,0.5,0.30769230769230765
108,0.19047619047619047,0.4,0.25806451612903225,0.19047619047619047,0.4,0.25806451612903225
109,0.15555555555555556,0.5714285714285714,0.24454148471615722,0.15555555555555556,0.5714285714285714,0.24454148471615722
110,0.0757575757575758,0.4,0.1273885350318472,0.0757575757575758,0.4,0.1273885350318472
111,0.1454545454545455,0.75,0.24365482233502544,0.1454545454545455,0.75,0.24365482233502544
112,0.16666666666666663,0.75,0.27272727272727265,0.16666666666666663,0.75,0.27272727272727265
113,0.15094339622641506,0.4,0.21917808219178078,0.15094339622641506,0.4,0.21917808219178078
114,0.19047619047619047,0.4,0.25806451612903225,0.19047619047619047,0.4,0.25806451612903225
115,0.1707317073170732,0.5,0.2545454545454546,0.1707317073170732,0.5,0.2545454545454546
116,0.16666666666666663,0.4,0.23529411764705876,0.16666666666666663,0.4,0.23529411764705876
117,0.16279069767441856,0.4,0.2314049586776859,0.16279069767441856,0.4,0.2314049586776859
118,0.16666666666666663,0.4,0.23529411764705876,0.16666666666666663,0.4,0.23529411764705876
119,0.15555555555555556,0.4,0.224,0.15555555555555556,0.4,0.224
