experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,P,NFL NFR D,0.9801382570316396,0.2383394459285978,0.3746885100875591,21.65625,"[25, 17, 31, 17, 31, 17, 31, 17, 19, 17, 17, 17, 17, 19, 23, 19, 23, 19, 23, 19, 23, 19, 19, 23, 19, 23, 19, 23, 12, 13, 12, 7, 13, 7, 11, 11, 11, 11, 11]"
2,FRQ,P,NFL NFR S,0.9920702561327562,0.1648838702147524,0.2827088497650895,27.046875,[25]
3,FRQ,P,NFL UFR D,0.9801382570316396,0.2383394459285978,0.3746885100875591,23.140625,"[17, 17, 17, 17, 17, 17, 17, 11, 17, 17, 16, 17, 16, 17, 17, 17, 17, 17, 21, 17, 21, 17, 17, 21, 11, 21, 17, 17, 13, 13, 13, 14, 13, 14, 11, 16, 18, 11, 11]"
4,FRQ,P,NFL UFR S,0.9920702561327562,0.1648838702147524,0.2827088497650895,25.140625,[17]
5,FRQ,P,UFL NFR D,0.9612544066772007,0.3794831848352215,0.5267541781763618,17.421875,"[9, 7, 6, 9, 6, 10, 6, 8, 6, 6, 13, 6, 12, 6, 13, 6, 8, 6, 15, 6, 13, 6, 8, 8, 8, 15, 10, 8, 8, 10, 10, 5, 8, 8, 12, 8, 12, 15, 15]"
6,FRQ,P,UFL NFR S,0.9223098744616912,0.4811277554251035,0.62474008226323,16.65625,[8]
7,FRQ,P,UFL UFR D,0.9162391046312464,0.7963643790849674,0.8343934243520369,16.28125,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
8,FRQ,P,UFL UFR S,0.9162391046312464,0.7963643790849674,0.8343934243520369,14.65625,[6]
9,FRQ,5,NFL NFR D,0.9736149090560856,0.3099027793698804,0.4660227148282538,19.125,"[18, 17, 13, 17, 17, 17, 17, 17, 11, 8]"
10,FRQ,5,NFL NFR S,0.9276638540517216,0.2551604305549255,0.3993396843339791,21.75,[18]
11,FRQ,5,NFL UFR D,0.9736149090560856,0.3099027793698804,0.4660227148282538,19.078125,"[17, 17, 11, 16, 17, 16, 17, 16, 11, 8]"
12,FRQ,5,NFL UFR S,0.9276638540517216,0.2551604305549255,0.3993396843339791,20.96875,[17]
13,FRQ,5,UFL NFR D,0.9087033494267492,0.4511114784821685,0.5941071767340108,17.21875,"[7, 6, 9, 12, 6, 15, 6, 14, 10, 8]"
14,FRQ,5,UFL NFR S,0.9223098744616912,0.4811277554251035,0.62474008226323,16.34375,[7]
15,FRQ,5,UFL UFR D,0.9162391046312464,0.7963643790849674,0.8343934243520369,14.875,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
16,FRQ,5,UFL UFR S,0.9162391046312464,0.7963643790849674,0.8343934243520369,14.46875,[6]
17,FRQ,10,NFL NFR D,0.9923529942279944,0.1613833450046684,0.2774698107106861,22.5625,"[15, 24, 15, 24, 14, 15, 18, 34, 24, 20, 20, 12, 14, 7, 7, 14]"
18,FRQ,10,NFL NFR S,0.9936100147129558,0.1416240246098439,0.2478780897227251,24.765625,[15]
19,FRQ,10,NFL UFR D,0.9923529942279944,0.1613833450046684,0.2774698107106861,25.484375,"[24, 40, 27, 34, 21, 32, 10, 32, 24, 17, 14, 11, 14, 14, 14, 14]"
20,FRQ,10,NFL UFR S,0.9936100147129558,0.1416240246098439,0.2478780897227251,28.046875,[24]
21,FRQ,10,UFL NFR D,0.9464499607146666,0.3671297743867121,0.5200897183644134,16.609375,"[10, 9, 9, 9, 9, 9, 10, 10, 10, 17, 8, 13, 11, 8, 8, 5]"
22,FRQ,10,UFL NFR S,0.9223098744616912,0.4811277554251035,0.62474008226323,16.4375,[9]
23,FRQ,10,UFL UFR D,0.9162391046312464,0.7963643790849674,0.8343934243520369,15.578125,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 6]"
24,FRQ,10,UFL UFR S,0.9162391046312464,0.7963643790849674,0.8343934243520369,14.796875,[6]
25,FRQ,15,NFL NFR D,0.994498106060606,0.1528613806633764,0.2647814669118551,23.96875,"[14, 17, 17, 20, 18, 25, 29, 16, 16, 16, 25, 26, 25, 7, 7, 7, 7, 7, 10, 7, 7, 18, 10, 18]"
26,FRQ,15,NFL NFR S,0.9936100147129558,0.1416240246098439,0.2478780897227251,25.96875,[14]
27,FRQ,15,NFL UFR D,0.994498106060606,0.1528613806633764,0.2647814669118551,24.90625,"[39, 11, 33, 31, 47, 14, 10, 10, 10, 10, 10, 10, 10, 14, 7, 10, 7, 7, 10, 7, 7, 18, 29, 18]"
28,FRQ,15,NFL UFR S,0.9936100147129558,0.1416240246098439,0.2478780897227251,34.953125,[39]
29,FRQ,15,UFL NFR D,0.9707564263078968,0.3138696875755997,0.4660813127980374,18.84375,"[9, 10, 13, 15, 11, 10, 11, 17, 17, 10, 8, 15, 8, 11, 12, 15, 15, 15, 16, 14, 11, 8, 8, 12]"
30,FRQ,15,UFL NFR S,0.9223098744616912,0.4811277554251035,0.62474008226323,16.75,[8]
31,FRQ,15,UFL UFR D,0.9162391046312464,0.7963643790849674,0.8343934243520369,15.9375,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
32,FRQ,15,UFL UFR S,0.9162391046312464,0.7963643790849674,0.8343934243520369,14.765625,[6]
