experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,P,NFL NFR D,0.9794453782335945,0.4036198591376382,0.5619856744837562,23.921875,"[12, 11, 13, 12, 13, 12, 13, 10, 13, 13, 9, 13, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 10, 13, 10, 13, 10, 13, 13, 13, 13, 16, 13, 16, 15, 14, 15, 14, 15]"
2,FRQ,P,NFL NFR S,0.9528796845935688,0.3382042317868962,0.49597896725624,23.46875,[12]
3,FRQ,P,NFL UFR D,0.9794453782335945,0.4036198591376382,0.5619856744837562,24.109375,"[12, 11, 13, 12, 13, 12, 13, 10, 13, 13, 9, 13, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 10, 13, 10, 13, 10, 13, 13, 13, 13, 16, 13, 16, 15, 14, 15, 14, 15]"
4,FRQ,P,NFL UFR S,0.9528796845935688,0.3382042317868962,0.49597896725624,23.71875,[12]
5,FRQ,P,UFL NFR D,0.9725180954569383,0.436388130613653,0.5930743885465956,21.921875,"[12, 14, 11, 12, 11, 12, 11, 10, 13, 11, 9, 11, 9, 13, 13, 13, 13, 13, 13, 13, 13, 13, 10, 13, 10, 13, 10, 13, 10, 10, 10, 16, 10, 16, 12, 11, 12, 11, 12]"
6,FRQ,P,UFL NFR S,0.9528796845935688,0.3382042317868962,0.49597896725624,23.421875,[12]
7,FRQ,P,UFL UFR D,0.965604092664908,0.4575970804874351,0.6142472869856643,27.171875,"[13, 13, 11, 13, 11, 13, 11, 10, 11, 11, 9, 11, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 10, 11, 10, 11, 10, 10, 10, 11, 10, 11, 12, 11, 12, 11, 12]"
8,FRQ,P,UFL UFR S,0.9435891795230088,0.3725796820282115,0.5287784505698581,24.109375,[13]
9,FRQ,5,NFL NFR D,0.9695788341023442,0.4598101409901116,0.6152701692687145,21.09375,"[11, 13, 10, 9, 13, 9, 13, 9, 10, 12]"
10,FRQ,5,NFL NFR S,0.9491251790801624,0.4524003932111802,0.6074156577395425,20.640625,[11]
11,FRQ,5,NFL UFR D,0.9695788341023442,0.4598101409901116,0.6152701692687145,21.046875,"[11, 13, 10, 9, 13, 9, 13, 9, 10, 12]"
12,FRQ,5,NFL UFR S,0.9491251790801624,0.4524003932111802,0.6074156577395425,20.390625,[11]
13,FRQ,5,UFL NFR D,0.9675382422131364,0.4729804949407993,0.6288096736215193,20.703125,"[14, 11, 10, 9, 11, 9, 11, 9, 10, 12]"
14,FRQ,5,UFL NFR S,0.9530670646755204,0.297589367907871,0.4512071122988567,26.234375,[14]
15,FRQ,5,UFL UFR D,0.9637548070104754,0.4964105322301688,0.6482413086216038,20.15625,"[13, 11, 10, 9, 11, 9, 11, 9, 10, 9]"
16,FRQ,5,UFL UFR S,0.9435891795230088,0.3725796820282115,0.5287784505698581,24.25,[13]
17,FRQ,10,NFL NFR D,0.9842019215698588,0.2960711982416464,0.449686646551982,29.90625,"[14, 14, 14, 14, 14, 14, 18, 14, 15, 17, 17, 16, 20, 16, 16, 16]"
18,FRQ,10,NFL NFR S,0.9868160005843828,0.2221983182477692,0.3608612490813895,29.59375,[14]
19,FRQ,10,NFL UFR D,0.9842019215698588,0.2960711982416464,0.449686646551982,29.984375,"[14, 14, 14, 14, 14, 14, 18, 14, 15, 17, 17, 16, 20, 16, 16, 16]"
20,FRQ,10,NFL UFR S,0.9868160005843828,0.2221983182477692,0.3608612490813895,29.3125,[14]
21,FRQ,10,UFL NFR D,0.984428530007574,0.2928884593662154,0.4486572065945462,29.484375,"[14, 13, 14, 13, 14, 14, 14, 14, 15, 17, 17, 16, 17, 13, 16, 16]"
22,FRQ,10,UFL NFR S,0.952997258332466,0.3076616986810012,0.4619905751250825,27.0625,[14]
23,FRQ,10,UFL UFR D,0.943356675099328,0.3804157786737804,0.5358240691369586,27.34375,"[13, 13, 13, 13, 13, 13, 17, 13, 20, 20, 17, 17, 17, 13, 11, 13]"
24,FRQ,10,UFL UFR S,0.943706753261906,0.3317148877810643,0.4856370522098741,25.515625,[13]
25,FRQ,15,NFL NFR D,0.9920599770599772,0.2546756271278843,0.402734098340783,35.640625,"[18, 18, 18, 18, 21, 21, 18, 18, 18, 18, 18, 18, 18, 21, 19, 21, 19, 20, 23, 20, 22, 22, 22, 22]"
26,FRQ,15,NFL NFR S,0.991263129912027,0.2186695340467351,0.356799585664645,33.0625,[18]
