experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,P,NFL NFR D,0.973996441957452,0.4682820724312768,0.6265799479917181,21.03125,"[12, 10, 12, 12, 12, 12, 12, 11, 10, 10, 9, 10, 9, 10, 13, 10, 13, 10, 13, 10, 13, 10, 12, 13, 12, 13, 12, 13, 12, 12, 12, 14, 12, 14, 13, 12, 13, 12, 13]"
2,FRQ,P,NFL NFR S,0.9506125780617564,0.4007435486253951,0.5588363508586165,21.578125,[12]
3,FRQ,P,NFL UFR D,0.973996441957452,0.4682820724312768,0.6265799479917181,22.484375,"[12, 10, 12, 12, 12, 12, 12, 11, 10, 10, 9, 10, 9, 10, 13, 10, 13, 10, 13, 10, 13, 10, 12, 13, 12, 13, 12, 13, 12, 12, 12, 14, 12, 14, 13, 12, 13, 12, 13]"
4,FRQ,P,NFL UFR S,0.9506125780617564,0.4007435486253951,0.5588363508586165,21.46875,[12]
5,FRQ,P,UFL NFR D,0.9633487934978444,0.5150561698578339,0.6638045254029891,18.78125,"[9, 9, 8, 9, 8, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 8, 8, 8, 9, 8, 9, 8, 9]"
6,FRQ,P,UFL NFR S,0.944938282480283,0.4960436920034442,0.6434648850107079,19.203125,[9]
7,FRQ,P,UFL UFR D,0.9497295757058324,0.5024914327158908,0.6504157131074468,20.75,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 11, 10, 9, 8, 9]"
8,FRQ,P,UFL UFR S,0.944938282480283,0.4960436920034442,0.6434648850107079,19.0,[9]
9,FRQ,5,NFL NFR D,0.9675317492427592,0.5123595550331059,0.6632670771905392,19.6875,"[10, 10, 11, 9, 10, 9, 10, 9, 12, 11]"
10,FRQ,5,NFL NFR S,0.9491251790801624,0.4524003932111802,0.6074156577395425,19.453125,[10]
11,FRQ,5,NFL UFR D,0.9675317492427592,0.5123595550331059,0.6632670771905392,19.984375,"[10, 10, 11, 9, 10, 9, 10, 9, 12, 11]"
12,FRQ,5,NFL UFR S,0.9491251790801624,0.4524003932111802,0.6074156577395425,19.453125,[10]
13,FRQ,5,UFL NFR D,0.9595157635824184,0.5612924737228142,0.6988958323622406,17.78125,"[9, 9, 8, 9, 9, 9, 9, 9, 8, 7]"
14,FRQ,5,UFL NFR S,0.944938282480283,0.4960436920034442,0.6434648850107079,19.015625,[9]
15,FRQ,5,UFL UFR D,0.9445020663271552,0.5372174039124503,0.6768142832331915,18.1875,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 8]"
16,FRQ,5,UFL UFR S,0.944938282480283,0.4960436920034442,0.6434648850107079,18.796875,[9]
17,FRQ,10,NFL NFR D,0.9831392366376888,0.379870564450088,0.5444011080113956,24.21875,"[14, 14, 14, 14, 13, 14, 13, 14, 14, 15, 14, 16, 18, 16, 15, 16]"
18,FRQ,10,NFL NFR S,0.9579511814838372,0.3395710622762918,0.4980252331245727,24.0,[14]
19,FRQ,10,NFL UFR D,0.9831392366376888,0.379870564450088,0.5444011080113956,24.625,"[14, 14, 14, 14, 13, 14, 13, 14, 14, 15, 14, 16, 18, 16, 15, 16]"
20,FRQ,10,NFL UFR S,0.9579511814838372,0.3395710622762918,0.4980252331245727,24.078125,[14]
21,FRQ,10,UFL NFR D,0.9608305522755588,0.4388312556998505,0.5970815176790882,21.53125,"[11, 12, 11, 12, 10, 11, 10, 11, 11, 14, 13, 13, 13, 11, 11, 11]"
22,FRQ,10,UFL NFR S,0.9538236842117056,0.4043052216249153,0.5636395192098215,21.40625,[11]
23,FRQ,10,UFL UFR D,0.9608305522755588,0.4389841944005833,0.597231050151238,21.96875,"[11, 11, 11, 11, 10, 11, 10, 11, 11, 14, 13, 13, 13, 11, 11, 11]"
24,FRQ,10,UFL UFR S,0.9538236842117056,0.4043052216249153,0.5636395192098215,21.578125,[11]
25,FRQ,15,NFL NFR D,0.990844066404728,0.3280400180392568,0.4915954272384901,28.03125,"[14, 14, 16, 16, 19, 20, 17, 17, 17, 17, 18, 18, 18, 19, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20]"
26,FRQ,15,NFL NFR S,0.9579511814838372,0.3395710622762918,0.4980252331245727,24.203125,[14]
27,FRQ,15,NFL UFR D,0.990844066404728,0.3280400180392568,0.4915954272384901,29.15625,"[14, 14, 16, 16, 19, 20, 17, 17, 17, 17, 18, 18, 18, 19, 19, 19, 19, 20, 20, 20, 20, 20, 20, 20]"
28,FRQ,15,NFL UFR S,0.9579511814838372,0.3395710622762918,0.4980252331245727,24.046875,[14]
29,FRQ,15,UFL NFR D,0.9607627723421466,0.3853126515987375,0.5458338904984259,24.859375,"[11, 11, 14, 14, 17, 18, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16]"
30,FRQ,15,UFL NFR S,0.9538236842117056,0.4043052216249153,0.5636395192098215,21.546875,[11]
31,FRQ,15,UFL UFR D,0.9661116752094318,0.3910198412377291,0.5525392968956451,25.578125,"[11, 11, 14, 14, 17, 18, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
32,FRQ,15,UFL UFR S,0.9538236842117056,0.4043052216249153,0.5636395192098215,21.5,[11]
33,MAX,5,NFL NFR D,0.9516761405098,0.4041849770863169,0.5608157893726549,21.125,"[10, 10, 10, 12, 16]"
34,MAX,5,NFL NFR S,0.9485131202511916,0.448245532510853,0.6024262753018957,19.28125,[10]
35,MAX,5,NFL UFR D,0.9516761405098,0.4041849770863169,0.5608157893726549,21.109375,"[10, 10, 10, 12, 16]"
36,MAX,5,NFL UFR S,0.9485131202511916,0.448245532510853,0.6024262753018957,19.3125,[10]
37,MAX,5,UFL NFR D,0.9487809950778902,0.4470607267120767,0.6013575535886795,19.5,"[10, 10, 10, 10, 14]"
38,MAX,5,UFL NFR S,0.9485131202511916,0.448245532510853,0.6024262753018957,19.328125,[10]
39,MAX,5,UFL UFR D,0.9487809950778902,0.4470607267120767,0.6013575535886795,19.578125,"[10, 10, 10, 10, 14]"
40,MAX,5,UFL UFR S,0.9485131202511916,0.448245532510853,0.6024262753018957,19.265625,[10]
41,MAX,10,NFL NFR D,0.9564299494478994,0.3550271847726696,0.5136529313726493,24.203125,"[13, 13, 13, 13, 11, 15, 15, 15, 14, 15, 15, 15, 15, 17]"
42,MAX,10,NFL NFR S,0.9515741036004876,0.3609983254817593,0.5195440399959399,24.09375,[13]
43,MAX,10,NFL UFR D,0.9564299494478994,0.3550271847726696,0.5136529313726493,24.3125,"[13, 13, 13, 13, 11, 15, 15, 15, 14, 15, 15, 15, 15, 17]"
