n°_evaluation,fitness,precision,f-measure,time
0,,,,0.03125
1,0.8,0.0,0.0,0.015625
2,1.0,1.0,1.0,0.0
3,1.0,1.0,1.0,0.0
4,0.8,0.6666666666666667,0.7272727272727274,0.0
5,0.6153846153846154,0.5,0.5517241379310345,0.015625
6,1.0,1.0,1.0,0.0
7,1.0,1.0,1.0,0.0
8,0.6153846153846154,0.5,0.5517241379310345,0.0
9,1.0,1.0,1.0,0.015625
10,0.8888888888888888,0.5,0.64,0.0
11,1.0,1.0,1.0,0.0
12,1.0,1.0,1.0,0.0
13,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
14,0.5,0.6666666666666667,0.5714285714285715,0.0
15,0.7272727272727273,0.0,0.0,0.0
16,1.0,1.0,1.0,0.0
17,1.0,1.0,1.0,0.015625
18,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
19,1.0,1.0,1.0,0.0
20,0.8,0.75,0.7741935483870969,0.015625
21,1.0,1.0,1.0,0.0
22,0.8888888888888888,0.5,0.64,0.0
23,1.0,1.0,1.0,0.0
24,0.8,0.6666666666666667,0.7272727272727274,0.0
25,0.8,0.6666666666666667,0.7272727272727274,0.015625
26,0.6666666666666667,0.0,0.0,0.0
27,1.0,1.0,1.0,0.0
28,0.8888888888888888,0.6666666666666667,0.761904761904762,0.0
29,1.0,1.0,1.0,0.015625
30,1.0,1.0,1.0,0.0
31,0.8,0.5,0.6153846153846154,0.0
32,0.8,0.6666666666666667,0.7272727272727274,0.0
33,0.8888888888888888,0.5,0.64,0.015625
34,1.0,1.0,1.0,0.0
35,1.0,1.0,1.0,0.0
36,0.8888888888888888,0.5,0.64,0.0
37,1.0,1.0,1.0,0.0
38,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
39,0.8888888888888888,0.6666666666666667,0.761904761904762,0.0
40,1.0,1.0,1.0,0.0
41,1.0,1.0,1.0,0.0
42,1.0,1.0,1.0,0.015625
43,0.8888888888888888,0.5,0.64,0.0
44,0.8888888888888888,0.5,0.64,0.0
45,1.0,1.0,1.0,0.0
46,1.0,1.0,1.0,0.015625
47,0.8,0.6666666666666667,0.7272727272727274,0.0
48,1.0,1.0,1.0,0.0
49,1.0,1.0,1.0,0.0
50,0.8,0.0,0.0,0.0
51,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.015625
52,1.0,1.0,1.0,0.0
53,1.0,1.0,1.0,0.0
54,1.0,1.0,1.0,0.0
55,1.0,1.0,1.0,0.015625
56,0.8888888888888888,0.5,0.64,0.0
57,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
58,1.0,1.0,1.0,0.0
59,1.0,1.0,1.0,0.015625
60,1.0,1.0,1.0,0.0
61,1.0,1.0,1.0,0.0
62,0.6153846153846154,0.6666666666666667,0.64,0.0
63,0.8888888888888888,0.5,0.64,0.015625
64,1.0,1.0,1.0,0.0
65,1.0,1.0,1.0,0.0
66,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
67,0.8888888888888888,0.0,0.0,0.0
68,0.7272727272727273,0.5,0.5925925925925926,0.015625
69,1.0,1.0,1.0,0.0
70,0.6153846153846154,0.75,0.676056338028169,0.0
71,0.8888888888888888,0.0,0.0,0.015625
72,1.0,1.0,1.0,0.0
73,0.8888888888888888,0.0,0.0,0.0
74,1.0,1.0,1.0,0.0
75,0.8888888888888888,0.0,0.0,0.0
76,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.015625
77,1.0,1.0,1.0,0.0
78,0.8,0.0,0.0,0.0
79,0.7272727272727273,0.5,0.5925925925925926,0.0
80,1.0,1.0,1.0,0.015625
81,1.0,1.0,1.0,0.0
82,1.0,1.0,1.0,0.0
83,1.0,1.0,1.0,0.0
84,0.8,0.6666666666666667,0.7272727272727274,0.015625
85,1.0,1.0,1.0,0.0
86,1.0,1.0,1.0,0.0
87,1.0,1.0,1.0,0.0
88,0.8888888888888888,0.5,0.64,0.0
89,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
90,1.0,1.0,1.0,0.0
91,1.0,1.0,1.0,0.0
92,1.0,1.0,1.0,0.0
93,1.0,1.0,1.0,0.015625
94,1.0,1.0,1.0,0.0
95,0.8888888888888888,0.5,0.64,0.0
96,0.8888888888888888,0.0,0.0,0.0
97,1.0,1.0,1.0,0.0
98,1.0,1.0,1.0,0.015625
99,0.8888888888888888,0.5,0.64,0.0
100,1.0,1.0,1.0,0.0
101,0.8888888888888888,0.5,0.64,0.0
102,0.8,0.6666666666666667,0.7272727272727274,0.0
103,0.8888888888888888,0.0,0.0,0.015625
104,1.0,1.0,1.0,0.0
105,1.0,1.0,1.0,0.0
106,0.8888888888888888,0.0,0.0,0.0
107,1.0,1.0,1.0,0.015625
108,1.0,1.0,1.0,0.0
109,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
110,1.0,1.0,1.0,0.0
111,0.7272727272727273,0.5,0.5925925925925926,0.015625
112,1.0,1.0,1.0,0.0
113,1.0,1.0,1.0,0.0
114,0.8,0.5,0.6153846153846154,0.0
115,1.0,1.0,1.0,0.0
116,1.0,1.0,1.0,0.015625
117,1.0,1.0,1.0,0.0
118,1.0,1.0,1.0,0.0
119,1.0,1.0,1.0,0.0
120,1.0,1.0,1.0,0.0
121,1.0,1.0,1.0,0.015625
122,1.0,1.0,1.0,0.0
123,1.0,1.0,1.0,0.0
124,0.8888888888888888,0.5,0.64,0.0
125,0.8888888888888888,0.0,0.0,0.015625
126,1.0,1.0,1.0,0.0
127,0.7272727272727273,0.5,0.5925925925925926,0.0
128,1.0,1.0,1.0,0.0
129,1.0,1.0,1.0,0.0
130,1.0,1.0,1.0,0.015625
131,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
132,0.8888888888888888,0.0,0.0,0.0
133,1.0,1.0,1.0,0.0
134,0.8888888888888888,0.0,0.0,0.015625
135,1.0,1.0,1.0,0.0
