n°_evaluation,fitness,precision,f-measure,time
0,,,,0.078125
1,1.0,0.46153846153846156,0.631578947368421,0.0
2,1.0,0.4444444444444444,0.6153846153846153,0.0
3,1.0,0.4444444444444444,0.6153846153846153,0.015625
4,0.9,0.2857142857142857,0.4337349397590361,0.0
5,0.8461538461538461,0.30000000000000004,0.44295302013422827,0.015625
6,1.0,0.4444444444444444,0.6153846153846153,0.0
7,1.0,0.4444444444444444,0.6153846153846153,0.0
8,0.9230769230769231,0.3571428571428571,0.5150214592274679,0.015625
9,1.0,0.4444444444444444,0.6153846153846153,0.015625
10,1.0,0.41666666666666663,0.5882352941176471,0.0
11,1.0,0.4444444444444444,0.6153846153846153,0.0
12,1.0,0.4444444444444444,0.6153846153846153,0.015625
13,0.8333333333333334,0.2857142857142857,0.42553191489361697,0.0
14,0.75,0.2857142857142857,0.4137931034482759,0.015625
15,1.0,0.5,0.6666666666666666,0.015625
16,1.0,0.4444444444444444,0.6153846153846153,0.0
17,1.0,0.4444444444444444,0.6153846153846153,0.0
18,0.8333333333333334,0.2857142857142857,0.42553191489361697,0.015625
19,1.0,0.4444444444444444,0.6153846153846153,0.0
20,1.0,0.46153846153846156,0.631578947368421,0.046875
21,1.0,0.5,0.6666666666666666,0.0
22,1.0,0.4545454545454546,0.625,0.015625
23,1.0,0.5,0.6666666666666666,0.0
24,0.9,0.33333333333333337,0.4864864864864865,0.0
25,0.9,0.33333333333333337,0.4864864864864865,0.015625
26,0.8333333333333334,0.4285714285714286,0.5660377358490567,0.0
27,1.0,0.5,0.6666666666666666,0.015625
28,0.8888888888888888,0.33333333333333337,0.48484848484848486,0.0
29,1.0,0.5,0.6666666666666666,0.0
30,1.0,0.5,0.6666666666666666,0.0
31,0.9,0.36363636363636365,0.5179856115107914,0.015625
32,0.9,0.33333333333333337,0.4864864864864865,0.0
33,1.0,0.5555555555555556,0.7142857142857143,0.046875
34,1.0,0.4444444444444444,0.6153846153846153,0.0
35,1.0,0.4444444444444444,0.6153846153846153,0.015625
36,1.0,0.41666666666666663,0.5882352941176471,0.0
37,1.0,0.4444444444444444,0.6153846153846153,0.0
38,1.0,0.47058823529411764,0.6399999999999999,0.015625
39,0.8888888888888888,0.25,0.3902439024390244,0.03125
40,1.0,0.4444444444444444,0.6153846153846153,0.015625
41,1.0,0.4444444444444444,0.6153846153846153,0.0
42,1.0,0.4444444444444444,0.6153846153846153,0.0
43,1.0,0.41666666666666663,0.5882352941176471,0.015625
44,1.0,0.41666666666666663,0.5882352941176471,0.0
45,1.0,0.4444444444444444,0.6153846153846153,0.0
46,1.0,0.4444444444444444,0.6153846153846153,0.015625
47,1.0,0.46153846153846156,0.631578947368421,0.0
48,1.0,0.4444444444444444,0.6153846153846153,0.0
49,1.0,0.4444444444444444,0.6153846153846153,0.015625
50,1.0,0.46153846153846156,0.631578947368421,0.0
51,0.9090909090909091,0.33333333333333337,0.4878048780487805,0.0
52,1.0,0.4444444444444444,0.6153846153846153,0.015625
53,1.0,0.4444444444444444,0.6153846153846153,0.0
54,1.0,0.4444444444444444,0.6153846153846153,0.0
55,1.0,0.4444444444444444,0.6153846153846153,0.015625
56,1.0,0.41666666666666663,0.5882352941176471,0.0
57,1.0,0.4375,0.6086956521739131,0.0
58,1.0,0.4444444444444444,0.6153846153846153,0.015625
59,1.0,0.4444444444444444,0.6153846153846153,0.0
60,1.0,0.4444444444444444,0.6153846153846153,0.0
61,1.0,0.4444444444444444,0.6153846153846153,0.015625
62,0.9230769230769231,0.33333333333333337,0.48979591836734704,0.0
63,1.0,0.41666666666666663,0.5882352941176471,0.015625
64,1.0,0.4444444444444444,0.6153846153846153,0.0
65,1.0,0.4444444444444444,0.6153846153846153,0.0
66,0.8333333333333334,0.33333333333333337,0.4761904761904763,0.015625
67,1.0,0.5,0.6666666666666666,0.0
68,1.0,0.4375,0.6086956521739131,0.0
69,1.0,0.4444444444444444,0.6153846153846153,0.015625
70,0.7692307692307692,0.33333333333333337,0.4651162790697675,0.0
71,1.0,0.5,0.6666666666666666,0.015625
72,1.0,0.4444444444444444,0.6153846153846153,0.0
73,1.0,0.5,0.6666666666666666,0.0
74,1.0,0.4444444444444444,0.6153846153846153,0.015625
75,1.0,0.5,0.6666666666666666,0.0
76,0.9090909090909091,0.33333333333333337,0.4878048780487805,0.0
77,1.0,0.4444444444444444,0.6153846153846153,0.015625
78,1.0,0.46153846153846156,0.631578947368421,0.0
79,1.0,0.4375,0.6086956521739131,0.015625
80,1.0,0.4444444444444444,0.6153846153846153,0.0
81,1.0,0.4444444444444444,0.6153846153846153,0.0
82,1.0,0.4444444444444444,0.6153846153846153,0.0
83,1.0,0.4444444444444444,0.6153846153846153,0.015625
84,1.0,0.46153846153846156,0.631578947368421,0.0
85,1.0,0.4444444444444444,0.6153846153846153,0.0
86,1.0,0.4444444444444444,0.6153846153846153,0.015625
87,1.0,0.4444444444444444,0.6153846153846153,0.0
88,1.0,0.41666666666666663,0.5882352941176471,0.0
89,1.0,0.47058823529411764,0.6399999999999999,0.015625
90,1.0,0.4444444444444444,0.6153846153846153,0.0
91,1.0,0.4444444444444444,0.6153846153846153,0.0
92,1.0,0.4444444444444444,0.6153846153846153,0.015625
93,1.0,0.4444444444444444,0.6153846153846153,0.0
94,1.0,0.4444444444444444,0.6153846153846153,0.0
95,1.0,0.41666666666666663,0.5882352941176471,0.0
96,1.0,0.5,0.6666666666666666,0.015625
97,1.0,0.4444444444444444,0.6153846153846153,0.0
98,1.0,0.4444444444444444,0.6153846153846153,0.0
99,1.0,0.41666666666666663,0.5882352941176471,0.015625
100,1.0,0.4444444444444444,0.6153846153846153,0.0
101,1.0,0.41666666666666663,0.5882352941176471,0.0
102,1.0,0.46153846153846156,0.631578947368421,0.015625
103,1.0,0.5,0.6666666666666666,0.0
104,1.0,0.4444444444444444,0.6153846153846153,0.0
105,1.0,0.4444444444444444,0.6153846153846153,0.015625
106,1.0,0.5,0.6666666666666666,0.0
107,1.0,0.4444444444444444,0.6153846153846153,0.0
108,1.0,0.4444444444444444,0.6153846153846153,0.0
109,0.9090909090909091,0.33333333333333337,0.4878048780487805,0.015625
110,1.0,0.4444444444444444,0.6153846153846153,0.0
111,1.0,0.4375,0.6086956521739131,0.015625
112,1.0,0.4444444444444444,0.6153846153846153,0.0
113,1.0,0.4444444444444444,0.6153846153846153,0.0
114,1.0,0.46153846153846156,0.631578947368421,0.015625
115,1.0,0.4444444444444444,0.6153846153846153,0.0
116,1.0,0.4444444444444444,0.6153846153846153,0.0
117,1.0,0.4444444444444444,0.6153846153846153,0.015625
118,1.0,0.4444444444444444,0.6153846153846153,0.0
