n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,1.0,0.375,0.5454545454545454,0.0
2,1.0,0.4,0.5714285714285715,0.0
3,1.0,0.4,0.5714285714285715,0.015625
4,0.7142857142857143,0.25,0.37037037037037035,0.0
5,0.6,0.2727272727272727,0.37499999999999994,0.0
6,1.0,0.4,0.5714285714285715,0.015625
7,1.0,0.4,0.5714285714285715,0.0
8,0.7,0.3076923076923077,0.4274809160305344,0.0
9,1.0,0.4,0.5714285714285715,0.015625
10,1.0,0.3846153846153846,0.5555555555555555,0.0
11,1.0,0.4,0.5714285714285715,0.0
12,1.0,0.4,0.5714285714285715,0.0
13,0.5555555555555556,0.25,0.3448275862068966,0.015625
14,0.3846153846153846,0.25,0.30303030303030304,0.0
15,0.875,0.3076923076923077,0.45528455284552855,0.015625
16,1.0,0.4,0.5714285714285715,0.0
17,1.0,0.4,0.5714285714285715,0.0
18,0.5555555555555556,0.25,0.3448275862068966,0.0
19,1.0,0.4,0.5714285714285715,0.015625
20,0.8571428571428572,0.30000000000000004,0.4444444444444445,0.0
21,1.0,0.4,0.5714285714285715,0.03125
22,1.0,0.3846153846153846,0.5555555555555555,0.015625
23,1.0,0.4,0.5714285714285715,0.0
24,0.7142857142857143,0.25,0.37037037037037035,0.0
25,0.7142857142857143,0.25,0.37037037037037035,0.0
26,0.6666666666666667,0.2727272727272727,0.3870967741935484,0.015625
27,1.0,0.4,0.5714285714285715,0.0
28,0.8333333333333334,0.25,0.3846153846153846,0.0
29,1.0,0.4,0.5714285714285715,0.0
30,1.0,0.4,0.5714285714285715,0.015625
31,1.0,0.4,0.5714285714285715,0.0
32,0.7142857142857143,0.25,0.37037037037037035,0.0
33,0.8333333333333334,0.16666666666666663,0.27777777777777773,0.015625
34,1.0,0.4,0.5714285714285715,0.0
35,1.0,0.4,0.5714285714285715,0.0
36,1.0,0.3846153846153846,0.5555555555555555,0.0
37,1.0,0.4,0.5714285714285715,0.0
38,0.5555555555555556,0.25,0.3448275862068966,0.015625
39,0.8333333333333334,0.25,0.3846153846153846,0.0
40,1.0,0.4,0.5714285714285715,0.0
41,1.0,0.4,0.5714285714285715,0.015625
42,1.0,0.4,0.5714285714285715,0.0
43,1.0,0.3846153846153846,0.5555555555555555,0.0
44,1.0,0.3846153846153846,0.5555555555555555,0.0
45,1.0,0.4,0.5714285714285715,0.015625
46,1.0,0.4,0.5714285714285715,0.0
47,0.7142857142857143,0.25,0.37037037037037035,0.0
48,1.0,0.4,0.5714285714285715,0.0
49,1.0,0.4,0.5714285714285715,0.015625
50,1.0,0.375,0.5454545454545454,0.0
51,0.625,0.25,0.35714285714285715,0.0
52,1.0,0.4,0.5714285714285715,0.0
53,1.0,0.4,0.5714285714285715,0.015625
54,1.0,0.4,0.5714285714285715,0.0
55,1.0,0.4,0.5714285714285715,0.0
56,1.0,0.3846153846153846,0.5555555555555555,0.0
57,0.625,0.25,0.35714285714285715,0.015625
58,1.0,0.4,0.5714285714285715,0.0
59,1.0,0.4,0.5714285714285715,0.0
60,1.0,0.4,0.5714285714285715,0.0
61,1.0,0.4,0.5714285714285715,0.015625
62,0.5,0.25,0.3333333333333333,0.0
63,1.0,0.3846153846153846,0.5555555555555555,0.0
64,1.0,0.4,0.5714285714285715,0.015625
65,1.0,0.4,0.5714285714285715,0.0
66,0.6666666666666667,0.25,0.36363636363636365,0.0
67,1.0,0.3846153846153846,0.5555555555555555,0.0
68,0.75,0.2727272727272727,0.39999999999999997,0.015625
69,1.0,0.4,0.5714285714285715,0.0
70,0.7,0.30000000000000004,0.42000000000000004,0.015625
71,1.0,0.3846153846153846,0.5555555555555555,0.0
72,1.0,0.4,0.5714285714285715,0.0
73,1.0,0.3846153846153846,0.5555555555555555,0.0
74,1.0,0.4,0.5714285714285715,0.015625
75,1.0,0.3846153846153846,0.5555555555555555,0.0
76,0.625,0.25,0.35714285714285715,0.0
77,1.0,0.4,0.5714285714285715,0.0
78,1.0,0.375,0.5454545454545454,0.015625
79,0.75,0.2727272727272727,0.39999999999999997,0.0
80,1.0,0.4,0.5714285714285715,0.0
81,1.0,0.4,0.5714285714285715,0.0
82,1.0,0.4,0.5714285714285715,0.015625
83,1.0,0.4,0.5714285714285715,0.0
84,0.7142857142857143,0.25,0.37037037037037035,0.0
85,1.0,0.4,0.5714285714285715,0.0
86,1.0,0.4,0.5714285714285715,0.015625
87,1.0,0.4,0.5714285714285715,0.0
88,1.0,0.3846153846153846,0.5555555555555555,0.0
89,0.5555555555555556,0.25,0.3448275862068966,0.015625
90,1.0,0.4,0.5714285714285715,0.0
91,1.0,0.4,0.5714285714285715,0.0
92,1.0,0.4,0.5714285714285715,0.0
93,1.0,0.4,0.5714285714285715,0.0
94,1.0,0.4,0.5714285714285715,0.015625
95,1.0,0.3846153846153846,0.5555555555555555,0.0
96,1.0,0.3846153846153846,0.5555555555555555,0.0
97,1.0,0.4,0.5714285714285715,0.0
98,1.0,0.4,0.5714285714285715,0.015625
99,1.0,0.3846153846153846,0.5555555555555555,0.0
100,1.0,0.4,0.5714285714285715,0.0
101,1.0,0.3846153846153846,0.5555555555555555,0.0
102,0.7142857142857143,0.25,0.37037037037037035,0.015625
103,1.0,0.3846153846153846,0.5555555555555555,0.0
104,1.0,0.4,0.5714285714285715,0.0
105,1.0,0.4,0.5714285714285715,0.0
106,1.0,0.3846153846153846,0.5555555555555555,0.015625
107,1.0,0.4,0.5714285714285715,0.0
108,1.0,0.4,0.5714285714285715,0.0
109,0.625,0.25,0.35714285714285715,0.015625
110,1.0,0.4,0.5714285714285715,0.0
111,0.75,0.2727272727272727,0.39999999999999997,0.0
112,1.0,0.4,0.5714285714285715,0.0
113,1.0,0.4,0.5714285714285715,0.015625
114,0.8571428571428572,0.2222222222222222,0.3529411764705882,0.0
115,1.0,0.4,0.5714285714285715,0.0
116,1.0,0.4,0.5714285714285715,0.0
117,1.0,0.4,0.5714285714285715,0.015625
118,1.0,0.4,0.5714285714285715,0.0
119,1.0,0.4,0.5714285714285715,0.0
120,1.0,0.4,0.5714285714285715,0.0
121,1.0,0.4,0.5714285714285715,0.015625
122,1.0,0.4,0.5714285714285715,0.0
123,1.0,0.4,0.5714285714285715,0.0
124,1.0,0.3846153846153846,0.5555555555555555,0.0
125,1.0,0.3846153846153846,0.5555555555555555,0.015625
126,1.0,0.4,0.5714285714285715,0.0
127,0.875,0.3076923076923077,0.45528455284552855,0.0
128,1.0,0.4,0.5714285714285715,0.0
129,1.0,0.4,0.5714285714285715,0.015625
130,1.0,0.4,0.5714285714285715,0.0
131,0.5555555555555556,0.25,0.3448275862068966,0.0
132,1.0,0.3846153846153846,0.5555555555555555,0.0
133,1.0,0.4,0.5714285714285715,0.015625
134,1.0,0.3846153846153846,0.5555555555555555,0.0
135,1.0,0.4,0.5714285714285715,0.0
136,1.0,0.4,0.5714285714285715,0.0
137,1.0,0.4,0.5714285714285715,0.015625
138,0.7142857142857143,0.25,0.37037037037037035,0.0
139,1.0,0.4,0.5714285714285715,0.0
140,1.0,0.4,0.5714285714285715,0.015625
141,1.0,0.4,0.5714285714285715,0.0
142,0.7142857142857143,0.25,0.37037037037037035,0.0
143,1.0,0.4,0.5714285714285715,0.0
