n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.5,0.6666666666666666,0.015625
2,1.0,0.5,0.6666666666666666,0.0
3,1.0,0.5,0.6666666666666666,0.0
4,0.75,0.33333333333333337,0.46153846153846145,0.015625
5,0.6363636363636364,0.375,0.47191011235955066,0.0
6,1.0,0.5,0.6666666666666666,0.0
7,1.0,0.5,0.6666666666666666,0.015625
8,0.7272727272727273,0.4,0.5161290322580645,0.0
9,1.0,0.5,0.6666666666666666,0.015625
10,1.0,0.5,0.6666666666666666,0.0
11,1.0,0.5,0.6666666666666666,0.0
12,1.0,0.5,0.6666666666666666,0.015625
13,0.6,0.33333333333333337,0.4285714285714286,0.0
14,0.4285714285714286,0.33333333333333337,0.375,0.015625
15,0.8888888888888888,0.4,0.5517241379310346,0.0
16,1.0,0.5,0.6666666666666666,0.015625
17,1.0,0.5,0.6666666666666666,0.0
18,0.6,0.33333333333333337,0.4285714285714286,0.046875
19,1.0,0.5,0.6666666666666666,0.0
20,0.875,0.375,0.525,0.0
21,1.0,0.5,0.6666666666666666,0.015625
22,1.0,0.5,0.6666666666666666,0.0
23,1.0,0.5,0.6666666666666666,0.0
24,0.75,0.33333333333333337,0.46153846153846145,0.015625
25,0.75,0.33333333333333337,0.46153846153846145,0.0
26,0.7,0.375,0.48837209302325574,0.0
27,1.0,0.5,0.6666666666666666,0.015625
28,0.8571428571428572,0.33333333333333337,0.48,0.0
29,1.0,0.5,0.6666666666666666,0.0
30,1.0,0.5,0.6666666666666666,0.015625
31,1.0,0.5,0.6666666666666666,0.0
32,0.75,0.33333333333333337,0.46153846153846145,0.0
33,0.8571428571428572,0.19999999999999996,0.3243243243243243,0.015625
34,1.0,0.5,0.6666666666666666,0.0
35,1.0,0.5,0.6666666666666666,0.0
36,1.0,0.5,0.6666666666666666,0.015625
37,1.0,0.5,0.6666666666666666,0.0
38,0.6,0.33333333333333337,0.4285714285714286,0.015625
39,0.8571428571428572,0.33333333333333337,0.48,0.0
40,1.0,0.5,0.6666666666666666,0.0
41,1.0,0.5,0.6666666666666666,0.0
42,1.0,0.5,0.6666666666666666,0.015625
43,1.0,0.5,0.6666666666666666,0.0
44,1.0,0.5,0.6666666666666666,0.015625
45,1.0,0.5,0.6666666666666666,0.0
46,1.0,0.5,0.6666666666666666,0.0
47,0.75,0.33333333333333337,0.46153846153846145,0.0
48,1.0,0.5,0.6666666666666666,0.015625
49,1.0,0.5,0.6666666666666666,0.0
50,1.0,0.5,0.6666666666666666,0.0
51,0.6666666666666667,0.33333333333333337,0.44444444444444453,0.015625
52,1.0,0.5,0.6666666666666666,0.0
53,1.0,0.5,0.6666666666666666,0.0
54,1.0,0.5,0.6666666666666666,0.015625
55,1.0,0.5,0.6666666666666666,0.0
56,1.0,0.5,0.6666666666666666,0.0
57,0.6666666666666667,0.33333333333333337,0.44444444444444453,0.015625
58,1.0,0.5,0.6666666666666666,0.0
59,1.0,0.5,0.6666666666666666,0.0
60,1.0,0.5,0.6666666666666666,0.015625
61,1.0,0.5,0.6666666666666666,0.0
62,0.5454545454545454,0.33333333333333337,0.41379310344827586,0.015625
63,1.0,0.5,0.6666666666666666,0.0
64,1.0,0.5,0.6666666666666666,0.0
65,1.0,0.5,0.6666666666666666,0.0
66,0.7,0.33333333333333337,0.4516129032258065,0.015625
67,1.0,0.5,0.6666666666666666,0.0
68,0.7777777777777778,0.375,0.5060240963855422,0.015625
69,1.0,0.5,0.6666666666666666,0.0
70,0.7272727272727273,0.375,0.49484536082474223,0.015625
71,1.0,0.5,0.6666666666666666,0.0
72,1.0,0.5,0.6666666666666666,0.0
73,1.0,0.5,0.6666666666666666,0.015625
74,1.0,0.5,0.6666666666666666,0.0
75,1.0,0.5,0.6666666666666666,0.0
76,0.6666666666666667,0.33333333333333337,0.44444444444444453,0.015625
77,1.0,0.5,0.6666666666666666,0.0
78,1.0,0.5,0.6666666666666666,0.0
79,0.7777777777777778,0.375,0.5060240963855422,0.015625
80,1.0,0.5,0.6666666666666666,0.0
81,1.0,0.5,0.6666666666666666,0.0
82,1.0,0.5,0.6666666666666666,0.015625
83,1.0,0.5,0.6666666666666666,0.0
84,0.75,0.33333333333333337,0.46153846153846145,0.0
85,1.0,0.5,0.6666666666666666,0.015625
86,1.0,0.5,0.6666666666666666,0.0
87,1.0,0.5,0.6666666666666666,0.0
88,1.0,0.5,0.6666666666666666,0.015625
89,0.6,0.33333333333333337,0.4285714285714286,0.0
90,1.0,0.5,0.6666666666666666,0.0
91,1.0,0.5,0.6666666666666666,0.015625
92,1.0,0.5,0.6666666666666666,0.0
93,1.0,0.5,0.6666666666666666,0.0
94,1.0,0.5,0.6666666666666666,0.015625
95,1.0,0.5,0.6666666666666666,0.0
96,1.0,0.5,0.6666666666666666,0.0
97,1.0,0.5,0.6666666666666666,0.015625
98,1.0,0.5,0.6666666666666666,0.0
99,1.0,0.5,0.6666666666666666,0.0
100,1.0,0.5,0.6666666666666666,0.0
101,1.0,0.5,0.6666666666666666,0.015625
102,0.75,0.33333333333333337,0.46153846153846145,0.0
103,1.0,0.5,0.6666666666666666,0.015625
104,1.0,0.5,0.6666666666666666,0.0
