n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5
0,500,8,10,20,9,"[257]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[46]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[46]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
1,520,8,10,20,9,"[267]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[47]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[47]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
2,533,8,10,20,9,"[272]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[50]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[48]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[37]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
3,692,8,10,20,9,"[358]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[66]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[62]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[47]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
4,694,8,10,20,9,"[359]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[66]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[62]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[47]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
5,978,8,10,20,9,"[532]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[96]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[93]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[54]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[18]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
6,1586,8,10,20,9,"[884]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[179]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[134]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[33]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
7,1624,8,10,20,9,"[908]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[185]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[134]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[34]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
8,2065,8,10,20,9,"[1112]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[199]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[195]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[64]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[41]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
9,2427,7,8,16,8,"[1301]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[207]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[202]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[92]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')","[67]('Assign seriousness', 'Resolve ticket', 'Closed')"
