n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10
0,500,9,8,46,23,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
1,505,10,8,58,29,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
2,508,5,7,14,6,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Insert ticket', 'Assign seriousness', 'Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
3,514,5,7,14,6,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
4,710,5,7,14,6,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
5,740,6,7,28,11,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:2]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
6,753,7,7,36,18,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
7,1142,7,7,22,11,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:3]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
8,1206,7,7,34,17,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[9:4]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
9,1268,8,7,26,13,"[14:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[13:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[12:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[11:1]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[10:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
