n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10
0,500,12,20,40,17,"[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[4:257]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:46]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:37]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:10]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:8]('Assign seriousness', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[5:7]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:2]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed', 'Closed')","[5:2]('Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
1,1496,12,21,42,18,"[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[4:829]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:133]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:16]('Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:16]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:12]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:11]('Assign seriousness', 'Take in charge ticket', 'Create SW anomaly', 'Resolve ticket', 'Closed')","[5:7]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
2,1705,9,13,26,12,"[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[3:1]('Assign seriousness', 'Resolve ticket', 'Closed')","[4:931]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:163]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:21]('Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:16]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:12]('Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:12]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
3,1762,9,13,26,11,"[3:4]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[4:951]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[5:175]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:21]('Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:16]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:16]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
4,1780,9,13,26,11,"[3:4]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[4:960]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[4:1]('Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:179]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:21]('Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:17]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
5,1812,9,12,24,11,"[3:9]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[3:1]('Take in charge ticket', 'Resolve ticket', 'Closed')","[4:972]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:181]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:22]('Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
6,1815,8,11,22,9,"[3:10]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[3:1]('Take in charge ticket', 'Resolve ticket', 'Closed')","[4:973]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[5:181]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:59]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:23]('Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
7,1852,7,10,20,8,"[3:16]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[3:1]('Take in charge ticket', 'Resolve ticket', 'Closed')","[4:986]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:3]('Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Assign seriousness', 'Wait', 'Resolve ticket', 'Closed')","[5:182]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:60]('Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
8,1920,8,12,24,11,"[3:24]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[3:1]('Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1026]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:3]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[4:3]('Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Wait', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Insert ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[5:190]('Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')"
9,2166,8,12,24,10,"[3:44]('Assign seriousness', 'Resolve ticket', 'Closed')","[3:1]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket')","[3:1]('Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1171]('Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:14]('Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:9]('Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed')","[4:2]('Assign seriousness', 'Wait', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed')","[4:1]('Insert ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed')","[4:1]('Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed')"
