training,fitting_traces%,average_trace_fitness,precision,f-measure
1,89.33,0.9678812214897127,0.9934136828040435,0.9804812592456116
2,91.43,0.9725006481722412,0.9945132030392688,0.9833837560176316
3,88.89,0.9639408310272074,0.9898389427732833,0.9767182421220041
4,89.09,0.9627373532556825,0.9911652340019103,0.9767444909946754
5,85.69,0.9566028978505521,0.9848432417468337,0.9705176772804268
6,87.19,0.9558175577312229,0.9881938055811101,0.9717360789561464
7,77.46,0.9243989523355983,0.9749912889226773,0.9490213295182482
8,88.99,0.9696034056151187,0.8418375839174419,0.9012146606572998
9,85.44,0.9626341076135899,0.6859267183738967,0.8010580428958782
10,,,,
WHOLE,89.572,0.97093374826258,0.8751839479574539,0.9205757929187788
