training,fitting_traces%,average_trace_fitness,precision,f-measure
1,86.34,0.9573124468344433,1.0,0.9781907312577534
2,88.25,0.9637816623558563,1.0,0.9815568408961033
3,86.44,0.9555831241473154,1.0,0.9772871450442427
4,86.19,0.9545462213754569,1.0,0.9767445875019747
5,83.23,0.94680527596541,1.0,0.9726758887027307
6,84.9,0.9475658983633856,1.0,0.9730771104173283
7,76.13,0.9134302169158415,1.0,0.9547567597089086
8,85.9,0.9579876234740861,0.6322724374104532,0.7617737307269082
9,83.63,0.9562116868481205,0.6766944789290835,0.7925295191345061
10,,,,
WHOLE,85.915,0.9604432601833949,0.8664043966790279,0.9110034547848448
