training,fitting_traces%,average_trace_fitness,precision,f-measure
1,86.34,0.9572624468344433,1.0,0.9781646282364035
2,88.25,0.9636816623558563,1.0,0.9815049769316622
3,86.44,0.9553181241473152,1.0,0.9771485390019745
4,86.19,0.9541395547087895,1.0,0.9765316426962941
5,83.23,0.9466252759654097,1.0,0.972580894384966
6,84.89,0.9470399459824326,1.0,0.9727997085386736
7,76.13,0.9129852169158413,1.0,0.9545136144729619
8,85.16,0.9513258799398449,1.0,0.9750558732600546
9,82.68,0.9481187435006173,1.0,0.9733685348121254
10,,,,
WHOLE,85.357,0.953941699145648,1.0,0.9764280065907336
