experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,P,NFL NFR D,0.9525873994043688,0.6821226053267719,0.7845307095776002,430.8125,[12]
2,FRQ,P,NFL NFR S,0.9525873994043688,0.6821226053267719,0.7845307095776002,420.296875,[12]
3,FRQ,P,NFL UFR D,0.9525873994043688,0.6821226053267719,0.7845307095776002,429.890625,[12]
4,FRQ,P,NFL UFR S,0.9525873994043688,0.6821226053267719,0.7845307095776002,416.4375,[12]
5,FRQ,P,UFL NFR D,0.9525873994043688,0.6821226053267719,0.7845307095776002,447.25,[13]
6,FRQ,P,UFL NFR S,0.9525873994043688,0.6821226053267719,0.7845307095776002,434.28125,[13]
7,FRQ,P,UFL UFR D,0.4716335720937666,1.0,0.5962722869501065,273.71875,[3]
8,FRQ,P,UFL UFR S,0.4716335720937666,1.0,0.5962722869501065,260.3125,[3]
9,FRQ,5,NFL NFR D,0.9602939050864628,0.6423347899950316,0.7529632760645857,426.171875,"[12, 12, 12, 12, 11]"
10,FRQ,5,NFL NFR S,0.9525873994043688,0.6821226053267719,0.7845307095776002,416.265625,[12]
11,FRQ,5,NFL UFR D,0.9602939050864628,0.6423347899950316,0.7529632760645857,428.359375,"[12, 12, 12, 12, 11]"
12,FRQ,5,NFL UFR S,0.9525873994043688,0.6821226053267719,0.7845307095776002,416.328125,[12]
13,FRQ,5,UFL NFR D,0.7961653063505015,0.780822380952381,0.7505681196900549,404.078125,"[14, 11, 14, 11, 9]"
14,FRQ,5,UFL NFR S,0.7959123752962319,0.7380066137566139,0.732183286355268,420.25,[13]
15,FRQ,5,UFL UFR D,0.8487399186505578,0.7946587566137566,0.7992662047738195,383.46875,"[8, 8, 8, 8, 11]"
16,FRQ,5,UFL UFR S,0.8788587191495828,0.7939000264550263,0.8242491218176874,366.28125,[8]
17,FRQ,10,NFL NFR D,0.9847007245021184,0.4535062553833949,0.5807316891637909,499.03125,"[22, 21, 22, 21, 26, 18, 26, 18, 11, 11, 11, 11, 27]"
18,FRQ,10,NFL NFR S,0.9803924408070848,0.4585883476059526,0.587267458396003,606.6875,[22]
19,FRQ,10,NFL UFR D,0.9847007245021184,0.4535062553833949,0.5807316891637909,505.578125,"[27, 21, 27, 21, 37, 23, 37, 23, 11, 11, 11, 11, 27]"
20,FRQ,10,NFL UFR S,0.9803924408070848,0.4585883476059526,0.587267458396003,627.578125,[27]
21,FRQ,10,UFL NFR D,0.7877316868429868,0.5986790200740332,0.6060475506166514,455.34375,"[18, 17, 17, 17, 18, 17, 18, 18, 11, 13, 11, 13, 14]"
22,FRQ,10,UFL NFR S,0.8099420166803796,0.6978297803230471,0.7137296111588058,460.8125,[17]
23,FRQ,10,UFL UFR D,0.7570158388573575,0.7960095502645501,0.7237367382865159,404.75,"[8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 10, 10, 12]"
24,FRQ,10,UFL UFR S,0.8788587191495828,0.7939000264550263,0.8242491218176874,371.609375,[8]
25,FRQ,15,NFL NFR D,0.9949007283120104,0.337668097701944,0.4348260836492985,867.59375,"[38, 32, 43, 40, 43, 40, 45, 43, 16, 38, 48, 38, 48, 38, 32, 16, 20, 20, 32, 38]"
26,FRQ,15,NFL NFR S,0.9789217226518098,0.1390372260964882,0.243171070526177,961.109375,[38]
