training,fitting_traces%,average_trace_fitness,precision,f-measure
1,51.42,0.8523516082658829,0.9065525961038617,0.878616994998445
2,69.81,0.855421680194351,0.5648669017306812,0.6804242466129206
3,65.53,0.8388314495340686,0.5867638715249013,0.6905129129069233
4,69.46,0.8597706842908548,0.5107691867152191,0.6408341449482444
5,70.12,0.8676249020377549,0.5700547384541058,0.6880443635387236
6,61.71,0.8264740409214438,0.5879157548385094,0.68707666172279
7,54.12,0.8176526515470615,0.5145497808656205,0.6316202139276756
8,70.66,0.8817610842155694,0.6120387361688984,0.7225492093677133
9,53.24,0.8217872893138627,0.5728015638150572,0.6750678429505597
10,,,,
WHOLE,62.377,0.8324676220192277,0.7338326456974325,0.7800444526698235
