training,fitting_traces%,average_trace_fitness,precision,f-measure
1,50.2,0.823753651059377,0.5154470461350112,0.6341116564097109
2,66.46,0.8665234949946198,0.37053064033450467,0.5190937022005528
3,64.59,0.8792017126931237,0.4666496361361656,0.6096946140083417
4,68.43,0.8940430874518164,0.39152267617355874,0.544566683584474
5,68.82,0.8988955946836,0.41718489918746315,0.5698825714605141
6,59.14,0.8112169463215657,0.4592211899584898,0.5864559647037573
7,52.21,0.8179738993422572,0.475330834544481,0.6012631145971024
8,68.25,0.8795989333144602,0.5469569300602615,0.674495467863194
9,51.65,0.8208916363547445,0.48632460732984295,0.6107938218168276
10,,,,
WHOLE,61.077,0.8338888559321214,0.6429218247110131,0.7260583254023896
