training,fitting_traces%,average_trace_fitness,precision,f-measure
1,65.72,0.8726545777563902,0.9866529132283071,0.9261589979711936
2,65.38,0.8455165284910711,0.9143362419107216,0.8785807746376668
3,59.8,0.7968654519949138,0.8331103499946484,0.8145849218126952
4,63.28,0.82040384947185,0.7606798895905793,0.7894138611608247
5,62.32,0.828957917752093,0.7962155850136509,0.8122569218750285
6,56.38,0.7836832553512834,0.8316862397518281,0.8069715093362916
7,48.24,0.7433906386671446,0.8941665662287573,0.8118373547577642
8,61.23,0.8222990583025108,0.8903430667896758,0.854969353679668
9,47.21,0.7436914815390746,0.8953906870532169,0.8125211040307921
10,,,,
WHOLE,55.177,0.7677392726842855,0.9007205736482949,0.828930417024458
