training,fitting_traces%,average_trace_fitness,precision,f-measure
1,25.08,0.689990368431867,0.7279048082380605,0.7084406733071569
2,25.88,0.6997963653273391,0.550731367541212,0.616379467879592
3,29.48,0.7200074895779852,0.5941820929353986,0.6510712956168979
4,25.3,0.7005085992171568,0.593658481640009,0.642672615519765
5,23.5,0.6911714435457884,0.5911578025826221,0.6372644046105946
6,31.84,0.7294011275431094,0.5380678791568374,0.6192929620797223
7,34.85,0.7421291464714476,0.526992426974396,0.6163262026435236
8,24.67,0.6959298781868752,0.5319867689492574,0.6030140371097048
9,36.12,0.7445281215199602,0.5321401938851603,0.620667614536769
10,,,,
WHOLE,30.867,0.7213493972990714,0.7463871381345197,0.733654711519546
