training,fitting_traces%,average_trace_fitness,precision,f-measure
1,24.96,0.5793190481870195,0.8093091668248245,0.6752681691837698
2,25.79,0.5898484406730696,0.6185620791046191,0.6038641204256885
3,29.43,0.6134325464539406,0.6218561123025931,0.6176156087787926
4,25.19,0.5888340258838037,0.6184721827314946,0.6032893107915305
5,23.43,0.5765625044443313,0.6168005980190618,0.5960031725508129
6,31.76,0.6282118161718528,0.6232498521001775,0.6257209972037012
7,34.69,0.6429036641721632,0.6206330824165219,0.6315721072130142
8,24.39,0.581401038608356,0.6133581209757867,0.5969521902611996
9,35.92,0.649603570493831,0.6233471482139332,0.6362045712939798
10,,,,
WHOLE,30.697,0.618212246240839,0.8109001529811843,0.7015660984040709
