experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,0.9487585525489088,0.7194718815135481,0.8091438730184775,445.6875,"[13, 12, 13, 12, 9]"
2,FRQ,5,NFL NFR S,0.9427686990373396,0.7087153835978836,0.799278480546922,451.3125,[13]
3,FRQ,5,NFL UFR D,0.9487585525489088,0.7194718815135481,0.8091438730184775,451.953125,"[13, 12, 13, 12, 9]"
4,FRQ,5,NFL UFR S,0.9427686990373396,0.7087153835978836,0.799278480546922,451.234375,[13]
5,FRQ,5,UFL NFR D,0.8453876800905242,0.663598253968254,0.7132959831682218,394.25,"[9, 10, 9, 10, 8]"
6,FRQ,5,UFL NFR S,0.8866926560526494,0.6130856084656084,0.7082903203922198,395.34375,[9]
7,FRQ,5,UFL UFR D,0.8390849026579421,0.6632379100529101,0.7082294574139087,387.5625,"[8, 10, 8, 10, 8]"
8,FRQ,5,UFL UFR S,0.8948553109393764,0.6869880952380955,0.7574178073191831,376.796875,[8]
9,FRQ,10,NFL NFR D,0.9781625370788684,0.5910333036397806,0.7188932934982686,603.796875,"[22, 22, 22, 22, 22, 22, 22, 22, 21, 19, 21, 19, 23]"
10,FRQ,10,NFL NFR S,0.9625947142503928,0.6083214210027925,0.7295314768345791,625.859375,[22]
11,FRQ,10,NFL UFR D,0.9781625370788684,0.5910333036397806,0.7188932934982686,610.40625,"[22, 22, 22, 22, 22, 22, 22, 22, 21, 19, 21, 19, 23]"
12,FRQ,10,NFL UFR S,0.9625947142503928,0.6083214210027925,0.7295314768345791,626.34375,[22]
13,FRQ,10,UFL NFR D,0.8849725890610136,0.6329985702079276,0.705878760008977,493.171875,"[15, 15, 15, 15, 15, 18, 15, 18, 15, 15, 15, 15, 15]"
14,FRQ,10,UFL NFR S,0.8402047741281307,0.6177201096289332,0.6772951548526713,473.15625,[15]
15,FRQ,10,UFL UFR D,0.9563709659447004,0.633186794230831,0.7485420844191548,521.203125,"[15, 15, 15, 15, 15, 17, 15, 17, 15, 15, 15, 15, 15]"
16,FRQ,10,UFL UFR S,0.9106992517300214,0.6188063364800722,0.7204963385225103,493.953125,[15]
17,FRQ,15,NFL NFR D,0.987210474225795,0.5634214273927316,0.6958666165994237,734.84375,"[28, 27, 26, 25, 26, 25, 26, 29, 27, 30, 31, 30, 31, 30, 30, 27, 25, 27, 28, 31]"
18,FRQ,15,NFL NFR S,0.978386281296874,0.5237297436882624,0.655976587544802,745.875,[28]
19,FRQ,15,NFL UFR D,0.987210474225795,0.5634214273927316,0.6958666165994237,754.96875,"[28, 27, 26, 25, 26, 25, 26, 29, 27, 30, 31, 30, 31, 30, 30, 27, 25, 27, 28, 31]"
20,FRQ,15,NFL UFR S,0.978386281296874,0.5237297436882624,0.655976587544802,745.96875,[28]
21,FRQ,15,UFL NFR D,0.8693362879628445,0.6372756171047561,0.6959632348046594,554.84375,"[19, 17, 17, 17, 17, 17, 18, 19, 20, 20, 22, 20, 19, 20, 20, 19, 19, 20, 20, 20]"
22,FRQ,15,UFL NFR S,0.8799679334734458,0.6164287070443029,0.6916003583430146,562.640625,[19]
23,FRQ,15,UFL UFR D,0.9769194271125394,0.6164534098943155,0.7406243201905799,634.71875,"[18, 19, 17, 17, 17, 17, 21, 23, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]"
24,FRQ,15,UFL UFR S,0.9054282054277922,0.5556042761096927,0.6632759602737482,536.71875,[18]
25,MAX,5,NFL NFR D,0.7924335245324009,0.4725900097484538,0.4967818864769139,1077.0,"[32, 32, 34, 47, 47, 43, 45, 49, 49, 50, 51]"
26,MAX,5,NFL NFR S,0.7820160452087752,0.5070128667885547,0.526443977253236,759.8125,[32]
27,MAX,5,NFL UFR D,0.7924335245324009,0.4725900097484538,0.4967818864769139,1077.796875,"[32, 32, 34, 47, 47, 43, 45, 49, 49, 50, 51]"
28,MAX,5,NFL UFR S,0.7820160452087752,0.5070128667885547,0.526443977253236,761.546875,[32]
29,MAX,5,UFL NFR D,0.7602622152843781,0.5149414704567115,0.5297408334188024,854.796875,"[31, 31, 31, 36, 32, 30, 34, 36, 36, 37, 39]"
30,MAX,5,UFL NFR S,0.7612880497617016,0.5196227592666872,0.5231471117281018,760.234375,[31]
31,MAX,5,UFL UFR D,0.7602622152843781,0.5149414704567115,0.5297408334188024,858.421875,"[31, 31, 31, 36, 32, 30, 34, 36, 36, 37, 39]"
32,MAX,5,UFL UFR S,0.7612880497617016,0.5196227592666872,0.5231471117281018,762.71875,[31]
33,MAX,10,NFL NFR D,0.828611587965853,0.435271956074345,0.4679172238837952,1293.203125,"[40, 40, 38, 38, 41, 40, 44, 53, 53, 54, 52, 56, 56, 63, 63, 63, 63, 55, 54, 59]"
34,MAX,10,NFL NFR S,0.8589435435169395,0.4701076790429319,0.5265367734035074,928.65625,[40]
35,MAX,10,NFL UFR D,0.828611587965853,0.435271956074345,0.4679172238837952,1281.34375,"[40, 40, 38, 38, 41, 40, 44, 53, 53, 54, 52, 56, 56, 63, 63, 63, 63, 55, 54, 59]"
36,MAX,10,NFL UFR S,0.8589435435169395,0.4701076790429319,0.5265367734035074,932.546875,[40]
37,MAX,10,UFL NFR D,0.7644639908676016,0.501712042608816,0.5165696695706927,920.84375,"[32, 32, 32, 32, 35, 33, 37, 37, 37, 35, 34, 36, 36, 41, 40, 39, 41, 39, 39, 44]"
38,MAX,10,UFL NFR S,0.7630267688684985,0.5074126891184856,0.5118279365957602,780.234375,[32]
39,MAX,10,UFL UFR D,0.7644639908676016,0.501712042608816,0.5165696695706927,919.046875,"[32, 32, 32, 32, 35, 33, 37, 37, 37, 35, 34, 36, 36, 41, 40, 39, 41, 39, 39, 44]"
40,MAX,10,UFL UFR S,0.7630267688684985,0.5074126891184856,0.5118279365957602,776.671875,[32]
41,MAX,15,NFL NFR D,0.8463180997967971,0.4257796389646878,0.4642500403457704,1420.203125,"[42, 42, 40, 40, 40, 43, 44, 49, 55, 56, 56, 54, 56, 58, 62, 62, 63, 68, 72, 71, 70, 64, 65, 71, 72, 72, 72, 75, 72, 65, 64, 68]"
