n°_evaluation,fitness,precision,f-measure,time
0,,,,0.203125
1,1.0,0.23076923076923073,0.3749999999999999,0.0
2,1.0,0.23076923076923073,0.3749999999999999,0.015625
3,1.0,0.25,0.4,0.0
4,1.0,0.25,0.4,0.015625
5,0.75,0.2857142857142857,0.4137931034482759,0.0
6,1.0,0.21875,0.358974358974359,0.0
7,1.0,0.23076923076923073,0.3749999999999999,0.015625
8,1.0,0.25,0.4,0.0
9,1.0,0.23076923076923073,0.3749999999999999,0.0
10,1.0,0.23076923076923073,0.3749999999999999,0.015625
11,1.0,0.23076923076923073,0.3749999999999999,0.0
12,1.0,0.23076923076923073,0.3749999999999999,0.015625
13,1.0,0.21875,0.358974358974359,0.0
14,1.0,0.23076923076923073,0.3749999999999999,0.015625
15,1.0,0.23076923076923073,0.3749999999999999,0.0
16,1.0,0.23076923076923073,0.3749999999999999,0.0
17,1.0,0.21875,0.358974358974359,0.015625
18,1.0,0.23076923076923073,0.3749999999999999,0.0
19,1.0,0.23076923076923073,0.3749999999999999,0.015625
20,1.0,0.23076923076923073,0.3749999999999999,0.0
21,1.0,0.23076923076923073,0.3749999999999999,0.015625
22,1.0,0.23076923076923073,0.3749999999999999,0.0
23,1.0,0.23076923076923073,0.3749999999999999,0.015625
24,1.0,0.21875,0.358974358974359,0.0
25,1.0,0.25,0.4,0.0
26,1.0,0.24242424242424243,0.3902439024390244,0.015625
27,1.0,0.25,0.4,0.0
28,1.0,0.2592592592592593,0.411764705882353,0.015625
29,1.0,0.25,0.4,0.0
30,1.0,0.25,0.4,0.0
31,1.0,0.25,0.4,0.015625
32,1.0,0.23076923076923073,0.3749999999999999,0.0
33,1.0,0.23076923076923073,0.3749999999999999,0.015625
34,1.0,0.25,0.4,0.0
35,1.0,0.23076923076923073,0.3749999999999999,0.015625
36,1.0,0.25,0.4,0.0
37,1.0,0.23076923076923073,0.3749999999999999,0.046875
38,1.0,0.23076923076923073,0.3749999999999999,0.0
39,1.0,0.23076923076923073,0.3749999999999999,0.015625
40,1.0,0.23076923076923073,0.3749999999999999,0.0
41,1.0,0.23076923076923073,0.3749999999999999,0.015625
42,1.0,0.25,0.4,0.0
43,1.0,0.23076923076923073,0.3749999999999999,0.0
44,1.0,0.23076923076923073,0.3749999999999999,0.015625
45,1.0,0.25,0.4,0.0
46,1.0,0.23076923076923073,0.3749999999999999,0.015625
47,1.0,0.23076923076923073,0.3749999999999999,0.0
48,1.0,0.23076923076923073,0.3749999999999999,0.0
49,1.0,0.23076923076923073,0.3749999999999999,0.015625
50,1.0,0.25,0.4,0.0
51,1.0,0.23076923076923073,0.3749999999999999,0.015625
52,0.6666666666666667,1.0,0.8,0.0
53,0.6666666666666667,1.0,0.8,0.0
54,0.6666666666666667,1.0,0.8,0.0
55,0.6666666666666667,1.0,0.8,0.0
56,0.6666666666666667,1.0,0.8,0.015625
57,0.6666666666666667,1.0,0.8,0.0
58,1.0,0.23076923076923073,0.3749999999999999,0.0
59,0.6666666666666667,1.0,0.8,0.0
60,0.6666666666666667,1.0,0.8,0.015625
61,1.0,0.23076923076923073,0.3749999999999999,0.0
62,0.6666666666666667,1.0,0.8,0.0
63,0.6666666666666667,1.0,0.8,0.0
64,0.6666666666666667,1.0,0.8,0.015625
65,1.0,0.23076923076923073,0.3749999999999999,0.0
66,1.0,0.23076923076923073,0.3749999999999999,0.0
67,0.6666666666666667,1.0,0.8,0.015625
68,0.6666666666666667,1.0,0.8,0.0
