n°_evaluation,fitness,precision,f-measure,time
0,,,,0.359375
1,1.0,1.0,1.0,0.015625
2,0.6,0.5,0.5454545454545454,0.0
3,0.8333333333333334,0.5,0.625,0.0
4,0.5,0.5,0.5,0.0
5,0.6666666666666667,0.5,0.5714285714285715,0.015625
6,0.625,0.8333333333333334,0.7142857142857143,0.0
7,0.5,0.6666666666666667,0.5714285714285715,0.0
8,0.5,0.5,0.5,0.0
9,1.0,1.0,1.0,0.015625
10,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,0.0
12,1.0,1.0,1.0,0.015625
13,0.875,0.6666666666666667,0.7567567567567568,0.0
14,1.0,1.0,1.0,0.0
15,1.0,1.0,1.0,0.0
16,1.0,1.0,1.0,0.015625
17,0.875,0.6666666666666667,0.7567567567567568,0.0
18,1.0,1.0,1.0,0.0
19,1.0,1.0,1.0,0.015625
20,1.0,1.0,1.0,0.0
21,1.0,1.0,1.0,0.0
22,1.0,1.0,1.0,0.015625
23,1.0,1.0,1.0,0.0
24,0.875,0.6666666666666667,0.7567567567567568,0.0
25,0.8333333333333334,0.5,0.625,0.0
26,0.7777777777777778,0.8333333333333334,0.8045977011494253,0.015625
27,0.8333333333333334,0.5,0.625,0.0
28,0.625,0.5,0.5555555555555556,0.0
29,0.8333333333333334,0.5,0.625,0.015625
30,0.8333333333333334,0.5,0.625,0.0
31,0.8333333333333334,0.5,0.625,0.0
32,1.0,1.0,1.0,0.0
33,1.0,1.0,1.0,0.015625
34,0.8333333333333334,0.5,0.625,0.0
35,1.0,1.0,1.0,0.0
36,0.8333333333333334,0.5,0.625,0.0
37,1.0,1.0,1.0,0.015625
38,1.0,1.0,1.0,0.0
39,1.0,1.0,1.0,0.0
40,1.0,1.0,1.0,0.015625
41,1.0,1.0,1.0,0.0
42,0.8333333333333334,0.5,0.625,0.0
43,1.0,1.0,1.0,0.015625
44,1.0,1.0,1.0,0.0
45,0.8333333333333334,0.5,0.625,0.0
46,1.0,1.0,1.0,0.0
47,1.0,1.0,1.0,0.015625
48,1.0,1.0,1.0,0.0
49,1.0,1.0,1.0,0.0
50,0.8333333333333334,0.5,0.625,0.0
51,1.0,1.0,1.0,0.015625
52,1.0,1.0,1.0,0.0
53,1.0,1.0,1.0,0.0
54,1.0,1.0,1.0,0.0
55,1.0,1.0,1.0,0.0
56,1.0,1.0,1.0,0.0
57,1.0,1.0,1.0,0.015625
58,1.0,1.0,1.0,0.0
59,1.0,1.0,1.0,0.0
60,1.0,1.0,1.0,0.0
61,1.0,1.0,1.0,0.0
62,1.0,1.0,1.0,0.015625
63,1.0,1.0,1.0,0.0
64,1.0,1.0,1.0,0.0
65,1.0,1.0,1.0,0.0
66,1.0,1.0,1.0,0.0
67,1.0,1.0,1.0,0.015625
68,1.0,1.0,1.0,0.0
69,1.0,1.0,1.0,0.0
70,1.0,1.0,1.0,0.0
71,1.0,1.0,1.0,0.015625
72,0.875,0.6666666666666667,0.7567567567567568,0.0
73,1.0,1.0,1.0,0.0
74,1.0,1.0,1.0,0.0
75,1.0,1.0,1.0,0.015625
76,1.0,1.0,1.0,0.0
77,1.0,1.0,1.0,0.0
78,1.0,1.0,1.0,0.015625
79,1.0,1.0,1.0,0.0
80,1.0,1.0,1.0,0.0
81,1.0,1.0,1.0,0.015625
82,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
83,1.0,1.0,1.0,0.0
84,1.0,1.0,1.0,0.015625
85,0.8333333333333334,0.5,0.625,0.0
86,0.8333333333333334,0.5,0.625,0.0
87,0.6666666666666667,0.5,0.5714285714285715,0.0
88,0.8333333333333334,0.5,0.625,0.015625
89,0.8333333333333334,0.5,0.625,0.0
90,0.8333333333333334,0.5,0.625,0.0
91,0.6666666666666667,0.5,0.5714285714285715,0.0
92,0.8333333333333334,0.5,0.625,0.0
93,1.0,1.0,1.0,0.015625
94,0.33333333333333337,0.75,0.46153846153846145,0.0
95,1.0,1.0,1.0,0.0
96,0.8333333333333334,0.5,0.625,0.015625
97,0.33333333333333337,0.5,0.4,0.0
98,1.0,1.0,1.0,0.0
99,1.0,1.0,1.0,0.0
100,0.6666666666666667,0.5,0.5714285714285715,0.015625
101,1.0,1.0,1.0,0.0
102,1.0,1.0,1.0,0.0
103,1.0,1.0,1.0,0.0
104,0.6666666666666667,0.5,0.5714285714285715,0.0
105,1.0,1.0,1.0,0.015625
106,1.0,1.0,1.0,0.0
107,1.0,1.0,1.0,0.0
108,1.0,1.0,1.0,0.015625
109,0.875,0.6666666666666667,0.7567567567567568,0.0
110,1.0,1.0,1.0,0.0
111,1.0,1.0,1.0,0.015625
112,1.0,1.0,1.0,0.0
113,1.0,1.0,1.0,0.0
114,1.0,1.0,1.0,0.0
115,1.0,1.0,1.0,0.015625
116,1.0,1.0,1.0,0.0
117,1.0,1.0,1.0,0.0
118,1.0,1.0,1.0,0.015625
119,1.0,1.0,1.0,0.0
120,1.0,1.0,1.0,0.0
121,1.0,1.0,1.0,0.0
122,1.0,1.0,1.0,0.015625
123,1.0,1.0,1.0,0.0
124,0.875,0.6666666666666667,0.7567567567567568,0.0
125,1.0,1.0,1.0,0.015625
126,1.0,1.0,1.0,0.0
127,0.5,0.5,0.5,0.0
128,0.8333333333333334,0.5,0.625,0.015625
129,0.8333333333333334,0.5,0.625,0.0
130,0.8333333333333334,0.5,0.625,0.0
131,0.8333333333333334,0.5,0.625,0.0
132,0.8333333333333334,0.5,0.625,0.046875
133,1.0,1.0,1.0,0.0
134,1.0,1.0,1.0,0.0
135,1.0,1.0,1.0,0.0
136,0.8333333333333334,0.5,0.625,0.015625
