n°_evaluation,fitness,precision,f-measure,time
0,,,,0.1875
1,1.0,0.25,0.4,0.0625
2,1.0,0.23684210526315785,0.3829787234042552,0.0
3,1.0,0.25,0.4,0.015625
4,1.0,0.25,0.4,0.0
5,1.0,0.4,0.5714285714285715,0.015625
6,1.0,0.2592592592592593,0.411764705882353,0.0
7,1.0,0.33333333333333337,0.5,0.015625
8,1.0,0.25,0.4,0.0
9,1.0,0.25,0.4,0.015625
10,1.0,0.25,0.4,0.0
11,1.0,0.25,0.4,0.015625
12,1.0,0.25,0.4,0.015625
13,1.0,0.25,0.4,0.0
14,1.0,0.25,0.4,0.015625
15,1.0,0.25,0.4,0.0
16,1.0,0.25,0.4,0.015625
17,1.0,0.25,0.4,0.015625
18,1.0,0.25,0.4,0.0
19,1.0,0.25,0.4,0.015625
20,1.0,0.25,0.4,0.015625
21,1.0,0.25,0.4,0.0
22,1.0,0.25,0.4,0.015625
23,1.0,0.25,0.4,0.0
24,1.0,0.25,0.4,0.015625
25,1.0,0.25,0.4,0.015625
26,0.8888888888888888,0.20833333333333337,0.33755274261603374,0.015625
27,1.0,0.25,0.4,0.0
28,0.875,0.19999999999999996,0.3255813953488372,0.015625
29,1.0,0.25,0.4,0.0
30,1.0,0.25,0.4,0.015625
31,1.0,0.25,0.4,0.0
32,1.0,0.25,0.4,0.015625
33,1.0,0.25,0.4,0.015625
34,1.0,0.25,0.4,0.0
35,1.0,0.25,0.4,0.015625
36,1.0,0.25,0.4,0.0
37,1.0,0.25,0.4,0.015625
38,1.0,0.25,0.4,0.0
39,1.0,0.25,0.4,0.015625
40,1.0,0.25,0.4,0.015625
41,1.0,0.25,0.4,0.0
42,1.0,0.25,0.4,0.015625
43,1.0,0.25,0.4,0.0
44,1.0,0.25,0.4,0.015625
45,1.0,0.25,0.4,0.0
46,1.0,0.25,0.4,0.015625
47,1.0,0.25,0.4,0.015625
48,1.0,0.25,0.4,0.0
49,1.0,0.25,0.4,0.015625
50,1.0,0.25,0.4,0.0
51,1.0,0.25,0.4,0.015625
52,1.0,1.0,1.0,0.0
53,1.0,1.0,1.0,0.0
54,1.0,1.0,1.0,0.0
55,1.0,1.0,1.0,0.015625
56,1.0,1.0,1.0,0.0
57,1.0,1.0,1.0,0.0
58,1.0,0.25,0.4,0.015625
59,1.0,1.0,1.0,0.0
60,1.0,1.0,1.0,0.0
61,1.0,0.25,0.4,0.015625
62,1.0,1.0,1.0,0.0
63,1.0,1.0,1.0,0.0
64,1.0,1.0,1.0,0.0
65,1.0,0.25,0.4,0.015625
66,1.0,0.25,0.4,0.0
67,1.0,1.0,1.0,0.015625
68,1.0,1.0,1.0,0.0
69,1.0,0.25,0.4,0.0
70,1.0,0.25,0.4,0.015625
71,1.0,0.25,0.4,0.015625
72,1.0,0.25,0.4,0.0
73,1.0,0.25,0.4,0.015625
74,1.0,0.25,0.4,0.0
75,1.0,0.25,0.4,0.015625
76,1.0,0.25,0.4,0.015625
77,1.0,0.25,0.4,0.0
78,1.0,0.25,0.4,0.015625
79,1.0,0.25,0.4,0.015625
80,1.0,0.25,0.4,0.0
81,1.0,0.25,0.4,0.015625
82,0.9166666666666666,0.2222222222222222,0.35772357723577236,0.015625
83,1.0,0.25,0.4,0.015625
84,1.0,0.25,0.4,0.046875
85,1.0,0.25,0.4,0.0
86,1.0,0.25,0.4,0.015625
87,1.0,0.4,0.5714285714285715,0.0
88,1.0,0.25,0.4,0.0
89,1.0,0.25,0.4,0.015625
90,1.0,0.25,0.4,0.0
91,1.0,0.4,0.5714285714285715,0.015625
92,1.0,0.25,0.4,0.0
93,1.0,0.25,0.4,0.015625
94,1.0,0.2777777777777778,0.4347826086956522,0.0
95,1.0,0.25,0.4,0.015625
96,1.0,0.25,0.4,0.0
97,1.0,0.25,0.4,0.015625
98,1.0,0.25,0.4,0.015625
99,1.0,0.25,0.4,0.0
100,1.0,0.4,0.5714285714285715,0.0
101,1.0,1.0,1.0,0.015625
102,1.0,0.25,0.4,0.0
103,1.0,0.25,0.4,0.015625
104,1.0,0.4,0.5714285714285715,0.0
105,1.0,0.25,0.4,0.015625
106,1.0,0.25,0.4,0.0
107,1.0,0.25,0.4,0.015625
108,1.0,0.25,0.4,0.0
109,1.0,0.25,0.4,0.015625
110,1.0,0.25,0.4,0.015625
111,1.0,0.25,0.4,0.0
112,1.0,0.25,0.4,0.015625
113,1.0,0.25,0.4,0.015625
114,1.0,0.25,0.4,0.0
115,1.0,0.25,0.4,0.015625
116,1.0,0.25,0.4,0.0
117,1.0,0.25,0.4,0.015625
118,1.0,0.25,0.4,0.015625
119,1.0,0.25,0.4,0.0
120,1.0,0.25,0.4,0.015625
121,1.0,0.25,0.4,0.0
122,1.0,0.25,0.4,0.015625
123,1.0,0.25,0.4,0.015625
124,1.0,0.25,0.4,0.0
125,1.0,0.25,0.4,0.015625
126,1.0,0.25,0.4,0.015625
127,1.0,0.25,0.4,0.0
128,1.0,0.25,0.4,0.0
129,1.0,0.25,0.4,0.015625
130,1.0,0.25,0.4,0.015625
131,1.0,0.25,0.4,0.0
132,1.0,0.25,0.4,0.015625
133,1.0,0.25,0.4,0.0
134,1.0,0.25,0.4,0.015625
135,1.0,0.25,0.4,0.0
136,1.0,0.25,0.4,0.015625
137,0.9166666666666666,0.21052631578947367,0.34241245136186765,0.015625
138,1.0,0.25,0.4,0.015625
139,1.0,0.25,0.4,0.0
140,1.0,0.25,0.4,0.015625
141,1.0,0.25,0.4,0.015625
142,1.0,0.25,0.4,0.0
143,1.0,0.25,0.4,0.015625
144,1.0,0.25,0.4,0.0
145,1.0,0.25,0.4,0.015625
146,1.0,0.25,0.4,0.015625
147,1.0,0.25,0.4,0.0
148,1.0,0.23809523809523814,0.3846153846153847,0.015625
