n°_evaluation,fitness,precision,f-measure,time
0,,,,0.1875
1,1.0,0.25,0.4,0.015625
2,1.0,0.23684210526315785,0.3829787234042552,0.015625
3,1.0,0.25,0.4,0.0
4,1.0,0.25,0.4,0.015625
5,1.0,0.4,0.5714285714285715,0.0
6,1.0,0.2592592592592593,0.411764705882353,0.015625
7,1.0,0.33333333333333337,0.5,0.0
8,1.0,0.25,0.4,0.015625
9,1.0,0.25,0.4,0.0
10,1.0,0.25,0.4,0.015625
11,1.0,0.25,0.4,0.0
12,1.0,0.25,0.4,0.015625
13,1.0,0.25,0.4,0.015625
14,1.0,0.25,0.4,0.0
15,1.0,0.25,0.4,0.015625
16,1.0,0.25,0.4,0.0
17,1.0,0.25,0.4,0.015625
18,1.0,0.25,0.4,0.015625
19,1.0,0.25,0.4,0.0
20,1.0,0.25,0.4,0.015625
21,1.0,0.25,0.4,0.015625
22,1.0,0.25,0.4,0.0
23,1.0,0.25,0.4,0.015625
24,1.0,0.25,0.4,0.0
25,1.0,0.25,0.4,0.015625
26,0.8888888888888888,0.20833333333333337,0.33755274261603374,0.015625
27,1.0,0.25,0.4,0.0
28,0.875,0.19999999999999996,0.3255813953488372,0.015625
29,1.0,0.25,0.4,0.015625
30,1.0,0.25,0.4,0.0
31,1.0,0.25,0.4,0.015625
32,1.0,0.25,0.4,0.0
33,1.0,0.25,0.4,0.015625
34,1.0,0.25,0.4,0.0
35,1.0,0.25,0.4,0.015625
36,1.0,0.25,0.4,0.0
37,1.0,0.25,0.4,0.015625
38,1.0,0.25,0.4,0.015625
39,1.0,0.25,0.4,0.046875
40,1.0,0.25,0.4,0.0
41,1.0,0.25,0.4,0.015625
42,1.0,0.25,0.4,0.0
43,1.0,0.25,0.4,0.015625
44,1.0,0.25,0.4,0.015625
45,1.0,0.25,0.4,0.0
46,1.0,0.25,0.4,0.015625
47,1.0,0.25,0.4,0.0
48,1.0,0.25,0.4,0.015625
49,1.0,0.25,0.4,0.015625
50,1.0,0.25,0.4,0.0
51,1.0,0.25,0.4,0.015625
52,1.0,1.0,1.0,0.0
53,1.0,1.0,1.0,0.0
54,1.0,1.0,1.0,0.0
55,1.0,1.0,1.0,0.0
56,1.0,1.0,1.0,0.015625
57,1.0,1.0,1.0,0.0
58,1.0,0.25,0.4,0.0
59,1.0,1.0,1.0,0.015625
60,1.0,1.0,1.0,0.0
61,1.0,0.25,0.4,0.0
62,1.0,1.0,1.0,0.015625
63,1.0,1.0,1.0,0.0
64,1.0,1.0,1.0,0.0
65,1.0,0.25,0.4,0.015625
66,1.0,0.25,0.4,0.0
67,1.0,1.0,1.0,0.0
68,1.0,1.0,1.0,0.015625
69,1.0,0.25,0.4,0.0
70,1.0,0.25,0.4,0.015625
71,1.0,0.25,0.4,0.0
72,1.0,0.25,0.4,0.015625
73,1.0,0.25,0.4,0.015625
74,1.0,0.25,0.4,0.0
75,1.0,0.25,0.4,0.015625
76,1.0,0.25,0.4,0.0
77,1.0,0.25,0.4,0.015625
78,1.0,0.25,0.4,0.015625
79,1.0,0.25,0.4,0.0
