n°_evaluation,fitness,precision,f-measure,time
0,,,,0.390625
1,1.0,0.6,0.7499999999999999,0.0
2,0.5,0.25,0.3333333333333333,0.015625
3,0.8333333333333334,0.25,0.3846153846153846,0.0
4,0.6666666666666667,0.25,0.36363636363636365,0.0
5,0.6666666666666667,0.25,0.36363636363636365,0.0
6,1.0,0.6363636363636364,0.7777777777777778,0.015625
7,0.75,0.33333333333333337,0.46153846153846145,0.0
8,0.6666666666666667,0.25,0.36363636363636365,0.015625
9,1.0,0.6,0.7499999999999999,0.0
10,1.0,0.6,0.7499999999999999,0.0
11,1.0,0.6,0.7499999999999999,0.015625
12,1.0,0.6,0.7499999999999999,0.0
13,1.0,0.5833333333333333,0.7368421052631579,0.015625
14,1.0,0.6,0.7499999999999999,0.0
15,1.0,0.6,0.7499999999999999,0.015625
16,1.0,0.6,0.7499999999999999,0.0
17,1.0,0.5833333333333333,0.7368421052631579,0.015625
18,1.0,0.6,0.7499999999999999,0.0
19,1.0,0.6,0.7499999999999999,0.0
20,1.0,0.6,0.7499999999999999,0.015625
21,1.0,0.6,0.7499999999999999,0.0
22,1.0,0.6,0.7499999999999999,0.015625
23,1.0,0.6,0.7499999999999999,0.0
24,1.0,0.5833333333333333,0.7368421052631579,0.015625
25,0.8333333333333334,0.25,0.3846153846153846,0.0
26,0.7777777777777778,0.5,0.6086956521739131,0.0
27,0.8333333333333334,0.25,0.3846153846153846,0.015625
28,0.625,0.25,0.35714285714285715,0.0
29,0.8333333333333334,0.25,0.3846153846153846,0.015625
30,0.8333333333333334,0.25,0.3846153846153846,0.0
31,0.8333333333333334,0.25,0.3846153846153846,0.0
32,1.0,0.6,0.7499999999999999,0.015625
33,1.0,0.6,0.7499999999999999,0.0
34,0.8333333333333334,0.25,0.3846153846153846,0.0
35,1.0,0.6,0.7499999999999999,0.015625
36,0.8333333333333334,0.25,0.3846153846153846,0.0
37,1.0,0.6,0.7499999999999999,0.015625
38,1.0,0.6,0.7499999999999999,0.0
39,1.0,0.6,0.7499999999999999,0.015625
40,1.0,0.6,0.7499999999999999,0.0
41,1.0,0.6,0.7499999999999999,0.0
42,0.8333333333333334,0.25,0.3846153846153846,0.015625
43,1.0,0.6,0.7499999999999999,0.0
44,1.0,0.6,0.7499999999999999,0.015625
45,0.8333333333333334,0.25,0.3846153846153846,0.0
46,1.0,0.6,0.7499999999999999,0.0
47,1.0,0.6,0.7499999999999999,0.015625
48,1.0,0.6,0.7499999999999999,0.0
49,1.0,0.6,0.7499999999999999,0.015625
50,0.8333333333333334,0.25,0.3846153846153846,0.0
51,1.0,0.6,0.7499999999999999,0.0
52,1.0,1.0,1.0,0.015625
53,1.0,1.0,1.0,0.0
54,1.0,1.0,1.0,0.0
55,1.0,1.0,1.0,0.0
56,1.0,1.0,1.0,0.0
57,1.0,1.0,1.0,0.015625
58,1.0,0.6,0.7499999999999999,0.0
59,1.0,1.0,1.0,0.0
60,1.0,1.0,1.0,0.0
61,1.0,0.6,0.7499999999999999,0.015625
62,1.0,1.0,1.0,0.0
63,1.0,1.0,1.0,0.0
64,1.0,1.0,1.0,0.0
65,1.0,0.6,0.7499999999999999,0.015625
66,1.0,0.6,0.7499999999999999,0.0
67,1.0,1.0,1.0,0.0
68,1.0,1.0,1.0,0.0
69,1.0,0.6,0.7499999999999999,0.015625
70,1.0,0.6,0.7499999999999999,0.0
71,1.0,0.6,0.7499999999999999,0.015625
72,1.0,0.5833333333333333,0.7368421052631579,0.0
73,1.0,0.6,0.7499999999999999,0.015625
74,1.0,0.6,0.7499999999999999,0.0
75,1.0,0.6,0.7499999999999999,0.0
76,1.0,0.6,0.7499999999999999,0.015625
77,1.0,0.6,0.7499999999999999,0.0
78,1.0,0.6,0.7499999999999999,0.015625
79,1.0,0.6,0.7499999999999999,0.0
80,1.0,0.6,0.7499999999999999,0.015625
81,1.0,0.6,0.7499999999999999,0.0
82,0.6666666666666667,0.5454545454545454,0.6,0.015625
83,1.0,0.6,0.7499999999999999,0.0
84,1.0,0.6,0.7499999999999999,0.015625
85,0.8333333333333334,0.25,0.3846153846153846,0.0
86,0.8333333333333334,0.25,0.3846153846153846,0.0
87,1.0,0.5,0.6666666666666666,0.015625
88,0.8333333333333334,0.25,0.3846153846153846,0.0
89,0.8333333333333334,0.25,0.3846153846153846,0.0
90,0.8333333333333334,0.25,0.3846153846153846,0.015625
91,1.0,0.5,0.6666666666666666,0.0
92,0.8333333333333334,0.25,0.3846153846153846,0.0
93,1.0,0.6,0.7499999999999999,0.015625
94,0.6666666666666667,0.4285714285714286,0.5217391304347826,0.0
95,1.0,0.6,0.7499999999999999,0.0
96,0.8333333333333334,0.25,0.3846153846153846,0.015625
97,0.5,0.25,0.3333333333333333,0.0
98,1.0,0.6,0.7499999999999999,0.015625
99,1.0,0.6,0.7499999999999999,0.0
100,1.0,0.5,0.6666666666666666,0.0
101,1.0,1.0,1.0,0.0
102,1.0,0.6,0.7499999999999999,0.015625
103,1.0,0.6,0.7499999999999999,0.0
104,1.0,0.5,0.6666666666666666,0.0
105,1.0,0.6,0.7499999999999999,0.015625
106,1.0,0.6,0.7499999999999999,0.0
107,1.0,0.6,0.7499999999999999,0.015625
108,1.0,0.6,0.7499999999999999,0.0
109,1.0,0.5833333333333333,0.7368421052631579,0.015625
110,1.0,0.6,0.7499999999999999,0.0
111,1.0,0.6,0.7499999999999999,0.0
112,1.0,0.6,0.7499999999999999,0.015625
113,1.0,0.6,0.7499999999999999,0.0
114,1.0,0.6,0.7499999999999999,0.015625
115,1.0,0.6,0.7499999999999999,0.0
116,1.0,0.6,0.7499999999999999,0.0
117,1.0,0.6,0.7499999999999999,0.015625
118,1.0,0.6,0.7499999999999999,0.0
119,1.0,0.6,0.7499999999999999,0.015625
120,1.0,0.6,0.7499999999999999,0.0
121,1.0,0.6,0.7499999999999999,0.015625
122,1.0,0.6,0.7499999999999999,0.0
123,1.0,0.6,0.7499999999999999,0.0
124,1.0,0.5833333333333333,0.7368421052631579,0.015625
125,1.0,0.6,0.7499999999999999,0.046875
126,1.0,0.6,0.7499999999999999,0.0
127,0.6666666666666667,0.25,0.36363636363636365,0.015625
128,0.8333333333333334,0.25,0.3846153846153846,0.0
129,0.8333333333333334,0.25,0.3846153846153846,0.0
130,0.8333333333333334,0.25,0.3846153846153846,0.015625
131,0.8333333333333334,0.25,0.3846153846153846,0.0
132,0.8333333333333334,0.25,0.3846153846153846,0.0
133,1.0,0.6,0.7499999999999999,0.015625
134,1.0,0.6,0.7499999999999999,0.0
135,1.0,0.6,0.7499999999999999,0.015625
136,0.8333333333333334,0.25,0.3846153846153846,0.0
137,0.5833333333333333,0.5,0.5384615384615384,0.015625
138,1.0,0.6,0.7499999999999999,0.0
139,1.0,0.6,0.7499999999999999,0.0
140,1.0,0.6,0.7499999999999999,0.015625
141,1.0,0.6,0.7499999999999999,0.0
142,1.0,0.6,0.7499999999999999,0.015625
143,1.0,0.6,0.7499999999999999,0.0
144,0.8333333333333334,0.25,0.3846153846153846,0.015625
145,1.0,0.6,0.7499999999999999,0.0
146,1.0,0.6,0.7499999999999999,0.0
147,1.0,0.6,0.7499999999999999,0.015625
148,0.6363636363636364,0.5454545454545454,0.5874125874125874,0.0
149,1.0,0.6,0.7499999999999999,0.015625
150,1.0,0.6,0.7499999999999999,0.0
151,1.0,1.0,1.0,0.0
152,1.0,1.0,1.0,0.015625
153,1.0,1.0,1.0,0.0
154,1.0,1.0,1.0,0.0
155,1.0,1.0,1.0,0.0
156,1.0,1.0,1.0,0.0
157,0.6363636363636364,0.5454545454545454,0.5874125874125874,0.015625
158,1.0,1.0,1.0,0.0
159,1.0,1.0,1.0,0.0
160,1.0,1.0,1.0,0.015625
161,1.0,1.0,1.0,0.0
162,1.0,1.0,1.0,0.0
163,1.0,1.0,1.0,0.0
164,1.0,1.0,1.0,0.0
165,1.0,1.0,1.0,0.0
166,1.0,1.0,1.0,0.015625
167,1.0,0.6,0.7499999999999999,0.0
168,1.0,1.0,1.0,0.0
169,1.0,1.0,1.0,0.0
170,1.0,1.0,1.0,0.015625
171,1.0,1.0,1.0,0.0
172,1.0,0.6,0.7499999999999999,0.0
173,1.0,1.0,1.0,0.0
174,1.0,0.6,0.7499999999999999,0.015625
175,1.0,0.6,0.7499999999999999,0.0
176,0.4375,0.5,0.4666666666666667,0.015625
177,1.0,0.6,0.7499999999999999,0.015625
178,1.0,0.6,0.7499999999999999,0.0
179,1.0,0.6,0.7499999999999999,0.0
