n°_evaluation,fitness,precision,f-measure,time
0,,,,0.203125
1,1.0,0.33333333333333337,0.5,0.0625
2,1.0,0.30000000000000004,0.46153846153846156,0.015625
3,1.0,0.33333333333333337,0.5,0.0
4,0.875,0.2666666666666667,0.40875912408759135,0.015625
5,0.6,0.5,0.5454545454545454,0.0
6,1.0,0.31818181818181823,0.4827586206896552,0.015625
7,1.0,0.4285714285714286,0.6,0.015625
8,0.875,0.2666666666666667,0.40875912408759135,0.0
9,1.0,0.33333333333333337,0.5,0.015625
10,1.0,0.33333333333333337,0.5,0.015625
11,1.0,0.33333333333333337,0.5,0.0
12,1.0,0.33333333333333337,0.5,0.015625
13,0.9,0.2857142857142857,0.4337349397590361,0.015625
14,1.0,0.33333333333333337,0.5,0.0
15,1.0,0.33333333333333337,0.5,0.015625
16,1.0,0.33333333333333337,0.5,0.015625
17,0.9,0.2857142857142857,0.4337349397590361,0.0
18,1.0,0.33333333333333337,0.5,0.015625
19,1.0,0.33333333333333337,0.5,0.015625
20,1.0,0.33333333333333337,0.5,0.015625
21,1.0,0.33333333333333337,0.5,0.0
22,1.0,0.33333333333333337,0.5,0.015625
23,1.0,0.33333333333333337,0.5,0.015625
24,0.9,0.2857142857142857,0.4337349397590361,0.0
25,1.0,0.33333333333333337,0.5,0.015625
26,1.0,0.3076923076923077,0.47058823529411764,0.015625
27,1.0,0.33333333333333337,0.5,0.015625
28,1.0,0.30434782608695654,0.4666666666666667,0.0
29,1.0,0.33333333333333337,0.5,0.015625
30,1.0,0.33333333333333337,0.5,0.0
31,1.0,0.33333333333333337,0.5,0.015625
32,1.0,0.33333333333333337,0.5,0.015625
33,1.0,0.33333333333333337,0.5,0.046875
34,1.0,0.33333333333333337,0.5,0.015625
35,1.0,0.33333333333333337,0.5,0.015625
36,1.0,0.33333333333333337,0.5,0.0
37,1.0,0.33333333333333337,0.5,0.015625
38,1.0,0.33333333333333337,0.5,0.015625
39,1.0,0.33333333333333337,0.5,0.0
40,1.0,0.33333333333333337,0.5,0.015625
41,1.0,0.33333333333333337,0.5,0.015625
42,1.0,0.33333333333333337,0.5,0.0
43,1.0,0.33333333333333337,0.5,0.015625
44,1.0,0.33333333333333337,0.5,0.0
45,1.0,0.33333333333333337,0.5,0.015625
46,1.0,0.33333333333333337,0.5,0.015625
