n°_evaluation,fitness,precision,f-measure,time
0,,,,0.1875
1,0.5,0.125,0.2,0.0
2,0.4444444444444444,0.16666666666666663,0.2424242424242424,0.0
3,0.6,0.16666666666666663,0.26086956521739124,0.015625
4,0.6,0.16666666666666663,0.26086956521739124,0.0
5,1.0,0.25,0.4,0.0
6,0.4285714285714286,0.125,0.1935483870967742,0.015625
7,0.6666666666666667,0.125,0.2105263157894737,0.0
8,0.6,0.16666666666666663,0.26086956521739124,0.0
9,0.5,0.125,0.2,0.0
10,0.5,0.125,0.2,0.015625
11,0.5,0.125,0.2,0.0
12,0.5,0.125,0.2,0.0
13,0.4285714285714286,0.125,0.1935483870967742,0.015625
14,0.5,0.125,0.2,0.0
15,0.5,0.125,0.2,0.0
16,0.5,0.125,0.2,0.015625
17,0.4285714285714286,0.125,0.1935483870967742,0.0
18,0.5,0.125,0.2,0.0
19,0.5,0.125,0.2,0.0
20,0.5,0.125,0.2,0.015625
21,0.5,0.125,0.2,0.0
22,0.5,0.125,0.2,0.0
23,0.5,0.125,0.2,0.015625
24,0.4285714285714286,0.125,0.1935483870967742,0.0
25,0.6,0.16666666666666663,0.26086956521739124,0.0
26,0.375,0.125,0.1875,0.015625
27,0.6,0.16666666666666663,0.26086956521739124,0.0
28,0.4285714285714286,0.16666666666666663,0.24,0.0
29,0.6,0.16666666666666663,0.26086956521739124,0.015625
30,0.6,0.16666666666666663,0.26086956521739124,0.0
31,0.6,0.16666666666666663,0.26086956521739124,0.0
32,0.5,0.125,0.2,0.0
33,0.5,0.125,0.2,0.015625
34,0.6,0.16666666666666663,0.26086956521739124,0.0
35,0.5,0.125,0.2,0.0
36,0.6,0.16666666666666663,0.26086956521739124,0.015625
37,0.5,0.125,0.2,0.0
38,0.5,0.125,0.2,0.0
39,0.5,0.125,0.2,0.015625
40,0.5,0.125,0.2,0.0
41,0.5,0.125,0.2,0.0
42,0.6,0.16666666666666663,0.26086956521739124,0.015625
43,0.5,0.125,0.2,0.0
44,0.5,0.125,0.2,0.0
45,0.6,0.16666666666666663,0.26086956521739124,0.0
46,0.5,0.125,0.2,0.015625
47,0.5,0.125,0.2,0.046875
48,0.5,0.125,0.2,0.0
49,0.5,0.125,0.2,0.0
50,0.6,0.16666666666666663,0.26086956521739124,0.0
51,0.5,0.125,0.2,0.015625
52,1.0,0.25,0.4,0.0
53,1.0,0.25,0.4,0.0
54,1.0,0.25,0.4,0.0
55,1.0,0.25,0.4,0.0
56,1.0,0.25,0.4,0.0
57,1.0,0.25,0.4,0.015625
58,0.5,0.125,0.2,0.0
59,1.0,0.25,0.4,0.0
60,1.0,0.25,0.4,0.0
61,0.5,0.125,0.2,0.015625
62,1.0,0.25,0.4,0.0
63,1.0,0.25,0.4,0.0
64,1.0,0.25,0.4,0.0
65,0.5,0.125,0.2,0.0
66,0.5,0.125,0.2,0.015625
67,1.0,0.25,0.4,0.0
68,1.0,0.25,0.4,0.0
69,0.5,0.125,0.2,0.0
70,0.5,0.125,0.2,0.0
71,0.5,0.125,0.2,0.015625
72,0.4285714285714286,0.125,0.1935483870967742,0.0
73,0.5,0.125,0.2,0.0
74,0.5,0.125,0.2,0.015625
75,0.5,0.125,0.2,0.0
76,0.5,0.125,0.2,0.0
77,0.5,0.125,0.2,0.015625
78,0.5,0.125,0.2,0.0
79,0.5,0.125,0.2,0.0
80,0.5,0.125,0.2,0.015625
81,0.5,0.125,0.2,0.0
82,0.36363636363636365,0.125,0.18604651162790697,0.0
83,0.5,0.125,0.2,0.015625
84,0.5,0.125,0.2,0.0
85,0.6,0.16666666666666663,0.26086956521739124,0.0
86,0.6,0.16666666666666663,0.26086956521739124,0.015625
87,1.0,0.25,0.4,0.0
88,0.6,0.16666666666666663,0.26086956521739124,0.0
89,0.6,0.16666666666666663,0.26086956521739124,0.0
90,0.6,0.16666666666666663,0.26086956521739124,0.015625
91,1.0,0.25,0.4,0.0
92,0.6,0.16666666666666663,0.26086956521739124,0.0
93,0.5,0.125,0.2,0.0
94,0.6,0.125,0.20689655172413793,0.015625
95,0.5,0.125,0.2,0.0
96,0.6,0.16666666666666663,0.26086956521739124,0.0
97,0.8,0.16666666666666663,0.2758620689655172,0.015625
98,0.5,0.125,0.2,0.0
99,0.5,0.125,0.2,0.0
100,1.0,0.25,0.4,0.0
101,1.0,0.25,0.4,0.0
102,0.5,0.125,0.2,0.015625
103,0.5,0.125,0.2,0.0
104,1.0,0.25,0.4,0.0
105,0.5,0.125,0.2,0.015625
106,0.5,0.125,0.2,0.0
107,0.5,0.125,0.2,0.0
108,0.5,0.125,0.2,0.0
109,0.4285714285714286,0.125,0.1935483870967742,0.015625
110,0.5,0.125,0.2,0.0
111,0.5,0.125,0.2,0.0
112,0.5,0.125,0.2,0.015625
113,0.5,0.125,0.2,0.0
114,0.5,0.125,0.2,0.0
115,0.5,0.125,0.2,0.015625
116,0.5,0.125,0.2,0.0
117,0.5,0.125,0.2,0.0
118,0.5,0.125,0.2,0.015625
119,0.5,0.125,0.2,0.0
120,0.5,0.125,0.2,0.0
121,0.5,0.125,0.2,0.0
122,0.5,0.125,0.2,0.015625
123,0.5,0.125,0.2,0.0
124,0.4285714285714286,0.125,0.1935483870967742,0.0
125,0.5,0.125,0.2,0.015625
126,0.5,0.125,0.2,0.0
127,0.6,0.16666666666666663,0.26086956521739124,0.0
128,0.6,0.16666666666666663,0.26086956521739124,0.0
129,0.6,0.16666666666666663,0.26086956521739124,0.015625
130,0.6,0.16666666666666663,0.26086956521739124,0.0
131,0.6,0.16666666666666663,0.26086956521739124,0.0
132,0.6,0.16666666666666663,0.26086956521739124,0.015625
133,0.5,0.125,0.2,0.0
134,0.5,0.125,0.2,0.0
135,0.5,0.125,0.2,0.015625
136,0.6,0.16666666666666663,0.26086956521739124,0.0
137,0.36363636363636365,0.125,0.18604651162790697,0.0
138,0.5,0.125,0.2,0.015625
139,0.5,0.125,0.2,0.0
140,0.5,0.125,0.2,0.0
141,0.5,0.125,0.2,0.015625
142,0.5,0.125,0.2,0.0
143,0.5,0.125,0.2,0.0
144,0.6,0.16666666666666663,0.26086956521739124,0.0
145,0.5,0.125,0.2,0.015625
146,0.5,0.125,0.2,0.0
147,0.5,0.125,0.2,0.0
148,0.4,0.125,0.19047619047619047,0.015625
149,0.5,0.125,0.2,0.0
150,0.5,0.125,0.2,0.0
151,1.0,0.25,0.4,0.015625
152,1.0,0.25,0.4,0.0
153,1.0,0.25,0.4,0.0
154,1.0,0.25,0.4,0.0
155,1.0,0.25,0.4,0.0
156,1.0,0.25,0.4,0.0
157,0.4,0.125,0.19047619047619047,0.015625
158,1.0,0.25,0.4,0.0
159,1.0,0.25,0.4,0.0
160,1.0,0.25,0.4,0.0
161,1.0,0.25,0.4,0.0
162,1.0,0.25,0.4,0.0
163,1.0,0.25,0.4,0.015625
164,1.0,0.25,0.4,0.0
165,1.0,0.25,0.4,0.0
166,1.0,0.25,0.4,0.0
167,0.5,0.125,0.2,0.0
168,1.0,0.25,0.4,0.0
169,1.0,0.25,0.4,0.015625
170,1.0,0.25,0.4,0.0
171,1.0,0.25,0.4,0.0
172,0.5,0.125,0.2,0.0
173,1.0,0.25,0.4,0.0
174,0.5,0.125,0.2,0.015625
175,0.5,0.125,0.2,0.0
176,0.2666666666666667,0.125,0.17021276595744683,0.015625
177,0.5,0.125,0.2,0.0
178,0.5,0.125,0.2,0.0
179,0.5,0.125,0.2,0.0
180,0.5,0.125,0.2,0.015625
181,0.4,0.125,0.19047619047619047,0.0
182,0.5,0.125,0.2,0.015625
183,0.5,0.125,0.2,0.0
184,0.5,0.125,0.2,0.0
185,0.4285714285714286,0.125,0.1935483870967742,0.0
186,0.5,0.125,0.2,0.015625
187,0.5,0.125,0.2,0.0
188,0.5,0.125,0.2,0.0
189,0.4285714285714286,0.16666666666666663,0.24,0.015625
190,0.4545454545454546,0.16666666666666663,0.2439024390243902,0.0
191,0.6,0.16666666666666663,0.26086956521739124,0.015625
192,0.6,0.16666666666666663,0.26086956521739124,0.0
193,0.4444444444444444,0.16666666666666663,0.2424242424242424,0.0
194,0.6,0.16666666666666663,0.26086956521739124,0.015625
195,0.6,0.16666666666666663,0.26086956521739124,0.0
196,0.6,0.16666666666666663,0.26086956521739124,0.0
197,0.5,0.125,0.2,0.015625
198,0.5,0.125,0.2,0.0
199,0.4,0.125,0.19047619047619047,0.0
200,0.5,0.125,0.2,0.015625
201,0.5,0.125,0.2,0.0
202,0.5,0.125,0.2,0.0
203,1.0,0.25,0.4,0.0
204,0.6,0.16666666666666663,0.26086956521739124,0.015625
205,0.4444444444444444,0.16666666666666663,0.2424242424242424,0.0
206,1.0,0.25,0.4,0.0
207,1.0,0.25,0.4,0.015625
208,0.6,0.16666666666666663,0.26086956521739124,0.0
209,0.6,0.16666666666666663,0.26086956521739124,0.0
210,0.5,0.16666666666666663,0.24999999999999994,0.0
211,0.6,0.16666666666666663,0.26086956521739124,0.015625
212,1.0,0.25,0.4,0.0
213,1.0,0.25,0.4,0.0
214,0.6666666666666667,0.125,0.2105263157894737,0.0
215,0.36363636363636365,0.125,0.18604651162790697,0.015625
216,0.5,0.125,0.2,0.0
217,0.5,0.125,0.2,0.0
218,0.6,0.16666666666666663,0.26086956521739124,0.015625
219,0.5,0.125,0.2,0.0
220,1.0,0.25,0.4,0.0
221,0.5,0.125,0.2,0.0
222,1.0,0.25,0.4,0.015625
223,0.5,0.125,0.2,0.0
224,0.5,0.125,0.2,0.0
225,0.5,0.125,0.2,0.0
226,0.5,0.125,0.2,0.015625
227,0.5,0.125,0.2,0.0
228,0.5,0.125,0.2,0.0
229,0.5,0.125,0.2,0.015625
230,0.5,0.125,0.2,0.0
231,0.4,0.125,0.19047619047619047,0.0
232,0.5,0.125,0.2,0.015625
233,0.6,0.16666666666666663,0.26086956521739124,0.0
234,0.36363636363636365,0.125,0.18604651162790697,0.0
235,1.0,0.25,0.4,0.015625
236,0.5,0.125,0.2,0.0
237,0.5,0.125,0.2,0.0
238,0.5,0.125,0.2,0.015625
239,0.5,0.125,0.2,0.0
240,0.6,0.16666666666666663,0.26086956521739124,0.0
241,0.5,0.125,0.2,0.0
242,0.5,0.125,0.2,0.015625
243,0.5,0.125,0.2,0.0
244,0.4285714285714286,0.16666666666666663,0.24,0.0
245,0.5,0.125,0.2,0.015625
246,0.5,0.125,0.2,0.0
247,0.5,0.125,0.2,0.0
248,0.5,0.125,0.2,0.015625
249,1.0,0.25,0.4,0.0
250,1.0,0.25,0.4,0.0
