n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10
0,10000,11,11,36,18,"[4130]('NEW',)","[2844]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[963]('NEW', 'DELETE')","[566]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[306]('NEW', 'CHANGE DIAGN', 'DELETE')","[182]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[132]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[110]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[56]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[53]('NEW', 'FIN', 'DELETE')"
1,11163,11,11,34,17,"[4337]('NEW',)","[3412]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1033]('NEW', 'DELETE')","[722]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[319]('NEW', 'CHANGE DIAGN', 'DELETE')","[214]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[149]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[114]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[61]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[55]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')"
2,11458,11,11,34,17,"[4448]('NEW',)","[3499]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1055]('NEW', 'DELETE')","[738]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[333]('NEW', 'CHANGE DIAGN', 'DELETE')","[218]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[150]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[115]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[71]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[55]('NEW', 'FIN', 'DELETE')"
3,11571,11,11,34,17,"[4480]('NEW',)","[3529]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1064]('NEW', 'DELETE')","[751]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[338]('NEW', 'CHANGE DIAGN', 'DELETE')","[219]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[151]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[117]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[79]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[56]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')"
4,16595,11,11,36,18,"[5780]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[5605]('NEW',)","[1386]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1308]('NEW', 'DELETE')","[427]('NEW', 'CHANGE DIAGN', 'DELETE')","[365]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[208]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[128]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[76]('NEW', 'FIN')"
5,16872,11,11,34,17,"[5908]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[5667]('NEW',)","[1422]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1321]('NEW', 'DELETE')","[429]('NEW', 'CHANGE DIAGN', 'DELETE')","[372]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[211]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[129]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[78]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
6,17339,11,11,36,18,"[6143]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[5737]('NEW',)","[1491]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1340]('NEW', 'DELETE')","[431]('NEW', 'CHANGE DIAGN', 'DELETE')","[386]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[219]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[129]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[83]('NEW', 'FIN')"
7,17346,11,11,36,18,"[6145]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[5737]('NEW',)","[1494]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1340]('NEW', 'DELETE')","[431]('NEW', 'CHANGE DIAGN', 'DELETE')","[386]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[219]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[129]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[84]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
8,20627,10,10,23,11,"[7871]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[6228]('NEW',)","[1933]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1482]('NEW', 'DELETE')","[488]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[476]('NEW', 'CHANGE DIAGN', 'DELETE')","[271]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[134]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[133]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'FIN')"
9,32209,8,10,25,13,"[12493]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[8632]('NEW',)","[4392]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2037]('NEW', 'DELETE')","[842]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[655]('NEW', 'CHANGE DIAGN', 'DELETE')","[380]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[282]('NEW', 'FIN')","[200]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[149]('NEW', 'FIN', 'RELEASE', 'BILLED')"
