n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15
0,10000,10,11,100,36,"[4130]('NEW',)","[2844]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[963]('NEW', 'DELETE')","[566]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[306]('NEW', 'CHANGE DIAGN', 'DELETE')","[182]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[132]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[110]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[56]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[53]('NEW', 'FIN', 'DELETE')","[49]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[47]('NEW', 'FIN')","[40]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'DELETE')","[37]('NEW', 'NEW', 'DELETE')","[37]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')"
1,13461,14,12,101,44,"[4877]('NEW',)","[4392]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1130]('NEW', 'DELETE')","[1051]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[367]('NEW', 'CHANGE DIAGN', 'DELETE')","[274]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[171]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[120]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[73]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[59]('NEW', 'FIN')","[57]('NEW', 'FIN', 'DELETE')","[51]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[46]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'DELETE')","[39]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
2,15814,11,12,90,36,"[5437]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[5434]('NEW',)","[1300]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1251]('NEW', 'DELETE')","[406]('NEW', 'CHANGE DIAGN', 'DELETE')","[340]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[201]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[126]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[98]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[75]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[70]('NEW', 'FIN')","[69]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[60]('NEW', 'FIN', 'DELETE')","[57]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[47]('NEW', 'FIN', 'RELEASE', 'BILLED')"
3,32182,9,12,86,24,"[12484]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[8632]('NEW',)","[4386]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2032]('NEW', 'DELETE')","[842]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[654]('NEW', 'CHANGE DIAGN', 'DELETE')","[378]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[282]('NEW', 'FIN')","[200]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[148]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[146]('NEW', 'FIN', 'RELEASE', 'BILLED')","[105]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[100]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[77]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[74]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
4,32352,11,12,88,35,"[12536]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[8667]('NEW',)","[4438]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2043]('NEW', 'DELETE')","[844]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[656]('NEW', 'CHANGE DIAGN', 'DELETE')","[380]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[287]('NEW', 'FIN')","[200]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[150]('NEW', 'FIN', 'RELEASE', 'BILLED')","[148]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[105]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[100]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[77]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[74]('NEW', 'FIN', 'DELETE')"
5,32367,9,12,86,24,"[12542]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[8667]('NEW',)","[4444]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2044]('NEW', 'DELETE')","[844]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[657]('NEW', 'CHANGE DIAGN', 'DELETE')","[380]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[287]('NEW', 'FIN')","[200]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[150]('NEW', 'FIN', 'RELEASE', 'BILLED')","[148]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[105]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[100]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[77]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[75]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
6,33576,11,13,126,39,"[12809]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[8971]('NEW',)","[4818]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2114]('NEW', 'DELETE')","[870]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[687]('NEW', 'CHANGE DIAGN', 'DELETE')","[398]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[319]('NEW', 'FIN')","[200]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[154]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[154]('NEW', 'FIN', 'RELEASE', 'BILLED')","[105]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[100]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')","[79]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[79]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
7,45747,14,14,146,53,"[17418]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[11354]('NEW',)","[7604]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2600]('NEW', 'DELETE')","[1211]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[848]('NEW', 'CHANGE DIAGN', 'DELETE')","[569]('NEW', 'FIN')","[484]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[360]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[207]('NEW', 'FIN', 'RELEASE', 'BILLED')","[172]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[151]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')","[108]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[107]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')","[102]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'SET STATUS')"
8,52979,8,14,59,20,"[20007]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[12826]('NEW',)","[9404]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[2871]('NEW', 'DELETE')","[1369]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[957]('NEW', 'CHANGE DIAGN', 'DELETE')","[713]('NEW', 'FIN')","[520]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[505]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[219]('NEW', 'FIN', 'RELEASE', 'BILLED')","[188]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[172]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')","[141]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'SET STATUS')","[124]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[108]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
9,61576,11,14,87,38,"[23221]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[14337]('NEW',)","[11339]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[3188]('NEW', 'DELETE')","[1598]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[1084]('NEW', 'CHANGE DIAGN', 'DELETE')","[872]('NEW', 'FIN')","[625]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')","[579]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[265]('NEW', 'FIN', 'RELEASE', 'BILLED')","[200]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')","[198]('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')","[176]('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'SET STATUS')","[148]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')","[145]('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
