n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15
0,10000,7,15,30,7,"[1:4130]('NEW',)","[2:963]('NEW', 'DELETE')","[2:47]('NEW', 'FIN')","[2:3]('NEW', 'NEW')","[2:1]('NEW', 'BILLED')","[3:306]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:53]('NEW', 'FIN', 'DELETE')","[3:37]('NEW', 'NEW', 'DELETE')","[3:6]('NEW', 'FIN', 'RELEASE')","[3:3]('NEW', 'NEW', 'FIN')","[3:1]('NEW', 'DELETE', 'JOIN-PAT')","[3:1]('NEW', 'FIN', 'SET STATUS')","[3:1]('NEW', 'CHANGE END', 'DELETE')","[3:1]('NEW', 'RELEASE', 'BILLED')","[4:21]('NEW', 'FIN', 'RELEASE', 'BILLED')"
1,10960,9,18,36,11,"[1:4294]('NEW',)","[2:1014]('NEW', 'DELETE')","[2:51]('NEW', 'FIN')","[2:3]('NEW', 'NEW')","[2:1]('NEW', 'BILLED')","[3:318]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:54]('NEW', 'FIN', 'DELETE')","[3:37]('NEW', 'NEW', 'DELETE')","[3:7]('NEW', 'FIN', 'RELEASE')","[3:4]('NEW', 'NEW', 'FIN')","[3:1]('NEW', 'DELETE', 'JOIN-PAT')","[3:1]('NEW', 'FIN', 'SET STATUS')","[3:1]('NEW', 'CHANGE END', 'DELETE')","[3:1]('NEW', 'RELEASE', 'BILLED')","[4:21]('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'DELETE')"
2,11454,7,15,30,7,"[1:4448]('NEW',)","[2:1053]('NEW', 'DELETE')","[2:53]('NEW', 'FIN')","[2:3]('NEW', 'BILLED')","[2:3]('NEW', 'NEW')","[3:333]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:54]('NEW', 'FIN', 'DELETE')","[3:37]('NEW', 'NEW', 'DELETE')","[3:7]('NEW', 'FIN', 'RELEASE')","[3:4]('NEW', 'NEW', 'FIN')","[3:1]('NEW', 'DELETE', 'JOIN-PAT')","[3:1]('NEW', 'FIN', 'SET STATUS')","[3:1]('NEW', 'CHANGE END', 'DELETE')","[3:1]('NEW', 'RELEASE', 'BILLED')","[4:23]('NEW', 'FIN', 'RELEASE', 'BILLED')"
3,13137,8,16,32,8,"[1:4772]('NEW',)","[2:1119]('NEW', 'DELETE')","[2:58]('NEW', 'FIN')","[2:3]('NEW', 'BILLED')","[2:3]('NEW', 'NEW')","[3:362]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:56]('NEW', 'FIN', 'DELETE')","[3:38]('NEW', 'NEW', 'DELETE')","[3:7]('NEW', 'FIN', 'RELEASE')","[3:4]('NEW', 'NEW', 'FIN')","[3:1]('NEW', 'DELETE', 'JOIN-PAT')","[3:1]('NEW', 'FIN', 'SET STATUS')","[3:1]('NEW', 'CHANGE END', 'DELETE')","[3:1]('NEW', 'RELEASE', 'BILLED')","[3:1]('NEW', 'CHANGE DIAGN', 'FIN')"
4,27283,8,16,32,8,"[1:7474]('NEW',)","[2:1811]('NEW', 'DELETE')","[2:207]('NEW', 'FIN')","[2:8]('NEW', 'NEW')","[2:3]('NEW', 'BILLED')","[2:1]('NEW', 'SET STATUS')","[3:594]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:72]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:7]('NEW', 'FIN', 'RELEASE')","[3:5]('NEW', 'NEW', 'FIN')","[3:5]('NEW', 'CHANGE DIAGN', 'FIN')","[3:4]('NEW', 'CHANGE END', 'DELETE')","[3:2]('NEW', 'RELEASE', 'BILLED')","[3:1]('NEW', 'DELETE', 'JOIN-PAT')"
5,31736,8,16,32,8,"[1:8521]('NEW',)","[2:2007]('NEW', 'DELETE')","[2:269]('NEW', 'FIN')","[2:10]('NEW', 'NEW')","[2:3]('NEW', 'BILLED')","[2:1]('NEW', 'SET STATUS')","[3:647]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:73]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:10]('NEW', 'FIN', 'RELEASE')","[3:6]('NEW', 'CHANGE DIAGN', 'FIN')","[3:5]('NEW', 'NEW', 'FIN')","[3:4]('NEW', 'CHANGE END', 'DELETE')","[3:3]('NEW', 'CHANGE DIAGN', 'SET STATUS')","[3:2]('NEW', 'DELETE', 'JOIN-PAT')"
6,42869,7,14,28,7,"[1:10812]('NEW',)","[2:2497]('NEW', 'DELETE')","[2:510]('NEW', 'FIN')","[2:12]('NEW', 'NEW')","[2:3]('NEW', 'BILLED')","[2:3]('NEW', 'SET STATUS')","[3:801]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:81]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:12]('NEW', 'FIN', 'RELEASE')","[3:11]('NEW', 'CHANGE DIAGN', 'FIN')","[3:5]('NEW', 'NEW', 'FIN')","[3:5]('NEW', 'CHANGE DIAGN', 'SET STATUS')","[3:4]('NEW', 'CHANGE END', 'DELETE')","[3:3]('NEW', 'FIN', 'SET STATUS')"
7,68706,7,13,26,7,"[1:15930]('NEW',)","[2:3522]('NEW', 'DELETE')","[2:1053]('NEW', 'FIN')","[2:24]('NEW', 'NEW')","[2:9]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[2:1]('NEW', 'CHANGE DIAGN')","[3:1205]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:101]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:22]('NEW', 'CHANGE DIAGN', 'FIN')","[3:19]('NEW', 'FIN', 'RELEASE')","[3:6]('NEW', 'CHANGE DIAGN', 'SET STATUS')","[3:5]('NEW', 'NEW', 'FIN')","[3:4]('NEW', 'FIN', 'SET STATUS')"
8,82593,8,15,30,8,"[1:18989]('NEW',)","[2:4236]('NEW', 'DELETE')","[2:2124]('NEW', 'FIN')","[2:30]('NEW', 'NEW')","[2:10]('NEW', 'SET STATUS')","[2:4]('NEW', 'CHANGE DIAGN')","[2:3]('NEW', 'BILLED')","[3:1395]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:123]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:44]('NEW', 'CHANGE DIAGN', 'FIN')","[3:35]('NEW', 'FIN', 'RELEASE')","[3:6]('NEW', 'CHANGE DIAGN', 'SET STATUS')","[3:5]('NEW', 'NEW', 'FIN')","[3:4]('NEW', 'DELETE', 'JOIN-PAT')"
9,85686,7,14,28,7,"[1:19365]('NEW',)","[2:4312]('NEW', 'DELETE')","[2:2300]('NEW', 'FIN')","[2:31]('NEW', 'NEW')","[2:10]('NEW', 'SET STATUS')","[2:5]('NEW', 'CHANGE DIAGN')","[2:3]('NEW', 'BILLED')","[3:1411]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:131]('NEW', 'FIN', 'DELETE')","[3:48]('NEW', 'CHANGE DIAGN', 'FIN')","[3:45]('NEW', 'NEW', 'DELETE')","[3:39]('NEW', 'FIN', 'RELEASE')","[3:6]('NEW', 'CHANGE DIAGN', 'SET STATUS')","[3:5]('NEW', 'NEW', 'FIN')","[3:5]('NEW', 'CHANGE END', 'DELETE')"
