n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10
0,10000,7,13,26,10,"[1:4130]('NEW',)","[2:963]('NEW', 'DELETE')","[2:47]('NEW', 'FIN')","[2:3]('NEW', 'NEW')","[2:1]('NEW', 'BILLED')","[3:306]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:53]('NEW', 'FIN', 'DELETE')","[3:37]('NEW', 'NEW', 'DELETE')","[3:6]('NEW', 'FIN', 'RELEASE')","[3:3]('NEW', 'NEW', 'FIN')"
1,27283,7,14,28,10,"[1:7474]('NEW',)","[2:1811]('NEW', 'DELETE')","[2:207]('NEW', 'FIN')","[2:8]('NEW', 'NEW')","[2:3]('NEW', 'BILLED')","[2:1]('NEW', 'SET STATUS')","[3:594]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:72]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:7]('NEW', 'FIN', 'RELEASE')"
2,44184,9,16,32,14,"[1:11047]('NEW',)","[2:2538]('NEW', 'DELETE')","[2:532]('NEW', 'FIN')","[2:13]('NEW', 'NEW')","[2:3]('NEW', 'BILLED')","[2:3]('NEW', 'SET STATUS')","[3:824]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:83]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:13]('NEW', 'CHANGE DIAGN', 'FIN')"
3,47323,7,14,28,10,"[1:11641]('NEW',)","[2:2677]('NEW', 'DELETE')","[2:602]('NEW', 'FIN')","[2:16]('NEW', 'NEW')","[2:4]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:875]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:86]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:14]('NEW', 'FIN', 'RELEASE')"
4,51470,9,16,32,14,"[1:12568]('NEW',)","[2:2815]('NEW', 'DELETE')","[2:689]('NEW', 'FIN')","[2:17]('NEW', 'NEW')","[2:4]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:937]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:90]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:16]('NEW', 'CHANGE DIAGN', 'FIN')"
5,51607,7,14,28,10,"[1:12601]('NEW',)","[2:2821]('NEW', 'DELETE')","[2:690]('NEW', 'FIN')","[2:17]('NEW', 'NEW')","[2:4]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:937]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:90]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:16]('NEW', 'FIN', 'RELEASE')"
6,57919,9,16,32,14,"[1:13696]('NEW',)","[2:3067]('NEW', 'DELETE')","[2:798]('NEW', 'FIN')","[2:21]('NEW', 'NEW')","[2:4]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:1030]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:95]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:18]('NEW', 'CHANGE DIAGN', 'FIN')"
7,58893,7,14,28,10,"[1:13856]('NEW',)","[2:3089]('NEW', 'DELETE')","[2:815]('NEW', 'FIN')","[2:22]('NEW', 'NEW')","[2:4]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:1039]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:95]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:18]('NEW', 'FIN', 'RELEASE')"
8,62529,9,16,32,14,"[1:14516]('NEW',)","[2:3216]('NEW', 'DELETE')","[2:891]('NEW', 'FIN')","[2:22]('NEW', 'NEW')","[2:7]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:1093]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:96]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')","[3:19]('NEW', 'CHANGE DIAGN', 'FIN')"
9,68706,8,14,28,11,"[1:15930]('NEW',)","[2:3522]('NEW', 'DELETE')","[2:1053]('NEW', 'FIN')","[2:24]('NEW', 'NEW')","[2:9]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[2:1]('NEW', 'CHANGE DIAGN')","[3:1205]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:101]('NEW', 'FIN', 'DELETE')","[3:45]('NEW', 'NEW', 'DELETE')"
10,84379,9,17,34,15,"[1:19212]('NEW',)","[2:4286]('NEW', 'DELETE')","[2:2239]('NEW', 'FIN')","[2:30]('NEW', 'NEW')","[2:10]('NEW', 'SET STATUS')","[2:5]('NEW', 'CHANGE DIAGN')","[2:3]('NEW', 'BILLED')","[3:1407]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:127]('NEW', 'FIN', 'DELETE')","[3:46]('NEW', 'CHANGE DIAGN', 'FIN')"
11,99415,8,16,32,13,"[1:22215]('NEW',)","[2:4799]('NEW', 'DELETE')","[2:3440]('NEW', 'FIN')","[2:34]('NEW', 'NEW')","[2:18]('NEW', 'CHANGE DIAGN')","[2:10]('NEW', 'SET STATUS')","[2:3]('NEW', 'BILLED')","[3:1547]('NEW', 'CHANGE DIAGN', 'DELETE')","[3:164]('NEW', 'FIN', 'DELETE')","[3:86]('NEW', 'FIN', 'RELEASE')"
