training,fitting_traces%,average_trace_fitness,precision,f-measure
1,97.51333333333334,0.9940518326118384,0.5718176833690019,0.7260073847427365
2,92.29333333333334,0.9846471009546128,0.5776214370699913,0.7281120493911489
3,92.28666666666666,0.9847050720575874,0.5831516051986229,0.7325061681307875
4,93.64666666666666,0.9868559668109819,0.5795548402126263,0.7302517954977253
5,96.16666666666667,0.988712151274654,0.6008426669484361,0.747455122661663
6,97.41333333333333,0.9922944791047753,0.5988422154221145,0.7469224061794704
7,97.08666666666667,0.991351721981728,0.5990197276003175,0.7467931326529575
8,93.03333333333333,0.9797692857143088,0.5995809865552326,0.7439148176812331
9,96.73333333333333,0.9897643987494029,0.5987417062120204,0.7461264681378402
10,99.45945945945945,0.9976351351351351,0.5959915611814346,0.746200001610074
WHOLE,96.96282503158875,0.9907786309100446,0.6003931607724156,0.7476964045583834
