training,fitting_traces%,average_trace_fitness,precision,f-measure
1,92.88666666666667,0.9875782034631989,1.0,0.9937502853899499
2,87.84666666666666,0.9788992566211462,1.0,0.9893371310801934
3,89.33333333333333,0.9805173739278162,1.0,0.9901628603067767
4,90.20666666666666,0.9817313011063017,1.0,0.9907814450508504
5,91.00666666666666,0.978568208410087,0.9938020295315063,0.9861262889140722
6,93.32666666666667,0.9853601130351138,0.993229362928027,0.9892790891836188
7,93.28666666666666,0.9843623668923638,0.9930425882125122,0.9886834257537732
8,88.36,0.9681811675361653,0.9933701306940743,0.9806139189922464
9,92.00666666666666,0.9814934769914166,0.9936337661035641,0.9875263108830151
10,98.37837837837837,0.9956810381810381,0.9946808510638298,0.9951806933178157
WHOLE,90.82995278313493,0.9794392893843085,0.9930261551344246,0.9861859272897957
