experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,0.9905151052521224,0.362893332708674,0.5303358755195072,604.109375,"[24, 10, 10]"
2,FRQ,5,NFL NFR S,0.9905356837723684,0.3603778658919893,0.5275766019401834,692.125,[24]
3,FRQ,5,NFL UFR D,0.9905151052521224,0.362893332708674,0.5303358755195072,553.90625,"[14, 9, 10]"
4,FRQ,5,NFL UFR S,0.9905356837723684,0.3603778658919893,0.5275766019401834,568.921875,[14]
5,FRQ,5,UFL NFR D,0.7817608234722441,0.7192119327489054,0.7382312864843454,552.6875,"[17, 12, 7]"
6,FRQ,5,UFL NFR S,0.791868285962066,0.6824117652639482,0.7192402952614341,580.203125,[16]
7,FRQ,5,UFL UFR D,0.75712641086967,0.7744533500775653,0.7486915929804127,471.671875,"[8, 7, 7]"
8,FRQ,5,UFL UFR S,0.8783839005789954,0.7264531777104726,0.7868837728900959,468.28125,[8]
9,FRQ,10,NFL NFR D,0.996024394314082,0.295279290138255,0.4542805650909151,631.375,"[26, 23, 12]"
10,FRQ,10,NFL NFR S,0.997414158096547,0.2957971783575596,0.455033632361315,756.90625,[26]
11,FRQ,10,NFL UFR D,0.996024394314082,0.295279290138255,0.4542805650909151,624.53125,"[16, 12, 16]"
12,FRQ,10,NFL UFR S,0.997414158096547,0.2957971783575596,0.455033632361315,644.34375,[16]
13,FRQ,10,UFL NFR D,0.7717910801657203,0.745171434903281,0.7505900988362214,519.171875,"[10, 10, 10]"
14,FRQ,10,UFL NFR S,0.7443829964286862,0.7509845678686634,0.7418514659078942,514.6875,[10]
15,FRQ,10,UFL UFR D,0.6832835613616066,0.8113811528896112,0.7300155293319576,472.609375,"[7, 7, 7]"
16,FRQ,10,UFL UFR S,0.6832835613616066,0.8113811528896112,0.7300155293319576,467.46875,[7]
17,FRQ,15,NFL NFR D,0.9988406316992784,0.2605908309977843,0.4121937448222882,763.09375,"[31, 11, 16, 32, 27, 25, 33, 25, 33, 33]"
18,FRQ,15,NFL NFR S,0.997414158096547,0.2957971783575596,0.455033632361315,822.375,[31]
19,FRQ,15,NFL UFR D,0.998838784909,0.2604979474352133,0.4120809292732253,774.953125,"[20, 16, 16, 25, 25, 25, 28, 41, 28, 33]"
20,FRQ,15,NFL UFR S,0.9974259103983192,0.2952970705870869,0.4544895686061809,678.765625,[20]
21,FRQ,15,UFL NFR D,0.7652667770247369,0.746004513203671,0.7482078163623509,524.8125,"[10, 10, 10, 13, 10, 10, 9, 7, 10, 12]"
22,FRQ,15,UFL NFR S,0.7443829964286862,0.7509845678686634,0.7418514659078942,525.546875,[10]
23,FRQ,15,UFL UFR D,0.6832835613616066,0.8113811528896112,0.7300155293319576,492.125,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
24,FRQ,15,UFL UFR S,0.6832835613616066,0.8113811528896112,0.7300155293319576,474.875,[7]
25,MAX,5,NFL NFR D,0.5235687723985869,0.662095444514957,0.5628576406101113,700.59375,"[12, 12, 12, 16, 12, 15, 19, 24, 19, 20, 20, 21, 15, 12, 15, 17, 17, 15, 12, 15, 15]"
