experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,0.989566883974988,0.3301616880132628,0.4950591972294814,755.484375,"[14, 14, 10]"
2,FRQ,5,NFL NFR S,0.9898892807921766,0.3301538035737263,0.4950956025316357,776.515625,[14]
3,FRQ,5,NFL UFR D,0.989566883974988,0.3301616880132628,0.4950591972294814,763.9375,"[14, 14, 10]"
4,FRQ,5,NFL UFR S,0.9898892807921766,0.3301538035737263,0.4950956025316357,778.734375,[14]
5,FRQ,5,UFL NFR D,0.989566883974988,0.3301616880132628,0.4950591972294814,764.453125,"[14, 14, 10]"
6,FRQ,5,UFL NFR S,0.9898892807921766,0.3301538035737263,0.4950956025316357,783.375,[14]
7,FRQ,5,UFL UFR D,0.9860359941823708,0.3301616880132628,0.494525637696635,775.46875,"[13, 13, 10]"
8,FRQ,5,UFL UFR S,0.9898892807921766,0.3301538035737263,0.4950956025316357,781.90625,[13]
9,FRQ,10,NFL NFR D,0.9967150360494528,0.2351319448046979,0.3802541619460139,960.3125,"[16, 16, 15]"
10,FRQ,10,NFL NFR S,0.997238954728428,0.2322943041925604,0.3764661802599893,1103.140625,[16]
11,FRQ,10,NFL UFR D,0.9967150360494528,0.2351319448046979,0.3802541619460139,952.75,"[16, 16, 15]"
12,FRQ,10,NFL UFR S,0.997238954728428,0.2322943041925604,0.3764661802599893,1103.15625,[16]
13,FRQ,10,UFL NFR D,0.9221987711425916,0.412023208291206,0.5410367287195902,878.40625,"[16, 16, 14]"
14,FRQ,10,UFL NFR S,0.9226516855834652,0.3167392505385897,0.4611903949183805,1022.03125,[16]
15,FRQ,10,UFL UFR D,0.9962502943405284,0.2546152829881644,0.4043771637944295,869.59375,"[15, 15, 14]"
16,FRQ,10,UFL UFR S,0.9962488169083058,0.2863239548889174,0.443218646149007,839.265625,[15]
17,FRQ,15,NFL NFR D,0.9991298904898668,0.1963091455719381,0.3265082296716725,1764.5,"[16, 16, 16, 22, 22, 22, 25, 22, 25, 22]"
18,FRQ,15,NFL NFR S,0.997238954728428,0.2535831006392363,0.4034559061394429,995.65625,[16]
19,FRQ,15,NFL UFR D,0.9991298904898668,0.1963091455719381,0.3265082296716725,1782.703125,"[16, 16, 16, 22, 22, 22, 25, 22, 25, 22]"
20,FRQ,15,NFL UFR S,0.997238954728428,0.2535831006392363,0.4034559061394429,999.375,[16]
21,FRQ,15,UFL NFR D,0.9243176040428016,0.2292797644419958,0.3583521131955458,1823.6875,"[15, 14, 15, 21, 21, 21, 23, 21, 23, 23]"
22,FRQ,15,UFL NFR S,0.9195458373716112,0.3384536704207868,0.4877707696317531,917.609375,[15]
23,FRQ,15,UFL UFR D,0.9951081379653072,0.3109371117833384,0.4690128700675922,1011.65625,"[15, 15, 15, 18, 18, 18, 19, 18, 19, 19]"
24,FRQ,15,UFL UFR S,0.9962488169083058,0.2863239548889174,0.443218646149007,844.203125,[15]
25,MAX,5,NFL NFR D,0.5325838560055656,0.652675698392719,0.5666782942935047,710.515625,"[10, 10, 10, 16, 15, 16, 17, 19, 17, 15, 16, 17, 16, 14, 15, 15, 16, 15, 15, 15, 15]"
26,MAX,5,NFL NFR S,0.5571247920608793,0.663543730202148,0.585612994407556,569.484375,[10]
27,MAX,5,NFL UFR D,0.5325838560055656,0.652675698392719,0.5666782942935047,721.3125,"[10, 10, 10, 16, 15, 16, 17, 19, 17, 15, 16, 17, 16, 14, 15, 15, 16, 15, 15, 15, 15]"
28,MAX,5,NFL UFR S,0.5571247920608793,0.663543730202148,0.585612994407556,577.34375,[10]
29,MAX,5,UFL NFR D,0.5325838560055656,0.652675698392719,0.5666782942935047,719.40625,"[10, 10, 10, 16, 15, 16, 17, 19, 17, 15, 16, 17, 16, 14, 15, 15, 16, 15, 15, 15, 15]"
30,MAX,5,UFL NFR S,0.5571247920608793,0.663543730202148,0.585612994407556,576.53125,[10]
31,MAX,5,UFL UFR D,0.5097107424381374,0.6582161013794733,0.5558672260113537,681.390625,"[10, 10, 10, 16, 15, 15, 17, 17, 17, 13, 16, 15, 16, 14, 15, 15, 16, 14, 15, 14, 14]"
32,MAX,5,UFL UFR S,0.5571247920608793,0.663543730202148,0.585612994407556,577.203125,[10]
33,MAX,10,NFL NFR D,0.537019471281813,0.5788408000028067,0.5174464757969901,800.984375,"[18, 22, 17, 19, 19, 20, 20, 20, 20, 20, 20, 20, 18, 18, 18, 18, 15, 15, 15, 16, 16]"
34,MAX,10,NFL NFR S,0.5337029513505247,0.1858777279716326,0.2598505917602248,1075.90625,[18]
35,MAX,10,NFL UFR D,0.537019471281813,0.5788408000028067,0.5174464757969901,800.03125,"[18, 22, 17, 19, 19, 20, 20, 20, 20, 20, 20, 20, 18, 18, 18, 18, 15, 15, 15, 16, 16]"
36,MAX,10,NFL UFR S,0.5337029513505247,0.1858777279716326,0.2598505917602248,1071.9375,[18]
37,MAX,10,UFL NFR D,0.5340913026490688,0.5905291517082687,0.5246817766277388,778.984375,"[18, 22, 17, 19, 19, 19, 19, 19, 16, 18, 18, 18, 18, 18, 15, 15, 15, 15, 15, 15, 15]"
38,MAX,10,UFL NFR S,0.5337029513505247,0.1858777279716326,0.2598505917602248,1054.25,[18]
39,MAX,10,UFL UFR D,0.5364324650037411,0.6216204313879334,0.54746422885583,758.40625,"[18, 22, 17, 19, 19, 16, 16, 21, 21, 21, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15]"
40,MAX,10,UFL UFR S,0.5337029513505247,0.1858777279716326,0.2598505917602248,1068.140625,[18]
41,MAX,15,NFL NFR D,0.5441049287322826,0.4868023354948997,0.4500752663409755,995.359375,"[17, 17, 16, 16, 17, 22, 22, 22, 22, 19, 22, 22, 22, 22, 21, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 19, 19, 19, 21, 21, 16, 16, 16]"
42,MAX,15,NFL NFR S,0.6294875499895837,0.2145636800175088,0.309162508335717,861.5625,[17]
43,MAX,15,NFL UFR D,0.5441049287322826,0.4868023354948997,0.4500752663409755,994.0,"[17, 17, 16, 16, 17, 22, 22, 22, 22, 19, 22, 22, 22, 22, 21, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 19, 19, 19, 21, 21, 16, 16, 16]"
44,MAX,15,NFL UFR S,0.6294875499895837,0.2145636800175088,0.309162508335717,863.0625,[17]
45,MAX,15,UFL NFR D,0.5422349947655627,0.5814805129273365,0.5173660798134292,828.96875,"[17, 17, 16, 16, 17, 22, 22, 22, 22, 19, 20, 20, 20, 20, 20, 20, 20, 20, 16, 18, 15, 15, 15, 15, 15, 17, 17, 17, 15, 15, 16, 15, 16]"
46,MAX,15,UFL NFR S,0.6294875499895837,0.2145636800175088,0.309162508335717,862.09375,[17]
47,MAX,15,UFL UFR D,0.5415461723145376,0.5910474304755976,0.5246470683192291,797.375,"[17, 17, 16, 16, 17, 22, 22, 22, 22, 19, 16, 16, 21, 21, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 15, 15, 15, 15, 15]"
48,MAX,15,UFL UFR S,0.6294875499895837,0.2145636800175088,0.309162508335717,861.78125,[17]
49,MIN,5,NFL NFR D,0.745942264112649,0.5768231513629313,0.6446419219934566,570.203125,[9]
50,MIN,5,NFL NFR S,0.745942264112649,0.5768231513629313,0.6446419219934566,564.1875,[9]
51,MIN,5,NFL UFR D,0.745942264112649,0.5768231513629313,0.6446419219934566,571.171875,[9]
52,MIN,5,NFL UFR S,0.745942264112649,0.5768231513629313,0.6446419219934566,564.828125,[9]
53,MIN,5,UFL NFR D,0.745942264112649,0.5768231513629313,0.6446419219934566,570.171875,[9]
54,MIN,5,UFL NFR S,0.745942264112649,0.5768231513629313,0.6446419219934566,564.625,[9]
55,MIN,5,UFL UFR D,0.6873425519142814,0.5768231513629313,0.6176497062811505,465.109375,[6]
56,MIN,5,UFL UFR S,0.6873425519142814,0.5768231513629313,0.6176497062811505,463.09375,[6]
57,MIN,10,NFL NFR D,0.7533049122169682,0.263923518586349,0.3897606382682774,751.53125,"[11, 12, 11]"
58,MIN,10,NFL NFR S,0.7531307892078373,0.3180255693925636,0.4459849895196944,773.25,[11]
59,MIN,10,NFL UFR D,0.7533049122169682,0.263923518586349,0.3897606382682774,750.203125,"[11, 12, 11]"
60,MIN,10,NFL UFR S,0.7531307892078373,0.3180255693925636,0.4459849895196944,769.953125,[11]
61,MIN,10,UFL NFR D,0.7486666078252101,0.263923518586349,0.3886900098317924,743.8125,"[11, 12, 11]"
62,MIN,10,UFL NFR S,0.6966193230324869,0.3180255693925636,0.4330860048887823,666.96875,[11]
63,MIN,10,UFL UFR D,0.7480669957950745,0.2750815178351365,0.3986753807139354,724.90625,"[9, 13, 11]"
64,MIN,10,UFL UFR S,0.6906355421150059,0.3651732417197439,0.4692170506048055,590.046875,[9]
65,MIN,15,NFL NFR D,0.9901867083652192,0.241130350195837,0.3871860732152586,1082.5,"[18, 16, 17, 16, 18, 16, 16]"
66,MIN,15,NFL NFR S,0.998092410347526,0.2530085964767244,0.402840389417104,1261.859375,[18]
67,MIN,15,NFL UFR D,0.9901867083652192,0.241130350195837,0.3871860732152586,1083.703125,"[18, 16, 17, 16, 18, 16, 16]"
68,MIN,15,NFL UFR S,0.998092410347526,0.2530085964767244,0.402840389417104,1254.21875,[18]
69,MIN,15,UFL NFR D,0.8882273385385228,0.2768155176142857,0.4178873770603998,990.21875,"[17, 13, 17, 16, 18, 16, 15]"
70,MIN,15,UFL NFR S,0.9234262321731852,0.2800235873749739,0.423757585602621,1250.703125,[17]
71,MIN,15,UFL UFR D,0.9855850346455725,0.2669022415155228,0.4193270657542624,1089.40625,"[16, 17, 17, 17, 18, 18, 15]"
72,MIN,15,UFL UFR S,0.9900772811111144,0.2977279786219144,0.457554745910153,893.234375,[16]
