training,fitting_traces%,average_trace_fitness,precision,f-measure
1,34.92,0.6846428908128941,0.8772297894546268,0.7690628647868173
2,39.88,0.7187335263810137,0.6199910723483157,0.6657207467116195
3,60.913333333333334,0.8225281918081843,0.8480263496474705,0.8350826778435296
4,49.6,0.775003237133229,0.6351326888961297,0.6981311245500237
5,50.36666666666667,0.7804782587782256,0.9066258184657896,0.8388359078776841
6,50.28,0.7729983362389435,0.6361787879888167,0.6979465337763752
7,63.34,0.8320342977392932,0.8544945648636334,0.8431148745371285
8,32.26,0.6799038888888804,0.7740027101166672,0.7239081973749908
9,26.773333333333333,0.6494612431087554,0.6014182571100597,0.6245171478510497
10,98.91891891891892,0.9952863577863579,0.7441705529646903,0.8516023531876846
WHOLE,46.79457338564873,0.7543172265418535,0.9012656773934945,0.8212699279907206
