training,fitting_traces%,average_trace_fitness,precision,f-measure
1,9.253333333333334,0.6352598001998461,0.998501972649877,0.7765001901572317
2,0.38,0.6407770943435388,0.8562697910069664,0.7330138742142743
3,0.10666666666666667,0.702019612402775,0.8963166516937061,0.7873585584543629
4,0.3,0.6836579316978709,0.8736445307959282,0.7670623110768751
5,1.7533333333333334,0.6930244133643731,0.9996194132344911,0.8185545553744519
6,0.3933333333333333,0.6808806349596408,0.8747709936377869,0.7657429448126213
7,0.5333333333333333,0.7116659059458531,0.9007942161122587,0.7951384634084138
8,0.56,0.6250478738941808,0.8437204044847707,0.7181059841057931
9,0.5066666666666667,0.6031424294224305,0.8352453887183766,0.7004674630332117
10,0.8108108108108109,0.7992342342342393,0.9937722419928826,0.8859497245137841
WHOLE,2.322936756001862,0.6702556015866907,0.9994870732757086,0.8024132336819352
