experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,P,NFL NFR D,0.9503701411119968,0.7117468408160585,0.8103572217781783,489.375,"[15, 10, 8, 10, 8]"
2,FRQ,P,NFL NFR S,0.9839008570697644,0.5997868510877302,0.7438254135142243,632.703125,[15]
3,FRQ,P,NFL UFR D,0.9503701411119968,0.7117468408160585,0.8103572217781783,490.671875,"[15, 10, 8, 10, 8]"
4,FRQ,P,NFL UFR S,0.9839008570697644,0.5997868510877302,0.7438254135142243,621.796875,[15]
5,FRQ,P,UFL NFR D,0.9503701411119968,0.7117468408160585,0.8103572217781783,489.546875,"[15, 10, 8, 10, 8]"
6,FRQ,P,UFL NFR S,0.9839008570697644,0.5997868510877302,0.7438254135142243,624.4375,[15]
7,FRQ,P,UFL UFR D,0.8783839005789954,0.7264531777104726,0.7868837728900959,457.90625,"[7, 7, 7, 7, 7]"
8,FRQ,P,UFL UFR S,0.8783839005789954,0.7264531777104726,0.7868837728900959,449.3125,[7]
9,FRQ,5,NFL NFR D,0.9835679247537488,0.6308109474636401,0.7672208304768109,594.46875,"[15, 14, 12]"
10,FRQ,5,NFL NFR S,0.9839008570697644,0.5997868510877302,0.7438254135142243,610.015625,[15]
11,FRQ,5,NFL UFR D,0.9835679247537488,0.6308109474636401,0.7672208304768109,597.0,"[15, 14, 12]"
12,FRQ,5,NFL UFR S,0.9839008570697644,0.5997868510877302,0.7438254135142243,614.46875,[15]
13,FRQ,5,UFL NFR D,0.8661141172240381,0.6862962692917632,0.7485199893174088,533.5,"[15, 6, 10]"
14,FRQ,5,UFL NFR S,0.9839008570697644,0.5997868510877302,0.7438254135142243,612.5625,[15]
15,FRQ,5,UFL UFR D,0.8783888253530714,0.7264285538400926,0.786869302790706,461.5625,"[7, 7, 10]"
16,FRQ,5,UFL UFR S,0.8783839005789954,0.7264531777104726,0.7868837728900959,444.34375,[7]
17,FRQ,10,NFL NFR D,-,-,-,-,-
18,FRQ,10,NFL NFR S,-,-,-,-,-
19,FRQ,10,NFL UFR D,0.996643873433044,0.5473789744497447,0.7005229225713496,714.171875,"[23, 21, 19]"
20,FRQ,10,NFL UFR S,0.9956288073265616,0.5469916629232005,0.7000221297394338,764.03125,[23]
21,FRQ,10,UFL NFR D,-,-,-,-,-
22,FRQ,10,UFL NFR S,-,-,-,-,-
23,FRQ,10,UFL UFR D,0.8870494815281325,0.6257352335925876,0.7241072371704023,593.59375,"[11, 11, 11]"
24,FRQ,10,UFL UFR S,0.8870494815281325,0.6257352335925876,0.7241072371704023,584.28125,[11]
25,FRQ,15,NFL NFR D,-,-,-,-,-
26,FRQ,15,NFL NFR S,-,-,-,-,-
27,FRQ,15,NFL UFR D,0.9980506316834528,0.5123748684078587,0.6663065836877627,935.0625,"[29, 29, 29, 29, 29, 32, 30, 32, 30, 30]"
28,FRQ,15,NFL UFR S,0.997153423124281,0.523550243085302,0.6775122523783235,899.046875,[29]
29,FRQ,15,UFL NFR D,-,-,-,-,-
30,FRQ,15,UFL NFR S,0.8970204268165413,0.5794639196873814,0.7003901501174066,641.03125,[14]
31,FRQ,15,UFL UFR D,0.9783895620602424,0.5508725044210087,0.6944552684827772,699.609375,"[11, 11, 11, 18, 18, 18, 18, 18, 18, 20]"
32,FRQ,15,UFL UFR S,0.8870494815281325,0.6257352335925876,0.7241072371704023,587.34375,[11]
33,MAX,5,NFL NFR D,-,-,-,-,-
34,MAX,5,NFL NFR S,-,-,-,-,-
35,MAX,5,NFL UFR D,-,-,-,-,-
36,MAX,5,NFL UFR S,0.71580122406875,0.5789591503315001,0.6064509998576086,728.078125,[17]
37,MAX,5,UFL NFR D,0.5066805281802002,0.7084321872467325,0.5790428502465488,657.765625,"[10, 10, 10, 14, 14, 15, 15, 14, 14, 13, 11, 11, 13, 12, 13, 12, 13, 13, 13, 13, 13]"
38,MAX,5,UFL NFR S,0.5603351026504606,0.7091463213270113,0.6141601616449337,601.765625,[10]
39,MAX,5,UFL UFR D,0.5155304090678536,0.7023013693110464,0.5815708476317566,663.65625,"[10, 10, 10, 14, 14, 14, 14, 14, 14, 12, 13, 13, 13, 12, 12, 12, 13, 13, 13, 13, 13]"
40,MAX,5,UFL UFR S,0.5539315490465809,0.7093714493258337,0.6070221189879673,574.125,[10]
41,MAX,10,NFL NFR D,-,-,-,-,-
42,MAX,10,NFL NFR S,0.5677723281782528,0.5695977587395858,0.5438500381152791,779.296875,[24]
43,MAX,10,NFL UFR D,-,-,-,-,-
44,MAX,10,NFL UFR S,0.5677723281782528,0.5696159554982261,0.5438555935880105,759.46875,[23]
45,MAX,10,UFL NFR D,0.5251478686964278,0.7090967389541667,0.5919025754701284,675.578125,"[10, 14, 14, 15, 14, 15, 15, 14, 15, 14, 14, 13, 13, 14, 13, 13, 13, 13, 13, 15, 15]"
46,MAX,10,UFL NFR S,0.5603351026504606,0.7091463213270113,0.6141601616449337,593.890625,[10]
47,MAX,10,UFL UFR D,0.528283009670942,0.7108421827366201,0.5928360698495878,661.0625,"[10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 12, 14, 13, 13, 13, 13, 16, 15]"
48,MAX,10,UFL UFR S,0.5539315490465809,0.7093714493258337,0.6070221189879673,570.1875,[10]
49,MAX,15,NFL NFR D,-,-,-,-,-
50,MAX,15,NFL NFR S,0.9165510935101688,0.4518456553136098,0.5952386574206878,950.828125,[32]
51,MAX,15,NFL UFR D,-,-,-,-,-
52,MAX,15,NFL UFR S,0.9165457210293584,0.4519026923694481,0.5952926824729852,928.578125,[31]
