n°_training,current_trace,trace_1,trace_2,trace_3,trace_4,trace_5
0,15000,"('Create Fine', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
1,17603,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
2,61560,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Payment')"
3,69517,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')"
4,74249,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
5,74250,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')"
6,74254,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
7,74255,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')"
8,74256,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
9,95272,"('Create Fine', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
10,101760,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')"
11,130772,"('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","('Create Fine', 'Payment')","('Create Fine', 'Send Fine')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')"
