n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15
0,15000,16,29,58,29,"[5846]('Create Fine', 'Payment')","[3338]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[1494]('Create Fine', 'Send Fine')","[1294]('Create Fine', 'Send Fine', 'Payment')","[1031]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[758]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[573]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[190]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[130]('Create Fine', 'Payment', 'Send Fine')","[79]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[77]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[30]('Create Fine', 'Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[28]('Create Fine', 'Send Fine', 'Payment', 'Insert Fine Notification', 'Add penalty', 'Payment')","[23]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[22]('Create Fine', 'Payment', 'Send Fine', 'Payment')"
1,16980,16,29,58,29,"[5848]('Create Fine', 'Payment')","[5245]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[1494]('Create Fine', 'Send Fine')","[1294]('Create Fine', 'Send Fine', 'Payment')","[1032]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[758]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[576]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[190]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[130]('Create Fine', 'Payment', 'Send Fine')","[129]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[79]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[30]('Create Fine', 'Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[28]('Create Fine', 'Send Fine', 'Payment', 'Insert Fine Notification', 'Add penalty', 'Payment')","[23]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[23]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')"
2,24036,16,29,58,29,"[9033]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[7135]('Create Fine', 'Payment')","[2481]('Create Fine', 'Send Fine')","[1673]('Create Fine', 'Send Fine', 'Payment')","[1099]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[819]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[737]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[264]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[198]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[196]('Create Fine', 'Payment', 'Send Fine')","[83]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[47]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[42]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[31]('Create Fine', 'Send Fine', 'Payment', 'Insert Fine Notification', 'Add penalty', 'Payment')","[30]('Create Fine', 'Payment', 'Send Fine', 'Payment')"
3,42172,16,29,58,29,"[19023]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[10146]('Create Fine', 'Payment')","[4298]('Create Fine', 'Send Fine')","[2550]('Create Fine', 'Send Fine', 'Payment')","[1750]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[1205]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[1153]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[527]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[333]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[314]('Create Fine', 'Payment', 'Send Fine')","[190]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[122]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[73]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[45]('Create Fine', 'Payment', 'Send Fine', 'Payment')","[44]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')"
4,43044,16,29,58,29,"[19023]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[10870]('Create Fine', 'Payment')","[4341]('Create Fine', 'Send Fine')","[2552]('Create Fine', 'Send Fine', 'Payment')","[1789]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[1216]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[1188]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[527]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[336]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[315]('Create Fine', 'Payment', 'Send Fine')","[190]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[123]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[73]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[46]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[46]('Create Fine', 'Payment', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')"
5,84882,18,32,64,32,"[31849]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[26417]('Create Fine', 'Payment')","[10622]('Create Fine', 'Send Fine')","[3910]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[3193]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[2807]('Create Fine', 'Send Fine', 'Payment')","[2074]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[993]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[910]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[476]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[329]('Create Fine', 'Payment', 'Send Fine')","[193]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[91]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[80]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[62]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')"
6,112650,17,31,62,30,"[40383]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[36414]('Create Fine', 'Payment')","[15414]('Create Fine', 'Send Fine')","[6476]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[3287]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[2924]('Create Fine', 'Send Fine', 'Payment')","[2747]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[1361]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[1094]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[519]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[343]('Create Fine', 'Payment', 'Send Fine')","[259]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[103]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[99]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[90]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty', 'Payment')"
7,116954,18,32,64,32,"[40383]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[38198]('Create Fine', 'Payment')","[16894]('Create Fine', 'Send Fine')","[7004]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[3289]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[2974]('Create Fine', 'Send Fine', 'Payment')","[2965]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[1506]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[1094]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[519]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[346]('Create Fine', 'Payment', 'Send Fine')","[289]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[106]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[105]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[97]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')"
8,117278,17,31,62,30,"[40383]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[38431]('Create Fine', 'Payment')","[16894]('Create Fine', 'Send Fine')","[7053]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[3289]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[2989]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[2975]('Create Fine', 'Send Fine', 'Payment')","[1517]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[1094]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[519]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[346]('Create Fine', 'Payment', 'Send Fine')","[292]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[107]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[105]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[98]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty', 'Payment')"
9,142492,17,31,62,30,"[51864]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Send for Credit Collection')","[45409]('Create Fine', 'Payment')","[19155]('Create Fine', 'Send Fine')","[9139]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment')","[3647]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Payment')","[3297]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Payment')","[3073]('Create Fine', 'Send Fine', 'Payment')","[2335]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture')","[1401]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Payment', 'Send for Credit Collection')","[520]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Payment', 'Add penalty', 'Send for Credit Collection')","[410]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')","[360]('Create Fine', 'Payment', 'Send Fine')","[134]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty', 'Payment')","[131]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[112]('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture')"
