n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5
0,15000,11,10,22,10,"[9:15]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:7]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:3]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:2]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:2]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment')"
1,20014,11,10,22,10,"[9:15]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:9]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:3]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:3]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:2]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')"
2,20122,11,10,22,10,"[9:15]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:11]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:5]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:3]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:3]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')"
3,21445,15,14,32,16,"[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[9:21]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:15]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:5]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:3]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')"
4,22499,14,14,30,15,"[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[9:21]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:15]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:5]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:4]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')"
5,23868,14,14,30,15,"[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[9:21]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:15]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:5]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment')","[9:5]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')"
6,26456,16,16,36,17,"[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Payment', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:21]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:17]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:5]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment')"
7,32761,16,16,36,17,"[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Payment', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:21]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')","[9:18]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:6]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')"
8,33818,16,16,36,17,"[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Payment', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[9:24]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[9:21]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send for Credit Collection')"
9,34756,13,14,28,13,"[11:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Appeal to Judge', 'Payment', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Add penalty', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Payment', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')","[10:1]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment', 'Payment')","[9:36]('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment')"
