experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,0.7730895945147441,0.4504116676470335,0.5450437681130631,27.484375,"[27, 26, 23, 18, 17, 18, 21, 19, 21, 19, 21]"
2,FRQ,5,NFL NFR S,0.8040070752107135,0.4221029936907227,0.5305923313255381,31.234375,[27]
3,FRQ,5,NFL UFR D,0.7755920045808926,0.4429578152197006,0.5404708978761855,27.609375,"[24, 20, 20, 18, 22, 19, 21, 18, 21, 18, 21]"
4,FRQ,5,NFL UFR S,0.8040070752107135,0.4221029936907227,0.5305923313255381,29.328125,[24]
5,FRQ,5,UFL NFR D,0.591027209013525,0.6726308879067423,0.5995100542933246,21.234375,"[27, 27, 19, 20, 19, 21, 13, 13, 13, 14, 13]"
6,FRQ,5,UFL NFR S,0.8040070752107135,0.4221029936907227,0.5305923313255381,29.21875,[24]
7,FRQ,5,UFL UFR D,0.6425066562810197,0.5673449266953422,0.5739792629411985,22.75,"[8, 14, 9, 8, 11, 14, 20, 20, 20, 10, 9]"
8,FRQ,5,UFL UFR S,0.674930725651147,0.5854352548036759,0.6082197372971218,16.75,[9]
9,FRQ,10,NFL NFR D,0.8399684348340974,0.3774961153862261,0.4889654775962574,34.671875,"[34, 40, 35, 28, 37, 34, 37, 27, 30, 33, 20, 15]"
10,FRQ,10,NFL NFR S,0.9066105828343984,0.316030322612314,0.4330572656737453,34.171875,[34]
11,FRQ,10,NFL UFR D,0.8400142014244866,0.3772938147628728,0.488775309485607,34.890625,"[36, 40, 35, 35, 35, 32, 37, 27, 20, 26, 20, 26]"
12,FRQ,10,NFL UFR S,0.9066105828343984,0.316030322612314,0.4330572656737453,35.578125,[36]
13,FRQ,10,UFL NFR D,0.589413374067332,0.6795228378432713,0.6019944494512923,20.671875,"[20, 20, 17, 19, 22, 28, 16, 16, 16, 26, 12, 16]"
14,FRQ,10,UFL NFR S,0.6337026245320653,0.5349324551754077,0.5567684481848786,22.796875,[20]
15,FRQ,10,UFL UFR D,0.5871922648249974,0.642410561929757,0.5826189429337149,18.109375,"[15, 17, 19, 20, 19, 16, 18, 14, 17, 10, 10, 10]"
16,FRQ,10,UFL UFR S,0.6173385781093602,0.5572973100171243,0.559329979305866,20.234375,[15]
17,FRQ,15,NFL NFR D,0.8922101718963664,0.2986763407320825,0.4216269208705174,32.5625,"[29, 46, 44, 49, 35, 36, 30, 30, 25, 19, 34, 28, 42, 24, 24, 33, 27, 23, 21, 24, 33]"
18,FRQ,15,NFL NFR S,0.9428631302770693,0.1622855398196553,0.2698308692231547,39.40625,[29]
19,FRQ,15,NFL UFR D,0.892251611702779,0.2973010596362431,0.4200581184615381,31.78125,"[38, 32, 48, 37, 30, 30, 32, 31, 30, 31, 28, 28, 30, 24, 23, 34, 27, 23, 21, 24, 22]"
20,FRQ,15,NFL UFR S,0.9428631302770693,0.1647374270346027,0.273313072694573,47.140625,[38]
21,FRQ,15,UFL NFR D,0.6217905457053059,0.6124230958787745,0.5861069844605441,20.5625,"[28, 34, 32, 17, 13, 13, 14, 13, 14, 13, 11, 25, 14, 12, 16, 15, 15, 15, 17, 17, 15]"
22,FRQ,15,UFL NFR S,0.8396809068750621,0.4019925404428319,0.5112110013327505,32.15625,[28]
23,FRQ,15,UFL UFR D,0.582681498129523,0.6434641118688788,0.5780559252510143,16.4375,"[30, 27, 17, 9, 16, 15, 16, 16, 15, 16, 10, 8, 8, 7, 8, 10, 10, 10, 10, 10, 10]"
