experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,0.6270768313294514,0.5137887654051089,0.5355810312766679,21.625,"[19, 18, 12, 12, 13, 13, 12, 12, 12, 12, 12]"
2,FRQ,5,NFL NFR S,0.7117903715649262,0.4100093068212182,0.4919559938635887,27.203125,[19]
3,FRQ,5,NFL UFR D,0.6270768313294514,0.5137887654051089,0.5355810312766679,21.484375,"[19, 18, 12, 12, 13, 13, 12, 12, 12, 12, 12]"
4,FRQ,5,NFL UFR S,0.7117903715649262,0.4100093068212182,0.4919559938635887,27.578125,[19]
5,FRQ,5,UFL NFR D,0.6270768313294514,0.5137887654051089,0.5355810312766679,21.328125,"[19, 18, 12, 12, 13, 13, 12, 12, 12, 12, 12]"
6,FRQ,5,UFL NFR S,0.7117903715649262,0.4100093068212182,0.4919559938635887,27.375,[19]
7,FRQ,5,UFL UFR D,0.6270768313294514,0.5137887654051089,0.5355810312766679,21.328125,"[19, 18, 12, 12, 13, 13, 12, 12, 12, 12, 12]"
8,FRQ,5,UFL UFR S,0.7117903715649262,0.4100093068212182,0.4919559938635887,27.3125,[19]
9,FRQ,10,NFL NFR D,0.704248619620446,0.4164580049685033,0.495081053854022,25.84375,"[20, 19, 19, 19, 20, 16, 15, 19, 15, 15, 15, 13]"
10,FRQ,10,NFL NFR S,0.7223891511651908,0.42746478126906,0.5104281782531077,29.78125,[20]
11,FRQ,10,NFL UFR D,0.704248619620446,0.4164580049685033,0.495081053854022,25.78125,"[20, 19, 19, 19, 20, 16, 15, 19, 15, 15, 15, 13]"
12,FRQ,10,NFL UFR S,0.7223891511651908,0.42746478126906,0.5104281782531077,29.890625,[20]
13,FRQ,10,UFL NFR D,0.7179174625732757,0.4845883705242449,0.5516969920861551,23.921875,"[17, 17, 17, 17, 17, 14, 13, 17, 13, 13, 13, 11]"
14,FRQ,10,UFL NFR S,0.7312163889295206,0.4842612887899673,0.5569079309276949,25.34375,[17]
15,FRQ,10,UFL UFR D,0.7021966609762067,0.4343797200826764,0.5093658802431563,24.765625,"[17, 17, 17, 19, 17, 16, 15, 19, 15, 15, 15, 13]"
16,FRQ,10,UFL UFR S,0.7312163889295206,0.4842612887899673,0.5569079309276949,25.15625,[17]
17,FRQ,15,NFL NFR D,0.8227247986163723,0.2884212180487734,0.4004743230308304,35.890625,"[17, 17, 16, 16, 13, 22, 22, 22, 23, 22, 19, 21, 21, 14, 21, 19, 12, 12, 14, 13, 21]"
18,FRQ,15,NFL NFR S,0.9758148196553746,0.1170327753268033,0.2076845587623273,65.296875,[17]
19,FRQ,15,NFL UFR D,0.8227247986163723,0.2884212180487734,0.4004743230308304,35.734375,"[17, 17, 16, 16, 13, 22, 22, 22, 23, 22, 19, 21, 21, 14, 21, 19, 12, 12, 14, 13, 21]"
20,FRQ,15,NFL UFR S,0.9758148196553746,0.1170327753268033,0.2076845587623273,65.359375,[17]
21,FRQ,15,UFL NFR D,0.8191087729962507,0.3586494983206595,0.462722112789227,30.328125,"[12, 12, 12, 12, 10, 16, 18, 16, 17, 16, 16, 18, 17, 10, 17, 17, 10, 10, 11, 13, 17]"
22,FRQ,15,UFL NFR S,0.9210953843751926,0.2836132501109735,0.3907470655050042,35.328125,[12]
23,FRQ,15,UFL UFR D,0.8132010863855598,0.3777434311500897,0.4769321323080485,30.703125,"[10, 10, 12, 13, 10, 16, 18, 16, 19, 15, 15, 14, 17, 10, 14, 19, 12, 12, 12, 13, 19]"
24,FRQ,15,UFL UFR S,0.9287883806943892,0.2872040304993736,0.3952346343189061,27.671875,[10]
25,MAX,5,NFL NFR D,0.9231397419603864,0.164514813541131,0.2703870307067352,1584.6875,"[25, 37, 17, 19, 22, 30, 30, 32, 30, 41, 32, 43, 26, 26]"
26,MAX,5,NFL NFR S,0.9239761810793466,0.2028940374307899,0.3183045415629988,72.03125,[25]
