experiment,order,top-variants,set-up,fitness,precision,f-measure,time,ext_cardoso
1,FRQ,5,NFL NFR D,-,-,-,-,-
2,FRQ,5,NFL NFR S,0.6045079405879404,0.530048036758563,0.5403412331906732,26.578125,[22]
3,FRQ,5,NFL UFR D,-,-,-,-,-
4,FRQ,5,NFL UFR S,-,-,-,-,-
5,FRQ,5,UFL NFR D,0.594977150505607,0.586326877800562,0.5651529719490405,24.71875,"[22, 21, 14, 14, 14, 14, 17, 15, 17, 15, 17]"
6,FRQ,5,UFL NFR S,0.6045079405879404,0.530048036758563,0.5403412331906732,26.65625,[22]
7,FRQ,5,UFL UFR D,-,-,-,-,-
8,FRQ,5,UFL UFR S,-,-,-,-,-
9,FRQ,10,NFL NFR D,-,-,-,-,-
10,FRQ,10,NFL NFR S,-,-,-,-,-
11,FRQ,10,NFL UFR D,-,-,-,-,-
12,FRQ,10,NFL UFR S,-,-,-,-,-
13,FRQ,10,UFL NFR D,-,-,-,-,-
14,FRQ,10,UFL NFR S,0.610086435807041,0.5658959899749374,0.5610210128326574,17.8125,[12]
15,FRQ,10,UFL UFR D,-,-,-,-,-
16,FRQ,10,UFL UFR S,0.6208722078094853,0.5523621553884711,0.5592019173654266,18.140625,[12]
17,FRQ,15,NFL NFR D,-,-,-,-,-
18,FRQ,15,NFL NFR S,0.7398677344435372,0.3058871148359905,0.4233217349733308,53.640625,[48]
19,FRQ,15,NFL UFR D,-,-,-,-,-
20,FRQ,15,NFL UFR S,0.8472003212286932,0.2442107562224886,0.3712886721996609,89.40625,[48]
21,FRQ,15,UFL NFR D,-,-,-,-,-
22,FRQ,15,UFL NFR S,0.7191423616848749,0.5757844611528823,0.619857316092224,36.578125,[23]
23,FRQ,15,UFL UFR D,0.6583851551225155,0.5888578263841421,0.6013795479221115,33.328125,"[21, 23, 15, 27, 17, 17, 16, 17, 17, 15, 15, 16, 15, 16, 17, 16, 17, 17, 18, 16, 16]"
24,FRQ,15,UFL UFR S,0.7156325928047551,0.5830858965595807,0.6235547114859582,35.421875,[21]
25,MAX,5,NFL NFR D,0.8452443154364013,0.3464898941805349,0.466646297754463,58.703125,"[52, 54, 52, 50, 48, 49, 53, 49, 49, 46, 50, 50, 56, 54]"
26,MAX,5,NFL NFR S,0.8665024094175223,0.340800826866425,0.4631052202686954,53.359375,[52]
27,MAX,5,NFL UFR D,0.8452443154364013,0.3464898941805349,0.466646297754463,58.671875,"[52, 54, 52, 50, 48, 49, 53, 49, 49, 46, 50, 50, 56, 54]"
28,MAX,5,NFL UFR S,0.8665024094175223,0.340800826866425,0.4631052202686954,53.765625,[52]
29,MAX,5,UFL NFR D,0.7753947027545981,0.5539389903041111,0.6131406782108594,43.453125,"[31, 30, 24, 23, 28, 29, 29, 28, 28, 31, 31, 37, 33, 39]"
30,MAX,5,UFL NFR S,0.7880273861491977,0.4721268197977021,0.558160110335321,48.859375,[31]
31,MAX,5,UFL UFR D,0.7753947027545981,0.5539389903041111,0.6131406782108594,43.6875,"[31, 30, 24, 23, 28, 29, 29, 28, 28, 31, 31, 37, 33, 39]"
32,MAX,5,UFL UFR S,0.7880273861491977,0.4721268197977021,0.558160110335321,48.390625,[31]
33,MAX,10,NFL NFR D,0.8883204000862538,0.25033753394943,0.3712172579032112,62.359375,"[64, 61, 61, 59, 59, 61, 65, 61, 62, 63, 65, 60, 61, 58, 60, 60, 60, 59, 62, 57, 56, 57, 57, 62, 62, 64]"
34,MAX,10,NFL NFR S,0.8726370607586159,0.2350498335552332,0.3511428374350656,66.703125,[64]
35,MAX,10,NFL UFR D,0.8823858513538821,0.2530712058993238,0.3735626734538658,126.796875,"[64, 61, 62, 59, 59, 61, 65, 61, 62, 63, 65, 60, 61, 58, 60, 60, 60, 59, 62, 57, 56, 57, 57, 62, 62, 64]"
36,MAX,10,NFL UFR S,0.8726370607586159,0.2350498335552332,0.3511428374350656,67.359375,[64]
37,MAX,10,UFL NFR D,0.7879438110313908,0.5234666822721349,0.5963165119260951,42.8125,"[37, 30, 33, 34, 33, 29, 33, 32, 37, 31, 31, 34, 34, 30, 29, 34, 30, 29, 30, 28, 27, 28, 28, 28, 31, 33]"
38,MAX,10,UFL NFR S,0.8383328006274122,0.4214004628815349,0.5286355062359653,50.625,[37]
39,MAX,10,UFL UFR D,0.7879438110313908,0.5234666822721349,0.5963165119260951,42.734375,"[37, 30, 33, 34, 33, 29, 33, 32, 37, 31, 31, 34, 34, 30, 29, 34, 30, 29, 30, 28, 27, 28, 28, 28, 31, 33]"
40,MAX,10,UFL UFR S,0.8383328006274122,0.4214004628815349,0.5286355062359653,50.4375,[37]
