order,algo,cut,top,filtering,frequency,update
FRQ,SPL,100,5,NFL,NFR,D
FRQ,SPL,100,5,NFL,UFR,D
FRQ,SPL,100,5,NFL,UFR,S
FRQ,SPL,100,5,UFL,UFR,D
FRQ,SPL,100,5,UFL,UFR,S
FRQ,SPL,100,10,NFL,NFR,D
FRQ,SPL,100,10,NFL,NFR,S
FRQ,SPL,100,10,NFL,UFR,D
FRQ,SPL,100,10,NFL,UFR,S
FRQ,SPL,100,10,UFL,NFR,D
FRQ,SPL,100,10,UFL,UFR,D
FRQ,SPL,100,15,UFL,NFR,D
FRQ,SPL,100,15,NFL,UFR,D
FRQ,SPL,100,15,NFL,NFR,D
MIN,SPL,100,5,NFL,UFR,D
MIN,SPL,100,5,UFL,NFR,D
MIN,SPL,100,10,NFL,NFR,D
MIN,SPL,100,10,NFL,UFR,D
MIN,SPL,100,10,UFL,NFR,D
MIN,SPL,100,10,UFL,NFR,S
MIN,SPL,100,15,NFL,NFR,D
MIN,SPL,100,15,NFL,UFR,D
MIN,SPL,100,15,UFL,NFR,D
MIN,SPL,100,15,UFL,UFR,D
MIN,SPL,100,15,UFL,UFR,S
