n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
2,0.9,0.21621621621621623,0.34866828087167073,0.03125
3,1.0,0.25806451612903225,0.41025641025641024,0.015625
4,1.0,1.0,1.0,0.0
5,0.9473684210526316,0.20253164556962022,0.3337195828505214,0.03125
6,0.8571428571428572,0.4444444444444444,0.5853658536585367,0.0
7,0.9285714285714286,0.21276595744680848,0.34620505992010653,0.03125
8,1.0,0.21126760563380287,0.34883720930232565,0.015625
9,0.7857142857142857,0.0,0.0,0.015625
10,0.6923076923076923,0.6666666666666667,0.6792452830188679,0.015625
11,0.7777777777777778,0.0,0.0,0.03125
12,1.0,0.2295081967213115,0.37333333333333335,0.0625
13,0.9375,0.26530612244897955,0.41357370095440077,0.015625
14,0.9,0.0,0.0,0.015625
15,1.0,0.24489795918367352,0.3934426229508197,0.015625
16,1.0,0.33333333333333337,0.5,0.015625
17,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
18,0.9,0.2222222222222222,0.3564356435643564,0.0
19,0.875,0.2222222222222222,0.3544303797468354,0.046875
20,1.0,0.20895522388059706,0.34567901234567905,0.03125
21,0.8666666666666667,0.24390243902439024,0.3806734992679356,0.015625
22,1.0,0.2153846153846154,0.35443037974683544,0.03125
23,1.0,1.0,1.0,0.0
24,0.7777777777777778,0.6666666666666667,0.717948717948718,0.015625
25,1.0,0.27586206896551724,0.4324324324324324,0.0
26,0.7333333333333334,0.5,0.5945945945945946,0.0625
27,1.0,0.2962962962962963,0.45714285714285713,0.015625
28,1.0,0.33333333333333337,0.5,0.0
29,0.9411764705882353,0.23728813559322037,0.3790186125211506,0.03125
30,0.75,0.0,0.0,0.0
31,0.9090909090909091,0.21212121212121215,0.34398034398034405,0.015625
32,1.0,1.0,1.0,0.0
33,1.0,0.3846153846153846,0.5555555555555555,0.015625
34,0.8823529411764706,0.2222222222222222,0.3550295857988165,0.015625
35,0.8888888888888888,0.2857142857142857,0.43243243243243246,0.015625
36,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
37,0.95,0.22077922077922074,0.3582917359955629,0.03125
38,0.8,0.24,0.36923076923076925,0.015625
39,0.75,0.5,0.6,0.03125
40,0.8823529411764706,0.21311475409836067,0.34330985915492956,0.03125
41,0.9375,0.21311475409836067,0.34728406055209265,0.0625
42,0.8421052631578947,0.5,0.6274509803921569,0.015625
43,1.0,0.25806451612903225,0.41025641025641024,0.015625
44,1.0,0.2962962962962963,0.45714285714285713,0.015625
45,0.9411764705882353,0.19402985074626866,0.32173240525908736,0.015625
46,1.0,0.2571428571428571,0.40909090909090906,0.015625
47,1.0,0.2857142857142857,0.4444444444444445,0.015625
48,0.75,0.5,0.6,0.015625
49,1.0,0.21126760563380287,0.34883720930232565,0.03125
50,1.0,0.33333333333333337,0.5,0.0
51,0.8125,0.5,0.6190476190476191,0.015625
52,0.9375,0.0,0.0,0.015625
53,0.8571428571428572,0.24,0.375,0.03125
54,1.0,0.3529411764705882,0.5217391304347825,0.0
55,1.0,0.25806451612903225,0.41025641025641024,0.015625
56,0.9375,0.1806451612903226,0.3029210241615579,0.140625
57,0.8,0.6666666666666667,0.7272727272727274,0.03125
58,0.9411764705882353,0.24,0.38247011952191234,0.015625
59,0.9130434782608696,0.2222222222222222,0.35744680851063826,0.046875
60,0.9545454545454546,0.202247191011236,0.33377483443708617,0.046875
61,1.0,0.33333333333333337,0.5,0.0
62,0.9411764705882353,0.24137931034482762,0.3842195540308748,0.03125
63,1.0,0.24242424242424243,0.3902439024390244,0.0
64,1.0,0.33333333333333337,0.5,0.015625
