n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.6923076923076923,0.6666666666666667,0.6792452830188679,0.015625
2,0.5909090909090908,0.4285714285714286,0.49681528662420377,0.015625
3,0.8461538461538461,0.5,0.6285714285714286,0.015625
4,0.75,1.0,0.8571428571428571,0.0
5,0.47619047619047616,0.625,0.5405405405405405,0.015625
6,0.8888888888888888,0.6666666666666667,0.761904761904762,0.015625
7,0.625,0.625,0.625,0.0
8,0.6,0.5714285714285714,0.5853658536585366,0.03125
9,0.6875,0.0,0.0,0.0
10,0.5333333333333333,0.6666666666666667,0.5925925925925926,0.015625
11,0.5,0.0,0.0,0.015625
12,0.631578947368421,0.5,0.5581395348837209,0.015625
13,0.7222222222222222,0.4444444444444444,0.5502645502645503,0.015625
14,0.5,0.0,0.0,0.015625
15,0.7647058823529411,0.47058823529411764,0.5826330532212884,0.015625
16,0.8,0.5714285714285714,0.6666666666666666,0.0
17,0.6923076923076923,0.6666666666666667,0.6792452830188679,0.015625
18,0.9166666666666666,0.5714285714285714,0.7039999999999998,0.015625
19,0.4642857142857143,0.8,0.5875706214689266,0.015625
20,0.6666666666666667,0.8,0.7272727272727274,0.015625
21,0.7894736842105263,0.5,0.6122448979591837,0.015625
22,0.5238095238095238,0.6,0.559322033898305,0.015625
23,0.6,1.0,0.7499999999999999,0.0
24,0.6923076923076923,0.6666666666666667,0.6792452830188679,0.015625
25,1.0,0.47058823529411764,0.6399999999999999,0.0
26,0.5789473684210527,0.5,0.5365853658536586,0.015625
27,0.8666666666666667,0.6,0.7090909090909091,0.015625
28,0.7692307692307692,0.6,0.6741573033707864,0.0
29,0.6363636363636364,0.8,0.7088607594936709,0.015625
30,0.46153846153846156,0.0,0.0,0.015625
31,0.75,0.6,0.6666666666666665,0.0
32,0.5454545454545454,1.0,0.7058823529411764,0.015625
33,0.7692307692307692,0.8,0.7843137254901962,0.0
34,0.6363636363636364,0.6,0.6176470588235293,0.015625
35,0.7142857142857143,0.6,0.6521739130434783,0.0
36,0.625,0.6666666666666667,0.6451612903225807,0.046875
37,0.64,0.5454545454545454,0.5889570552147239,0.03125
38,0.7,0.8,0.7466666666666666,0.0
39,0.56,0.5,0.5283018867924528,0.015625
40,0.4545454545454546,0.8,0.5797101449275363,0.015625
41,0.7619047619047619,0.5,0.6037735849056604,0.015625
42,0.5833333333333333,0.5,0.5384615384615384,0.015625
43,1.0,0.5714285714285714,0.7272727272727273,0.015625
44,0.75,0.8,0.7741935483870969,0.015625
45,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.015625
46,0.7058823529411764,0.6,0.6486486486486487,0.015625
47,0.7142857142857143,0.6,0.6521739130434783,0.015625
48,0.5714285714285714,0.5,0.5333333333333333,0.015625
49,0.6086956521739131,0.6,0.6043165467625898,0.015625
50,0.46153846153846156,0.6,0.5217391304347826,0.0
51,0.6666666666666667,0.5,0.5714285714285715,0.015625
52,0.6666666666666667,0.0,0.0,0.015625
53,0.631578947368421,0.8,0.7058823529411765,0.015625
54,0.8571428571428572,0.8,0.8275862068965518,0.0
55,0.875,0.75,0.8076923076923077,0.015625
56,0.3783783783783784,0.75,0.5029940119760479,0.03125
57,0.48,0.6666666666666667,0.5581395348837209,0.03125
58,0.5454545454545454,0.75,0.631578947368421,0.015625
59,0.3571428571428571,0.75,0.48387096774193533,0.015625
60,0.4444444444444444,0.75,0.5581395348837209,0.0625
61,0.6153846153846154,0.75,0.676056338028169,0.0
62,0.5454545454545454,0.75,0.631578947368421,0.015625
63,0.625,0.75,0.6818181818181818,0.015625
64,0.6153846153846154,0.75,0.676056338028169,0.0
65,0.5,0.6666666666666667,0.5714285714285715,0.015625
66,0.5714285714285714,0.0,0.0,0.0
67,0.5185185185185186,0.75,0.6131386861313869,0.03125
68,0.5555555555555556,0.8,0.6557377049180328,0.015625
69,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
70,0.6153846153846154,0.75,0.676056338028169,0.015625
71,0.6153846153846154,0.6666666666666667,0.64,0.0
72,0.75,0.6666666666666667,0.7058823529411764,0.015625
73,0.8571428571428572,1.0,0.9230769230769231,0.0
74,0.4137931034482759,0.75,0.5333333333333334,0.03125
75,0.4,0.5,0.4444444444444445,0.015625
76,0.5454545454545454,0.75,0.631578947368421,0.015625
77,0.4444444444444444,0.75,0.5581395348837209,0.03125
78,0.5333333333333333,0.75,0.6233766233766235,0.0
79,0.6666666666666667,1.0,0.8,0.015625
80,0.5263157894736843,0.75,0.6185567010309279,0.015625
81,0.4545454545454546,0.75,0.5660377358490566,0.015625
82,0.5,0.75,0.6,0.03125
83,0.47058823529411764,0.5,0.48484848484848486,0.0
84,0.5714285714285714,0.8571428571428572,0.6857142857142857,0.015625
85,0.56,0.75,0.6412213740458016,0.03125
86,1.0,1.0,1.0,0.0
87,0.5217391304347826,0.6666666666666667,0.5853658536585367,0.0625
88,0.5714285714285714,0.75,0.6486486486486486,0.015625
89,0.6,0.8,0.6857142857142857,0.015625
90,0.875,0.6666666666666667,0.7567567567567568,0.0
91,0.6666666666666667,0.75,0.7058823529411764,0.015625
92,0.4347826086956522,0.0,0.0,0.015625
93,0.5333333333333333,0.5,0.5161290322580646,0.015625
94,0.30000000000000004,0.6666666666666667,0.4137931034482759,0.046875
95,0.6153846153846154,0.6666666666666667,0.64,0.015625
96,0.875,0.8,0.8358208955223881,0.0
97,0.47058823529411764,1.0,0.6399999999999999,0.046875
98,0.5714285714285714,0.75,0.6486486486486486,0.0
99,0.5217391304347826,0.75,0.6153846153846153,0.03125
100,0.6666666666666667,0.8,0.7272727272727274,0.0
101,0.5,0.75,0.6,0.015625
102,0.4347826086956522,0.75,0.5504587155963302,0.015625
103,0.7777777777777778,0.75,0.7636363636363638,0.015625
104,0.5,0.75,0.6,0.015625
105,0.736842105263158,0.75,0.7433628318584071,0.015625
106,0.3448275862068966,0.75,0.4724409448818898,0.0625
